Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,1.210000,1.210000,1.170000,1.190000,1.190000,31530174
2023-05-11,1.180000,1.250000,1.180000,1.230000,1.230000,41574715
2023-05-12,1.240000,1.250000,1.200000,1.210000,1.210000,29492403
2023-05-15,1.160000,1.250000,1.160000,1.210000,1.210000,33505544
2023-05-16,1.200000,1.240000,1.200000,1.220000,1.220000,23590515
2023-05-17,1.230000,1.260000,1.230000,1.250000,1.250000,47612422
2023-05-18,1.260000,1.260000,1.210000,1.210000,1.210000,35119331
2023-05-22,1.220000,1.230000,1.200000,1.200000,1.200000,27323669
2023-05-23,1.200000,1.240000,1.200000,1.220000,1.220000,43304048
2023-05-24,1.220000,1.230000,1.210000,1.220000,1.220000,16992230
2023-05-25,1.220000,1.240000,1.210000,1.230000,1.230000,27538260
2023-05-26,1.230000,1.270000,1.220000,1.250000,1.250000,36643881
2023-05-29,1.270000,1.320000,1.260000,1.310000,1.310000,79312197
2023-05-30,1.320000,1.350000,1.320000,1.330000,1.330000,46829579
2023-05-31,1.340000,1.350000,1.310000,1.310000,1.310000,45252294
2023-06-01,1.310000,1.440000,1.310000,1.440000,1.440000,98492574
2023-06-02,1.480000,1.510000,1.410000,1.430000,1.430000,106089767
2023-06-05,1.450000,1.520000,1.430000,1.480000,1.480000,83357709
2023-06-06,1.480000,1.550000,1.470000,1.490000,1.490000,122189681
2023-06-07,1.500000,1.520000,1.490000,1.490000,1.490000,67226520
2023-06-08,1.490000,1.510000,1.440000,1.460000,1.460000,70932170
2023-06-09,1.460000,1.490000,1.460000,1.470000,1.470000,39559992
2023-06-12,1.480000,1.510000,1.470000,1.490000,1.490000,76794789
2023-06-13,1.480000,1.490000,1.420000,1.430000,1.430000,52305990
2023-06-14,1.430000,1.480000,1.420000,1.460000,1.460000,65949191
2023-06-15,1.460000,1.470000,1.440000,1.460000,1.460000,34928966
2023-06-16,1.460000,1.500000,1.450000,1.480000,1.480000,66272874
2023-06-19,1.480000,1.540000,1.410000,1.410000,1.410000,142734504
2023-06-20,1.400000,1.420000,1.370000,1.390000,1.390000,39610914
2023-06-21,1.400000,1.420000,1.370000,1.380000,1.380000,37123920
2023-06-22,1.380000,1.440000,1.360000,1.420000,1.420000,57549443
2023-06-23,1.440000,1.540000,1.430000,1.510000,1.510000,107323231
2023-06-26,1.510000,1.560000,1.480000,1.500000,1.500000,95647748
2023-06-27,1.500000,1.510000,1.480000,1.500000,1.500000,25723619
2023-07-03,1.510000,1.570000,1.510000,1.550000,1.550000,108108437
2023-07-04,1.550000,1.580000,1.530000,1.560000,1.560000,98125624
2023-07-05,1.560000,1.590000,1.540000,1.580000,1.580000,123420553
2023-07-06,1.580000,1.630000,1.580000,1.620000,1.620000,86492690
2023-07-07,1.620000,1.640000,1.600000,1.620000,1.620000,73574211
2023-07-10,1.640000,1.780000,1.630000,1.780000,1.780000,179685979
2023-07-11,1.810000,1.950000,1.730000,1.760000,1.760000,256246217
2023-07-12,1.750000,1.790000,1.710000,1.720000,1.720000,150644305
2023-07-13,1.710000,1.740000,1.650000,1.660000,1.660000,96494738
2023-07-14,1.670000,1.680000,1.620000,1.640000,1.640000,80119233
2023-07-17,1.650000,1.730000,1.640000,1.680000,1.680000,104577062
2023-07-18,1.690000,1.700000,1.600000,1.600000,1.600000,78696901
2023-07-19,1.600000,1.640000,1.560000,1.640000,1.640000,95985799
2023-07-20,1.640000,1.660000,1.610000,1.650000,1.650000,87727651
2023-07-21,1.660000,1.670000,1.620000,1.670000,1.670000,93977672
2023-07-24,1.680000,1.730000,1.670000,1.690000,1.690000,117210415
2023-07-25,1.690000,1.700000,1.610000,1.630000,1.630000,91449364
2023-07-26,1.630000,1.680000,1.620000,1.680000,1.680000,98198425
2023-07-27,1.690000,1.750000,1.680000,1.720000,1.720000,176721003
2023-07-28,1.740000,1.750000,1.700000,1.730000,1.730000,137966333
2023-07-31,1.740000,1.780000,1.730000,1.780000,1.780000,163698518
2023-08-01,1.770000,1.770000,1.710000,1.710000,1.710000,104689252
2023-08-02,1.710000,1.740000,1.690000,1.700000,1.700000,98307613
2023-08-03,1.700000,1.770000,1.700000,1.720000,1.720000,141593091
2023-08-04,1.710000,1.740000,1.700000,1.720000,1.720000,77899863
2023-08-07,1.720000,1.890000,1.720000,1.890000,1.890000,162405087
2023-08-08,1.960000,2.040000,1.920000,1.980000,1.980000,236988348
2023-08-09,2.000000,2.170000,1.990000,2.170000,2.170000,180739739
2023-08-10,2.220000,2.360000,2.140000,2.150000,2.150000,276021756
2023-08-11,2.150000,2.300000,2.040000,2.240000,2.240000,176877719
2023-08-14,2.330000,2.460000,2.310000,2.460000,2.460000,198080350
