Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,3.700000,3.750000,3.630000,3.700000,3.700000,532002
2023-05-11,3.820000,4.000000,3.750000,3.880000,3.880000,2444205
2023-05-12,3.900000,3.920000,3.790000,3.810000,3.810000,1502464
2023-05-15,3.750000,3.950000,3.670000,3.840000,3.840000,1092230
2023-05-16,3.850000,4.040000,3.850000,4.040000,4.040000,1282718
2023-05-17,4.030000,4.210000,4.030000,4.170000,4.170000,1553605
2023-05-18,4.170000,4.190000,3.940000,4.020000,4.020000,1202258
2023-05-22,4.010000,4.140000,4.010000,4.060000,4.060000,1071896
2023-05-23,4.080000,4.170000,4.070000,4.120000,4.120000,1192063
2023-05-24,4.160000,4.270000,4.120000,4.240000,4.240000,2102725
2023-05-25,4.240000,4.270000,4.120000,4.150000,4.150000,1020849
2023-05-26,4.150000,4.250000,4.150000,4.210000,4.210000,910006
2023-05-29,4.220000,4.330000,4.220000,4.300000,4.300000,1236291
2023-05-30,4.320000,4.420000,4.310000,4.410000,4.410000,1001159
2023-05-31,4.410000,4.470000,4.370000,4.430000,4.430000,1712010
2023-06-01,4.400000,4.470000,4.400000,4.410000,4.410000,1464080
2023-06-02,4.510000,4.510000,4.420000,4.430000,4.430000,1723363
2023-06-05,4.450000,4.480000,4.420000,4.460000,4.460000,1233674
2023-06-06,4.470000,4.470000,4.430000,4.450000,4.450000,809450
2023-06-07,4.450000,4.540000,4.440000,4.480000,4.480000,1465324
2023-06-08,4.520000,4.530000,4.360000,4.410000,4.410000,1072676
2023-06-09,4.420000,4.460000,4.400000,4.420000,4.420000,763001
2023-06-12,4.430000,4.500000,4.420000,4.420000,4.420000,1104594
2023-06-13,4.420000,4.470000,4.260000,4.360000,4.360000,1513333
2023-06-14,4.360000,4.430000,4.330000,4.350000,4.350000,787838
2023-06-15,4.360000,4.400000,4.330000,4.390000,4.390000,960739
2023-06-16,4.410000,4.470000,4.350000,4.370000,4.370000,1518424
2023-06-19,4.380000,4.390000,4.150000,4.150000,4.150000,960912
2023-06-20,4.150000,4.180000,3.970000,4.000000,4.000000,1777364
2023-06-21,4.060000,4.160000,3.990000,4.090000,4.090000,1717523
2023-06-22,4.090000,4.260000,4.050000,4.260000,4.260000,1240547
2023-06-23,4.270000,4.440000,4.270000,4.370000,4.370000,3080900
2023-06-26,4.370000,4.740000,4.370000,4.700000,4.700000,6919539
2023-06-27,4.730000,4.820000,4.620000,4.800000,4.800000,2198120
2023-07-03,4.850000,5.140000,4.830000,5.120000,5.120000,6611236
2023-07-04,5.140000,5.280000,5.060000,5.280000,5.280000,4403225
2023-07-05,5.300000,5.400000,5.220000,5.350000,5.350000,4392796
2023-07-06,5.430000,5.470000,5.370000,5.410000,5.410000,3537594
2023-07-07,5.480000,5.520000,5.410000,5.510000,5.510000,5454629
2023-07-10,5.590000,5.660000,5.530000,5.600000,5.600000,5246886
2023-07-11,5.620000,5.640000,5.400000,5.630000,5.630000,5380711
2023-07-12,5.630000,6.190000,5.570000,6.190000,6.190000,13966296
2023-07-13,6.200000,6.590000,5.780000,5.790000,5.790000,15207448
2023-07-14,5.810000,5.990000,5.560000,5.750000,5.750000,8438628
2023-07-17,5.740000,5.900000,5.650000,5.740000,5.740000,5036387
2023-07-18,5.750000,5.780000,5.490000,5.490000,5.490000,4487943
2023-07-19,5.480000,5.590000,5.410000,5.520000,5.520000,3255595
2023-07-20,5.520000,5.630000,5.470000,5.540000,5.540000,3640462
2023-07-21,5.540000,5.680000,5.500000,5.610000,5.610000,4662411
2023-07-24,5.620000,5.700000,5.540000,5.550000,5.550000,4500208
2023-07-25,5.540000,5.560000,5.310000,5.320000,5.320000,3539099
2023-07-26,5.290000,5.480000,5.250000,5.370000,5.370000,3094855
2023-07-27,5.420000,5.600000,5.380000,5.500000,5.500000,4772745
2023-07-28,5.540000,5.630000,5.490000,5.610000,5.610000,3973297
2023-07-31,5.670000,5.710000,5.540000,5.560000,5.560000,5256716
2023-08-01,5.570000,5.580000,5.430000,5.470000,5.470000,2178346
2023-08-02,5.460000,5.560000,5.410000,5.460000,5.460000,3916483
2023-08-03,5.460000,5.760000,5.460000,5.680000,5.680000,6485403
2023-08-04,5.700000,5.830000,5.580000,5.750000,5.750000,4829095
2023-08-07,5.960000,6.030000,5.870000,5.880000,5.880000,7664922
2023-08-08,5.880000,5.930000,5.620000,5.750000,5.750000,3158243
2023-08-09,5.750000,5.750000,5.600000,5.620000,5.620000,3338784
2023-08-10,5.630000,5.830000,5.480000,5.530000,5.530000,5913652
2023-08-11,5.510000,5.850000,5.490000,5.770000,5.770000,4771134
2023-08-14,5.850000,5.970000,5.800000,5.940000,5.940000,6119905
2023-08-15,5.960000,6.060000,5.830000,5.990000,5.990000,5491510
2023-08-16,6.180000,6.190000,5.890000,5.920000,5.920000,7424407
