Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,3.950000,4.080000,3.850000,3.920000,3.920000,14079138
2023-05-11,3.900000,4.090000,3.780000,4.010000,4.010000,16380848
2023-05-12,4.020000,4.090000,3.880000,3.880000,3.880000,4742255
2023-05-15,3.640000,4.000000,3.640000,3.830000,3.830000,5260902
2023-05-16,3.830000,3.970000,3.830000,3.960000,3.960000,5004531
2023-05-17,3.980000,4.080000,3.960000,4.030000,4.030000,4019594
2023-05-18,4.040000,4.220000,3.990000,4.020000,4.020000,8527638
2023-05-22,4.030000,4.110000,3.950000,3.980000,3.980000,3038053
2023-05-23,3.980000,4.120000,3.950000,3.990000,3.990000,4622577
2023-05-24,4.000000,4.050000,3.900000,3.980000,3.980000,3643317
2023-05-25,3.980000,4.010000,3.940000,3.970000,3.970000,1992480
2023-05-26,4.000000,4.050000,3.930000,4.030000,4.030000,3667709
2023-05-29,4.060000,4.200000,4.060000,4.170000,4.170000,6287238
2023-05-30,4.190000,4.320000,4.180000,4.290000,4.290000,6497035
2023-05-31,4.310000,4.520000,4.240000,4.320000,4.320000,10787196
2023-06-01,4.350000,4.630000,4.350000,4.470000,4.470000,16207533
2023-06-02,4.510000,4.600000,4.460000,4.480000,4.480000,7321321
2023-06-05,4.520000,4.590000,4.520000,4.580000,4.580000,7226827
2023-06-06,4.580000,4.590000,4.420000,4.470000,4.470000,4943003
2023-06-07,4.470000,4.530000,4.430000,4.460000,4.460000,9941746
2023-06-08,4.450000,4.490000,4.360000,4.400000,4.400000,4126510
2023-06-09,4.400000,4.430000,4.300000,4.360000,4.360000,3176885
2023-06-12,4.370000,4.470000,4.360000,4.360000,4.360000,6965931
2023-06-13,4.360000,4.390000,4.230000,4.260000,4.260000,3758609
2023-06-14,4.270000,4.310000,4.160000,4.190000,4.190000,3159172
2023-06-15,4.190000,4.510000,4.190000,4.410000,4.410000,14676472
2023-06-16,4.420000,4.440000,4.280000,4.310000,4.310000,5329598
2023-06-19,4.310000,4.390000,4.120000,4.120000,4.120000,4338247
2023-06-20,4.110000,4.140000,3.990000,4.010000,4.010000,3568224
2023-06-21,4.020000,4.100000,3.970000,3.970000,3.970000,2498048
2023-06-22,3.970000,4.120000,3.970000,4.070000,4.070000,2440745
2023-06-23,4.090000,4.340000,4.090000,4.200000,4.200000,9516479
2023-06-26,4.260000,4.370000,4.210000,4.310000,4.310000,7199052
2023-06-27,4.310000,4.450000,4.270000,4.450000,4.450000,6351215
2023-07-03,4.610000,4.890000,4.600000,4.890000,4.890000,18360238
2023-07-04,4.900000,4.950000,4.660000,4.760000,4.760000,21486177
2023-07-05,4.770000,4.860000,4.700000,4.790000,4.790000,10113513
2023-07-06,4.790000,5.000000,4.790000,4.830000,4.830000,12179033
2023-07-07,4.830000,5.110000,4.800000,5.010000,5.010000,15115228
2023-07-10,5.100000,5.320000,5.100000,5.250000,5.250000,11682297
2023-07-11,5.310000,5.380000,5.050000,5.140000,5.140000,11327544
2023-07-12,5.140000,5.140000,4.960000,5.010000,5.010000,7815683
2023-07-13,5.010000,5.080000,4.900000,4.920000,4.920000,9756678
2023-07-14,4.920000,5.030000,4.850000,4.990000,4.990000,6392437
2023-07-17,5.070000,5.170000,5.000000,5.060000,5.060000,12684526
2023-07-18,5.080000,5.120000,4.860000,4.860000,4.860000,9686963
2023-07-19,4.850000,5.070000,4.730000,5.000000,5.000000,9964446
2023-07-20,5.060000,5.180000,4.990000,5.130000,5.130000,19629907
2023-07-21,5.140000,5.460000,5.130000,5.320000,5.320000,31068699
2023-07-24,5.500000,5.850000,5.450000,5.850000,5.850000,27391977
2023-07-25,6.000000,6.150000,5.370000,5.420000,5.420000,30982193
2023-07-26,5.420000,5.610000,5.330000,5.520000,5.520000,15359249
2023-07-27,5.560000,5.700000,5.460000,5.480000,5.480000,11533091
2023-07-28,5.490000,5.690000,5.460000,5.470000,5.470000,10596155
2023-07-31,5.600000,5.890000,5.580000,5.790000,5.790000,28117262
2023-08-01,5.790000,5.980000,5.550000,5.720000,5.720000,20115311
2023-08-02,5.720000,5.850000,5.620000,5.620000,5.620000,12115870
2023-08-03,5.630000,5.750000,5.500000,5.540000,5.540000,10078975
2023-08-04,5.540000,5.720000,5.460000,5.610000,5.610000,8155750
2023-08-07,5.630000,5.720000,5.540000,5.550000,5.550000,8959306
2023-08-08,5.570000,5.610000,5.400000,5.470000,5.470000,7744849
2023-08-09,5.470000,5.560000,5.400000,5.500000,5.500000,10236552
2023-08-10,5.510000,5.600000,5.140000,5.160000,5.160000,11723804
2023-08-11,5.160000,5.350000,5.030000,5.320000,5.320000,11050103
2023-08-14,5.470000,5.670000,5.420000,5.460000,5.460000,21022640
