Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,65.650002,66.849998,61.400002,61.500000,61.500000,1830946
2023-05-03,61.500000,62.650002,56.450001,58.750000,58.750000,3399921
2023-05-04,58.799999,60.700001,57.700001,58.599998,58.599998,1763889
2023-05-05,58.750000,59.000000,57.299999,58.250000,58.250000,1161339
2023-05-08,58.349998,59.400002,57.599998,59.049999,59.049999,1652855
2023-05-09,59.049999,59.299999,57.000000,57.000000,57.000000,1901361
2023-05-10,57.299999,57.299999,55.750000,56.299999,56.299999,1273849
2023-05-11,56.400002,61.549999,56.400002,61.000000,61.000000,2200895
2023-05-12,61.049999,63.250000,59.849998,61.799999,61.799999,2843291
2023-05-15,59.000000,61.700001,57.000000,58.900002,58.900002,1448330
2023-05-16,58.049999,59.400002,57.950001,59.099998,59.099998,2082166
2023-05-17,59.500000,61.000000,59.150002,61.000000,61.000000,1495639
2023-05-18,61.400002,61.599998,58.849998,58.849998,58.849998,1401809
2023-05-22,58.849998,59.799999,57.700001,58.599998,58.599998,1634239
2023-05-23,58.700001,59.750000,58.049999,59.400002,59.400002,1076435
2023-05-24,59.450001,60.200001,58.250000,58.950001,58.950001,877216
2023-05-25,58.950001,59.799999,58.500000,59.750000,59.750000,920525
2023-05-26,60.000000,60.250000,58.500000,59.849998,59.849998,2170815
2023-05-29,60.250000,63.150002,59.849998,63.099998,63.099998,2937650
2023-05-30,63.849998,65.349998,62.900002,64.500000,64.500000,2857700
2023-05-31,64.650002,65.900002,63.650002,63.849998,63.849998,2824532
2023-06-01,64.000000,66.150002,63.950001,65.449997,65.449997,1905603
2023-06-02,66.099998,67.300003,65.599998,67.000000,67.000000,1939193
2023-06-05,68.000000,70.300003,68.000000,70.300003,70.300003,2594822
2023-06-06,70.300003,70.400002,68.349998,69.449997,69.449997,2556277
2023-06-07,71.900002,74.099998,71.400002,72.500000,72.500000,3384447
2023-06-08,72.500000,72.900002,70.349998,71.550003,71.550003,2078999
2023-06-09,72.050003,72.699997,70.750000,71.699997,71.699997,1956350
2023-06-12,71.900002,74.599998,71.400002,71.400002,71.400002,4243010
2023-06-13,71.400002,71.400002,68.400002,68.449997,68.449997,2514350
2023-06-14,68.449997,68.949997,67.000000,67.349998,67.349998,1591243
2023-06-15,67.349998,68.300003,67.150002,67.599998,67.599998,1251536
2023-06-16,67.900002,68.949997,67.250000,67.250000,67.250000,1813111
2023-06-19,67.250000,67.349998,64.000000,64.150002,64.150002,1840837
2023-06-20,64.150002,64.349998,62.700001,64.000000,64.000000,1372237
2023-06-21,64.050003,64.900002,62.200001,62.400002,62.400002,1945427
2023-06-22,62.799999,67.300003,62.049999,67.300003,67.300003,2828919
2023-06-23,67.599998,68.949997,67.000000,68.750000,68.750000,2316688
2023-06-26,69.000000,71.349998,68.500000,70.599998,70.599998,1841867
2023-06-27,70.599998,72.599998,70.000000,72.400002,72.400002,1203040
2023-07-03,73.050003,76.599998,73.000000,76.500000,76.500000,3035010
2023-07-04,76.750000,77.400002,74.349998,75.199997,75.199997,2695314
2023-07-05,75.500000,78.900002,75.250000,77.199997,77.199997,3867914
2023-07-06,77.400002,78.500000,76.650002,76.699997,76.699997,2535534
2023-07-07,76.699997,77.449997,75.750000,77.199997,77.199997,2135646
2023-07-10,77.650002,82.599998,77.300003,82.599998,82.599998,6131686
2023-07-11,83.949997,84.449997,80.650002,82.699997,82.699997,3954864
2023-07-12,82.550003,82.699997,79.650002,80.500000,80.500000,2517209
2023-07-13,80.449997,83.250000,79.349998,79.449997,79.449997,3337412
2023-07-14,79.699997,83.900002,79.500000,83.199997,83.199997,3830548
2023-07-17,84.000000,86.849998,83.449997,86.000000,86.000000,3631969
2023-07-18,86.050003,87.000000,80.849998,81.349998,81.349998,3512046
2023-07-19,81.000000,82.699997,79.300003,82.550003,82.550003,2675291
2023-07-20,83.300003,86.650002,82.050003,85.699997,85.699997,4227215
2023-07-21,85.650002,87.650002,83.900002,85.000000,85.000000,3983423
2023-07-24,85.199997,87.300003,83.500000,85.800003,85.800003,5243312
2023-07-25,86.000000,86.349998,79.949997,81.449997,81.449997,3754455
2023-07-26,81.449997,82.500000,80.500000,82.099998,82.099998,2240707
2023-07-27,84.000000,85.000000,83.300003,83.599998,83.599998,2564132
2023-07-28,84.099998,84.949997,82.800003,83.599998,83.599998,2801530
2023-07-31,83.900002,87.000000,83.150002,86.650002,86.650002,5538143
2023-08-01,87.150002,90.550003,86.949997,87.050003,87.050003,6783216
2023-08-02,87.050003,89.250000,86.500000,87.699997,87.699997,3033033
2023-08-03,88.500000,89.250000,85.500000,86.800003,86.800003,3112778
2023-08-04,86.849998,88.900002,85.800003,88.699997,88.699997,2915083
2023-08-07,89.699997,92.000000,89.300003,90.300003,90.300003,4045107
