Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,1.980000,1.990000,1.930000,1.950000,1.950000,1747251
2023-05-11,1.950000,2.030000,1.920000,2.000000,2.000000,3453217
2023-05-12,2.010000,2.030000,1.960000,1.960000,1.960000,1782884
2023-05-15,1.900000,2.010000,1.900000,1.980000,1.980000,1829019
2023-05-16,2.000000,2.050000,1.990000,2.030000,2.030000,2368337
2023-05-17,2.020000,2.080000,2.020000,2.070000,2.070000,2779199
2023-05-18,1.970000,2.020000,1.870000,1.870000,1.870000,14405404
2023-05-22,1.870000,1.880000,1.790000,1.790000,1.790000,4093041
2023-05-23,1.800000,1.850000,1.780000,1.810000,1.810000,3269556
2023-05-24,1.810000,1.890000,1.790000,1.800000,1.800000,5083048
2023-05-25,1.810000,1.820000,1.790000,1.800000,1.800000,1514472
2023-05-26,1.810000,1.840000,1.800000,1.840000,1.840000,2051105
2023-05-29,1.820000,1.920000,1.820000,1.910000,1.910000,5035408
2023-05-30,1.910000,1.940000,1.900000,1.930000,1.930000,4510890
2023-05-31,1.930000,1.980000,1.910000,1.930000,1.930000,6967163
2023-06-01,1.940000,1.960000,1.930000,1.940000,1.940000,3908804
2023-06-02,1.950000,2.000000,1.950000,2.000000,2.000000,7550152
2023-06-05,2.000000,2.060000,2.000000,2.020000,2.020000,7246487
2023-06-06,2.030000,2.030000,1.960000,1.980000,1.980000,5315731
2023-06-07,1.990000,2.050000,1.980000,2.040000,2.040000,7741986
2023-06-08,2.060000,2.100000,2.020000,2.060000,2.060000,7581431
2023-06-09,2.060000,2.260000,2.050000,2.210000,2.210000,26191722
2023-06-12,2.210000,2.300000,2.150000,2.210000,2.210000,20988653
2023-06-13,2.220000,2.230000,2.170000,2.210000,2.210000,6417898
2023-06-14,2.160000,2.360000,2.130000,2.160000,2.160000,15668559
2023-06-15,2.160000,2.230000,2.140000,2.150000,2.150000,7346009
2023-06-16,2.150000,2.150000,2.080000,2.100000,2.100000,7469049
2023-06-19,2.100000,2.120000,1.990000,2.000000,2.000000,4519420
2023-06-20,1.990000,2.000000,1.930000,1.960000,1.960000,4472566
2023-06-21,1.970000,2.000000,1.900000,1.910000,1.910000,3608580
2023-06-22,1.910000,1.970000,1.880000,1.930000,1.930000,3226375
2023-06-23,1.940000,2.020000,1.940000,1.980000,1.980000,3711073
2023-06-26,1.990000,2.040000,1.980000,2.030000,2.030000,3837089
2023-06-27,2.030000,2.060000,2.010000,2.050000,2.050000,1462381
2023-07-03,2.050000,2.150000,2.050000,2.120000,2.120000,3761394
2023-07-04,2.130000,2.150000,2.050000,2.100000,2.100000,7396392
2023-07-05,2.100000,2.270000,2.080000,2.180000,2.180000,15514675
2023-07-06,2.190000,2.300000,2.190000,2.250000,2.250000,12833638
2023-07-07,2.270000,2.320000,2.220000,2.250000,2.250000,14729034
2023-07-10,2.280000,2.390000,2.240000,2.350000,2.350000,18051288
2023-07-11,2.370000,2.430000,2.290000,2.310000,2.310000,12310684
2023-07-12,2.320000,2.360000,2.310000,2.320000,2.320000,10362127
2023-07-13,2.330000,2.380000,2.300000,2.330000,2.330000,10360153
2023-07-14,2.340000,2.560000,2.310000,2.560000,2.560000,25822736
2023-07-17,2.630000,2.760000,2.570000,2.580000,2.580000,21354586
2023-07-18,2.580000,2.700000,2.470000,2.540000,2.540000,24668511
2023-07-19,2.540000,2.560000,2.470000,2.520000,2.520000,13173845
2023-07-20,2.530000,2.560000,2.490000,2.520000,2.520000,10061609
2023-07-21,2.520000,2.660000,2.520000,2.550000,2.550000,12220474
2023-07-24,2.570000,2.650000,2.500000,2.520000,2.520000,14327274
2023-07-25,2.530000,2.690000,2.480000,2.560000,2.560000,19804266
2023-07-26,2.590000,2.810000,2.570000,2.810000,2.810000,17012723
2023-07-27,2.990000,3.090000,2.970000,3.090000,3.090000,6130846
2023-07-28,3.300000,3.390000,2.990000,3.000000,3.000000,48437978
2023-07-31,3.000000,3.300000,2.880000,3.300000,3.300000,33684313
2023-08-01,3.340000,3.570000,3.320000,3.330000,3.330000,33523632
2023-08-02,3.330000,3.660000,3.220000,3.660000,3.660000,29326370
2023-08-03,3.850000,4.020000,3.820000,4.020000,4.020000,31694847
2023-08-04,4.020000,4.230000,3.720000,3.820000,3.820000,31121573
2023-08-07,3.820000,4.000000,3.700000,3.780000,3.780000,15200717
2023-08-08,3.780000,3.970000,3.610000,3.860000,3.860000,21528652
2023-08-09,3.860000,3.930000,3.700000,3.700000,3.700000,11643712
2023-08-10,3.700000,3.770000,3.330000,3.400000,3.400000,14466581
2023-08-11,3.460000,3.740000,3.270000,3.740000,3.740000,14735496
2023-08-14,3.940000,4.090000,3.890000,4.000000,4.000000,18494771
2023-08-15,4.000000,4.280000,3.820000,3.970000,3.970000,15305981
2023-08-16,3.900000,4.170000,3.890000,3.920000,3.920000,10467163
