Date,Open,High,Low,Close,Adj Close,Volume
2023-05-04,2.470000,2.580000,2.470000,2.520000,2.520000,16287988
2023-05-05,2.530000,2.550000,2.410000,2.450000,2.450000,21668862
2023-05-08,2.470000,2.560000,2.420000,2.550000,2.550000,32914306
2023-05-09,2.540000,2.680000,2.500000,2.540000,2.540000,50270839
2023-05-10,2.550000,2.570000,2.480000,2.510000,2.510000,25875067
2023-05-11,2.510000,2.700000,2.500000,2.660000,2.660000,98635633
2023-05-12,2.660000,2.740000,2.510000,2.530000,2.530000,82367199
2023-05-15,2.400000,2.530000,2.290000,2.340000,2.340000,39596739
2023-05-16,2.350000,2.400000,2.290000,2.390000,2.390000,52070627
2023-05-17,2.390000,2.460000,2.380000,2.430000,2.430000,31360857
2023-05-18,2.440000,2.470000,2.360000,2.370000,2.370000,21743371
2023-05-22,2.380000,2.410000,2.320000,2.340000,2.340000,24442559
2023-05-23,2.340000,2.360000,2.310000,2.310000,2.310000,16478713
2023-05-24,2.320000,2.340000,2.270000,2.310000,2.310000,24194470
2023-05-25,2.310000,2.390000,2.300000,2.370000,2.370000,39638384
2023-05-26,2.370000,2.410000,2.350000,2.380000,2.380000,48544219
2023-05-29,2.410000,2.500000,2.390000,2.490000,2.490000,83882117
2023-05-30,2.500000,2.630000,2.480000,2.560000,2.560000,324783836
2023-05-31,2.550000,2.550000,2.500000,2.500000,2.500000,118234225
2023-06-01,2.520000,2.620000,2.520000,2.580000,2.580000,134393751
2023-06-02,2.680000,2.730000,2.640000,2.670000,2.670000,96389701
2023-06-05,2.730000,2.750000,2.690000,2.730000,2.730000,41585005
2023-06-06,2.740000,2.860000,2.710000,2.810000,2.810000,87885007
2023-06-07,2.820000,2.850000,2.790000,2.800000,2.800000,74493747
2023-06-08,2.800000,2.840000,2.770000,2.820000,2.820000,78201420
2023-06-09,2.820000,2.890000,2.810000,2.880000,2.880000,105747027
2023-06-12,2.900000,2.930000,2.820000,2.830000,2.830000,47300740
2023-06-13,2.820000,2.840000,2.760000,2.770000,2.770000,42130776
2023-06-14,2.770000,2.860000,2.730000,2.760000,2.760000,94768786
2023-06-15,2.770000,2.830000,2.770000,2.820000,2.820000,52100354
2023-06-16,2.840000,2.850000,2.790000,2.830000,2.830000,48915654
2023-06-19,2.820000,2.890000,2.770000,2.780000,2.780000,71762099
2023-06-20,2.780000,2.820000,2.730000,2.760000,2.760000,57675944
2023-06-21,2.770000,2.840000,2.770000,2.830000,2.830000,48031509
2023-06-22,2.830000,2.890000,2.800000,2.890000,2.890000,64054455
2023-06-23,2.920000,3.040000,2.900000,2.930000,2.930000,70002602
2023-06-26,2.980000,2.990000,2.930000,2.970000,2.970000,63700196
2023-06-27,2.970000,2.970000,2.930000,2.940000,2.940000,13839259
2023-07-03,2.960000,3.040000,2.950000,3.020000,3.020000,39566979
2023-07-04,3.030000,3.190000,3.020000,3.120000,3.120000,117938591
2023-07-05,3.120000,3.150000,3.070000,3.130000,3.130000,51333558
2023-07-06,3.140000,3.170000,3.100000,3.100000,3.100000,34467408
2023-07-07,3.090000,3.130000,3.080000,3.100000,3.100000,24936084
2023-07-10,3.130000,3.150000,3.070000,3.080000,3.080000,71405167
2023-07-11,3.110000,3.270000,3.070000,3.140000,3.140000,148318937
2023-07-12,3.130000,3.210000,3.100000,3.100000,3.100000,113713233
2023-07-13,3.110000,3.200000,3.060000,3.100000,3.100000,113807381
2023-07-14,3.130000,3.140000,3.070000,3.130000,3.130000,43788243
2023-07-17,3.150000,3.190000,3.110000,3.140000,3.140000,67875736
2023-07-18,3.150000,3.170000,3.070000,3.070000,3.070000,56933515
2023-07-19,3.070000,3.140000,3.060000,3.120000,3.120000,50734714
2023-07-20,3.140000,3.210000,3.120000,3.190000,3.190000,135547351
2023-07-21,3.190000,3.260000,3.140000,3.210000,3.210000,87856378
2023-07-24,3.220000,3.290000,3.160000,3.190000,3.190000,71035904
2023-07-25,3.190000,3.270000,3.130000,3.160000,3.160000,51337166
2023-07-26,3.150000,3.240000,3.140000,3.190000,3.190000,29028925
2023-07-27,3.200000,3.350000,3.200000,3.310000,3.310000,67572679
2023-07-28,3.360000,3.490000,3.360000,3.430000,3.430000,80691115
2023-07-31,3.460000,3.480000,3.380000,3.410000,3.410000,65320923
2023-08-01,3.400000,3.440000,3.230000,3.260000,3.260000,50716405
2023-08-02,3.260000,3.390000,3.230000,3.330000,3.330000,67001640
2023-08-03,3.340000,3.370000,3.260000,3.270000,3.270000,48769328
2023-08-04,3.270000,3.360000,3.270000,3.320000,3.320000,38007512
2023-08-07,3.330000,3.420000,3.310000,3.340000,3.340000,53000492
2023-08-08,3.350000,3.390000,3.300000,3.330000,3.330000,70555155
