Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,2.840000,2.870000,2.600000,2.630000,2.630000,849620
2023-05-03,2.500000,2.550000,2.370000,2.370000,2.370000,1238435
2023-05-04,2.320000,2.500000,2.210000,2.400000,2.400000,1059860
2023-05-05,2.410000,2.410000,2.290000,2.400000,2.400000,573055
2023-05-08,2.380000,2.490000,2.290000,2.470000,2.470000,573771
2023-05-09,2.450000,2.470000,2.370000,2.410000,2.410000,595043
2023-05-10,2.460000,2.600000,2.410000,2.480000,2.480000,949516
2023-05-11,2.480000,2.600000,2.470000,2.580000,2.580000,843026
2023-05-12,2.580000,2.580000,2.440000,2.540000,2.540000,828256
2023-05-15,2.370000,2.580000,2.370000,2.500000,2.500000,573861
2023-05-16,2.490000,2.530000,2.470000,2.510000,2.510000,420405
2023-05-17,2.510000,2.560000,2.460000,2.500000,2.500000,605802
2023-05-18,2.500000,2.500000,2.380000,2.440000,2.440000,648126
2023-05-22,2.400000,2.480000,2.360000,2.420000,2.420000,566081
2023-05-23,2.400000,2.480000,2.350000,2.410000,2.410000,605000
2023-05-24,2.400000,2.420000,2.350000,2.380000,2.380000,486201
2023-05-25,2.400000,2.410000,2.350000,2.400000,2.400000,461466
2023-05-26,2.390000,2.530000,2.380000,2.480000,2.480000,543271
2023-05-29,2.500000,2.560000,2.460000,2.520000,2.520000,979439
2023-05-30,2.540000,2.570000,2.500000,2.560000,2.560000,900710
2023-05-31,2.560000,2.710000,2.520000,2.650000,2.650000,1156376
2023-06-01,2.650000,2.790000,2.600000,2.740000,2.740000,963604
2023-06-02,2.750000,2.800000,2.690000,2.750000,2.750000,973732
2023-06-05,2.750000,2.770000,2.690000,2.740000,2.740000,993271
2023-06-06,2.740000,2.740000,2.610000,2.640000,2.640000,1129271
2023-06-07,2.640000,2.710000,2.610000,2.640000,2.640000,1292590
2023-06-08,2.640000,2.800000,2.600000,2.680000,2.680000,1682518
2023-06-09,2.700000,2.770000,2.680000,2.740000,2.740000,1085337
2023-06-12,2.740000,3.010000,2.740000,3.010000,3.010000,2357164
2023-06-13,3.100000,3.310000,2.880000,3.310000,3.310000,4093460
2023-06-14,3.310000,3.640000,3.180000,3.530000,3.530000,4567146
2023-06-15,3.470000,3.530000,3.250000,3.270000,3.270000,2446824
2023-06-16,3.500000,3.510000,3.200000,3.300000,3.300000,1989014
2023-06-19,3.300000,3.300000,3.050000,3.080000,3.080000,1725346
2023-06-20,3.080000,3.200000,2.960000,3.170000,3.170000,1461719
2023-06-21,3.180000,3.320000,3.030000,3.180000,3.180000,1721177
2023-06-22,3.150000,3.330000,3.140000,3.300000,3.300000,1863572
2023-06-23,3.300000,3.430000,3.250000,3.420000,3.420000,1732339
2023-06-26,3.420000,3.650000,3.410000,3.610000,3.610000,1815145
2023-06-27,3.920000,3.920000,3.610000,3.850000,3.850000,1926913
2023-07-03,3.840000,3.980000,3.680000,3.850000,3.850000,5982977
2023-07-04,3.860000,4.180000,3.720000,4.120000,4.120000,9086944
2023-07-05,4.120000,4.290000,4.040000,4.160000,4.160000,6070463
2023-07-06,4.160000,4.160000,3.960000,4.010000,4.010000,7542303
2023-07-07,4.010000,4.410000,3.820000,4.300000,4.300000,23792500
2023-07-10,4.350000,4.500000,4.220000,4.390000,4.390000,11744025
2023-07-11,4.460000,4.490000,4.270000,4.340000,4.340000,4759384
2023-07-12,4.340000,4.440000,4.210000,4.320000,4.320000,7003960
2023-07-13,4.350000,4.480000,4.300000,4.360000,4.360000,7931811
2023-07-14,4.360000,4.650000,4.300000,4.480000,4.480000,11365923
2023-07-17,4.430000,4.520000,4.210000,4.330000,4.330000,10129755
2023-07-18,4.330000,4.340000,4.150000,4.170000,4.170000,4706685
2023-07-19,4.170000,4.340000,4.040000,4.210000,4.210000,4514280
2023-07-20,4.250000,4.370000,4.210000,4.310000,4.310000,5528885
2023-07-21,4.310000,4.340000,4.240000,4.270000,4.270000,3244532
2023-07-24,4.280000,4.370000,4.170000,4.200000,4.200000,6494014
2023-07-25,4.200000,4.210000,3.940000,4.080000,4.080000,5089600
2023-07-26,4.100000,4.480000,4.060000,4.480000,4.480000,19528862
2023-07-27,4.710000,4.900000,4.540000,4.790000,4.790000,26725064
2023-07-28,4.890000,5.260000,4.730000,5.260000,5.260000,21628567
2023-07-31,5.460000,5.780000,5.410000,5.780000,5.780000,18724330
2023-08-01,5.980000,6.130000,5.210000,5.260000,5.260000,21141675
2023-08-02,5.200000,5.240000,4.900000,5.050000,5.050000,14135256
2023-08-03,5.000000,5.270000,4.970000,5.010000,5.010000,7700594
2023-08-04,5.060000,5.380000,4.990000,5.200000,5.200000,11505630
