Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,2.780000,2.940000,2.760000,2.760000,2.760000,2415661
2023-05-11,2.720000,2.940000,2.700000,2.940000,2.940000,2092519
2023-05-12,3.030000,3.030000,2.800000,2.830000,2.830000,1428516
2023-05-15,2.780000,2.880000,2.770000,2.780000,2.780000,870180
2023-05-16,2.780000,2.860000,2.780000,2.860000,2.860000,730951
2023-05-17,2.870000,2.910000,2.850000,2.890000,2.890000,961314
2023-05-18,2.890000,2.910000,2.810000,2.810000,2.810000,781723
2023-05-22,2.830000,2.860000,2.800000,2.800000,2.800000,486182
2023-05-23,2.820000,2.880000,2.810000,2.810000,2.810000,655965
2023-05-24,2.810000,2.870000,2.780000,2.790000,2.790000,2305300
2023-05-25,2.800000,2.830000,2.780000,2.800000,2.800000,560043
2023-05-26,2.810000,2.850000,2.800000,2.840000,2.840000,770795
2023-05-29,2.870000,3.000000,2.850000,2.960000,2.960000,1852762
2023-05-30,2.970000,3.060000,2.970000,3.050000,3.050000,2687108
2023-05-31,3.060000,3.070000,2.990000,3.000000,3.000000,1922052
2023-06-01,3.010000,3.110000,3.010000,3.060000,3.060000,2131060
2023-06-02,3.070000,3.310000,3.060000,3.250000,3.250000,6015331
2023-06-05,3.240000,3.310000,3.230000,3.280000,3.280000,1989982
2023-06-06,3.300000,3.320000,3.220000,3.300000,3.300000,1381246
2023-06-07,3.300000,3.330000,3.260000,3.260000,3.260000,1291568
2023-06-08,3.260000,3.290000,3.220000,3.230000,3.230000,813977
2023-06-09,3.240000,3.440000,3.210000,3.390000,3.390000,3751720
2023-06-12,3.390000,3.660000,3.390000,3.570000,3.570000,3879467
2023-06-13,3.570000,3.630000,3.440000,3.610000,3.610000,2945838
2023-06-14,3.650000,3.970000,3.590000,3.970000,3.970000,7343430
2023-06-15,4.050000,4.300000,3.970000,4.270000,4.270000,8116353
2023-06-16,4.270000,4.410000,4.110000,4.240000,4.240000,5258621
2023-06-19,4.240000,4.580000,4.160000,4.310000,4.310000,5417940
2023-06-20,4.290000,4.540000,4.110000,4.360000,4.360000,4567631
2023-06-21,4.360000,4.750000,4.260000,4.700000,4.700000,7578000
2023-06-22,4.690000,5.060000,4.540000,5.010000,5.010000,6495225
2023-06-23,5.030000,5.210000,4.760000,4.760000,4.760000,5468724
2023-06-26,4.760000,5.130000,4.720000,5.090000,5.090000,4933523
2023-06-27,5.110000,5.590000,5.090000,5.590000,5.590000,5572317
2023-07-03,5.750000,6.140000,5.750000,6.140000,6.140000,1783730
2023-07-04,6.420000,6.750000,6.100000,6.140000,6.140000,13636078
2023-07-05,6.150000,6.750000,6.150000,6.750000,6.750000,10686843
2023-07-06,6.800000,7.420000,6.800000,7.420000,7.420000,7254469
2023-07-07,7.600000,8.100000,7.220000,7.220000,7.220000,5591596
2023-07-10,7.320000,7.900000,6.900000,7.750000,7.750000,7493658
2023-07-11,7.990000,8.520000,7.830000,8.520000,8.520000,5789462
2023-07-12,8.650000,9.370000,8.650000,9.370000,9.370000,7937499
2023-07-13,9.600000,10.100000,8.640000,9.590000,9.590000,3934492
2023-07-14,9.190000,9.280000,8.640000,8.640000,8.640000,1342018
2023-07-17,8.160000,9.270000,7.780000,8.630000,8.630000,3112375
2023-07-18,7.990000,8.290000,7.770000,7.770000,7.770000,2631720
2023-07-19,7.300000,7.500000,7.000000,7.250000,7.250000,2278185
2023-07-20,7.100000,7.820000,6.930000,7.770000,7.770000,2248179
2023-07-21,7.710000,7.730000,7.100000,7.250000,7.250000,1984668
2023-07-24,7.250000,7.550000,6.910000,7.100000,7.100000,2181008
2023-07-25,7.100000,7.100000,6.500000,6.600000,6.600000,1477167
2023-07-26,6.500000,6.850000,6.300000,6.630000,6.630000,980846
2023-07-27,6.590000,7.100000,6.470000,6.980000,6.980000,1347807
2023-07-28,6.950000,7.670000,6.770000,7.670000,7.670000,2256289
2023-07-31,7.670000,8.430000,7.670000,8.430000,8.430000,3010414
2023-08-01,8.460000,8.970000,8.000000,8.260000,8.260000,1902830
2023-08-02,8.240000,8.400000,7.840000,7.940000,7.940000,1431351
2023-08-03,7.920000,7.930000,7.530000,7.530000,7.530000,1201170
2023-08-04,7.500000,7.850000,7.160000,7.690000,7.690000,1174600
2023-08-07,7.690000,8.000000,7.540000,7.590000,7.590000,1156111
2023-08-08,7.670000,7.670000,7.000000,7.300000,7.300000,843953
2023-08-09,7.300000,7.440000,7.040000,7.100000,7.100000,915426
2023-08-10,7.120000,7.250000,6.860000,6.870000,6.870000,870290
