Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,6.271077,6.490154,6.134154,6.177969,6.177969,1131593
2023-05-02,6.177969,6.177969,5.641231,5.969846,5.969846,1522900
2023-05-03,5.964369,6.024615,5.641231,5.685046,5.685046,839139
2023-05-04,5.613846,5.821969,5.613846,5.668615,5.668615,813942
2023-05-05,5.674092,6.134154,5.487877,5.800061,5.800061,2697386
2023-05-08,5.964369,6.084861,5.789107,5.871261,5.871261,723302
2023-05-09,5.871261,5.871261,5.652184,5.712431,5.712431,1568886
2023-05-10,5.712431,5.717907,5.515261,5.559077,5.559077,890317
2023-05-11,5.750769,5.767200,5.575507,5.750769,5.750769,1620491
2023-05-12,5.750769,5.778154,5.602892,5.630277,5.630277,814557
2023-05-15,5.602892,5.915077,5.509784,5.608369,5.608369,932695
2023-05-16,5.624800,5.723384,5.586461,5.646707,5.646707,824172
2023-05-17,5.646707,5.789107,5.646707,5.750769,5.750769,1085918
2023-05-18,5.750769,5.936984,5.668615,5.854831,5.854831,3089186
2023-05-22,5.860308,6.019138,5.750769,5.789107,5.789107,1660072
2023-05-23,5.789107,5.860308,5.652184,5.706954,5.706954,1356836
2023-05-24,5.778154,5.800061,5.619323,5.750769,5.750769,1069934
2023-05-25,5.767200,5.926031,5.696000,5.843877,5.843877,695841
2023-05-26,5.843877,6.265600,5.761723,5.969846,5.969846,3497781
2023-05-29,6.019138,6.101292,5.969846,6.062954,6.062954,2087971
2023-05-30,6.062954,6.276554,6.052000,6.254646,6.254646,2247679
2023-05-31,6.287508,6.298461,6.145108,6.188923,6.188923,1465134
2023-06-01,6.243692,6.353231,6.188923,6.298461,6.298461,1083327
2023-06-02,6.298461,6.440861,6.232738,6.342277,6.342277,1344256
2023-06-05,6.364184,6.523015,6.364184,6.495631,6.495631,1465990
2023-06-06,6.506584,6.544923,6.320369,6.413477,6.413477,1298917
2023-06-07,6.446338,6.659938,6.424431,6.550400,6.550400,1809011
2023-06-08,6.550400,6.714708,6.402523,6.446338,6.446338,1305391
2023-06-09,6.462769,6.709231,6.446338,6.692800,6.692800,1419495
2023-06-12,6.670892,6.846154,6.610646,6.621600,6.621600,1496387
2023-06-13,6.632554,6.670892,6.375138,6.375138,6.375138,1062779
2023-06-14,6.375138,6.528492,6.057477,6.282031,6.282031,1142398
2023-06-15,6.282031,6.506584,6.188923,6.397046,6.397046,2479737
2023-06-16,6.386092,6.665415,6.380615,6.512061,6.512061,2671868
2023-06-19,6.517538,6.550400,6.188923,6.298461,6.298461,1326978
2023-06-20,6.298461,6.446338,6.161538,6.249169,6.249169,1048152
2023-06-21,6.314892,6.391569,6.150584,6.249169,6.249169,1070663
2023-06-22,6.572308,6.681846,6.397046,6.440861,6.440861,4079909
2023-06-23,6.654461,7.081661,6.512061,7.081661,7.081661,6202843
2023-06-26,7.210000,7.610000,7.210000,7.250000,7.250000,5683039
2023-06-27,7.400000,7.950000,7.200000,7.810000,7.810000,2342219
2023-07-03,8.100000,8.290000,7.900000,8.080000,8.080000,3593880
2023-07-04,8.040000,8.080000,7.800000,7.890000,7.890000,2350109
2023-07-05,8.060000,8.060000,7.870000,7.980000,7.980000,2341624
2023-07-06,7.900000,8.000000,7.790000,7.850000,7.850000,2342958
2023-07-07,7.950000,7.960000,7.770000,7.870000,7.870000,1772356
2023-07-10,7.890000,8.180000,7.870000,8.150000,8.150000,3014365
2023-07-11,8.210000,8.670000,7.850000,8.450000,8.450000,5246761
2023-07-12,8.450000,8.550000,8.130000,8.270000,8.270000,2266691
2023-07-13,8.310000,8.450000,8.040000,8.070000,8.070000,2414129
2023-07-14,8.070000,8.370000,7.950000,8.190000,8.190000,3072221
2023-07-17,8.300000,8.390000,8.190000,8.230000,8.230000,2586658
2023-07-18,8.290000,8.310000,7.910000,7.910000,7.910000,2374283
2023-07-19,8.020000,8.040000,7.850000,8.020000,8.020000,1240871
2023-07-20,8.040000,8.120000,7.920000,8.020000,8.020000,1416856
2023-07-21,8.040000,8.340000,7.930000,8.290000,8.290000,4487967
2023-07-24,8.400000,8.750000,8.180000,8.460000,8.460000,5361681
2023-07-25,8.550000,8.620000,8.180000,8.240000,8.240000,2108579
2023-07-26,8.470000,8.550000,8.250000,8.540000,8.540000,2872036
2023-07-27,8.690000,8.690000,8.390000,8.580000,8.580000,2535650
2023-07-28,8.550000,8.780000,8.470000,8.490000,8.490000,3386565
2023-07-31,8.500000,8.560000,8.250000,8.450000,8.450000,2504848
2023-08-01,8.450000,8.500000,8.280000,8.340000,8.340000,1745602
2023-08-02,8.330000,8.540000,8.250000,8.330000,8.330000,2396109
2023-08-03,8.330000,8.420000,8.180000,8.230000,8.230000,2338820
2023-08-04,8.310000,8.500000,7.900000,8.420000,8.420000,2245443
