Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,122.099998,126.000000,111.800003,113.699997,113.699997,2997407
2023-05-09,125.000000,125.000000,125.000000,125.000000,125.000000,421039
2023-05-10,137.500000,137.500000,131.199997,137.500000,137.500000,2153275
2023-05-11,135.000000,146.699997,133.500000,140.399994,140.399994,4127570
2023-05-12,140.500000,141.100006,133.500000,136.000000,136.000000,1818435
2023-05-15,130.000000,148.000000,128.399994,144.300003,144.300003,3071510
2023-05-16,144.300003,156.100006,141.399994,152.500000,152.500000,2779904
2023-05-17,152.699997,159.800003,151.000000,157.699997,157.699997,2257165
2023-05-18,156.000000,157.500000,148.199997,153.699997,153.699997,1642429
2023-05-22,154.800003,168.300003,154.399994,168.000000,168.000000,2080024
2023-05-23,168.199997,180.500000,152.800003,158.000000,158.000000,3838015
2023-05-24,156.000000,168.000000,148.899994,163.000000,163.000000,3330013
2023-05-25,165.500000,179.300003,162.000000,179.300003,179.300003,2787524
2023-05-26,179.000000,186.500000,172.800003,174.899994,174.899994,3543432
2023-05-29,178.899994,182.399994,173.199997,173.399994,173.399994,2053581
2023-05-30,176.000000,180.199997,169.000000,174.800003,174.800003,3155615
2023-05-31,174.800003,181.000000,172.899994,181.000000,181.000000,2797160
2023-06-01,181.000000,199.100006,180.199997,199.100006,199.100006,2438540
2023-06-02,205.000000,218.500000,203.600006,208.199997,208.199997,4077994
2023-06-05,213.600006,229.000000,213.300003,229.000000,229.000000,1984988
2023-06-06,236.000000,243.300003,217.000000,219.699997,219.699997,4206273
2023-06-07,227.899994,241.600006,221.899994,241.600006,241.600006,2255827
2023-06-08,248.600006,263.000000,241.600006,249.600006,249.600006,5817402
2023-06-09,254.300003,271.799988,253.000000,269.200012,269.200012,4702102
2023-06-12,280.000000,285.000000,254.100006,261.000000,261.000000,4901583
2023-06-13,261.000000,266.799988,238.000000,238.300003,238.300003,3888435
2023-06-14,238.500000,262.100006,227.399994,262.100006,262.100006,3102961
2023-06-15,265.299988,276.799988,247.800003,254.899994,254.899994,4133357
2023-06-16,258.500000,262.500000,240.699997,249.899994,249.899994,2331622
2023-06-19,260.799988,262.000000,241.500000,242.899994,242.899994,1800100
2023-06-20,242.699997,242.699997,227.000000,230.500000,230.500000,1941549
2023-06-21,231.500000,234.699997,213.399994,222.000000,222.000000,2396210
2023-06-22,224.899994,244.199997,213.699997,244.199997,244.199997,3150885
2023-06-23,250.300003,268.600006,250.000000,268.000000,268.000000,3117228
2023-06-26,267.000000,284.100006,257.899994,271.500000,271.500000,3562347
2023-06-27,271.500000,278.399994,265.000000,269.500000,269.500000,1203077
2023-07-03,270.500000,292.000000,265.799988,285.000000,285.000000,4152926
2023-07-04,285.100006,291.399994,271.500000,272.399994,272.399994,2175827
2023-07-05,272.399994,277.799988,263.100006,270.600006,270.600006,1806103
2023-07-06,271.500000,273.600006,265.000000,265.000000,265.000000,1273406
2023-07-07,265.000000,268.500000,255.300003,266.600006,266.600006,1414550
2023-07-10,267.600006,284.399994,263.299988,277.000000,277.000000,3154326
2023-07-11,281.500000,283.500000,268.600006,270.200012,270.200012,1454778
2023-07-12,270.700012,279.500000,266.100006,272.000000,272.000000,1455684
2023-07-13,273.500000,274.000000,264.000000,265.399994,265.399994,982612
2023-07-14,267.399994,290.000000,258.799988,282.600006,282.600006,3349273
2023-07-17,291.799988,297.799988,285.000000,287.500000,287.500000,2545489
2023-07-18,288.100006,289.799988,270.000000,270.000000,270.000000,2242119
2023-07-19,270.000000,278.000000,265.600006,273.500000,273.500000,1163861
2023-07-20,273.500000,276.600006,268.500000,273.000000,273.000000,1360638
2023-07-21,274.299988,276.000000,266.200012,268.600006,268.600006,1456044
2023-07-24,269.700012,288.200012,266.799988,273.000000,273.000000,3184739
2023-07-25,274.200012,300.299988,268.899994,300.299988,300.299988,2765275
2023-07-26,311.000000,327.200012,302.000000,306.000000,306.000000,4817518
2023-07-27,312.000000,319.399994,303.000000,305.399994,305.399994,1976030
2023-07-28,309.899994,319.600006,301.000000,308.000000,308.000000,2718933
2023-07-31,311.000000,322.000000,307.000000,311.100006,311.100006,2158937
2023-08-01,313.899994,317.899994,303.700012,307.500000,307.500000,1958676
2023-08-02,310.000000,315.500000,305.100006,306.600006,306.600006,1410182
2023-08-03,309.100006,330.000000,307.000000,318.299988,318.299988,3520832
2023-08-04,323.899994,346.700012,315.399994,323.200012,323.200012,4487292
2023-08-07,325.000000,334.200012,314.899994,316.000000,316.000000,1997128
