Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,41.259998,41.900002,39.919998,40.700001,40.700001,1216550
2023-05-11,40.000000,42.200001,39.400002,41.000000,41.000000,2540668
2023-05-12,41.119999,41.680000,39.560001,40.080002,40.080002,1099825
2023-05-15,37.700001,42.500000,37.700001,39.459999,39.459999,1770651
2023-05-16,39.400002,43.400002,39.040001,43.400002,43.400002,1867867
2023-05-17,44.419998,46.660000,43.400002,44.959999,44.959999,3630452
2023-05-18,44.959999,45.119999,42.000000,42.500000,42.500000,1531834
2023-05-22,42.500000,43.919998,41.700001,43.000000,43.000000,1884854
2023-05-23,43.700001,47.299999,42.919998,47.299999,47.299999,3485721
2023-05-24,49.020000,49.400002,43.520000,43.740002,43.740002,5425005
2023-05-25,43.880001,45.279999,42.200001,43.000000,43.000000,2558228
2023-05-26,43.000000,44.240002,42.520000,44.080002,44.080002,1347018
2023-05-29,45.700001,47.500000,44.439999,46.660000,46.660000,2101047
2023-05-30,47.200001,49.200001,46.060001,47.799999,47.799999,3013468
2023-05-31,47.580002,50.599998,46.560001,48.900002,48.900002,2714383
2023-06-01,50.000000,53.750000,49.520000,52.900002,52.900002,4024664
2023-06-02,52.849998,54.200001,51.849998,52.000000,52.000000,2415092
2023-06-05,52.500000,55.150002,51.700001,53.750000,53.750000,4398277
2023-06-06,53.799999,54.450001,51.549999,51.900002,51.900002,1430737
2023-06-07,52.000000,53.099998,51.450001,51.500000,51.500000,1416255
2023-06-08,51.349998,51.750000,49.820000,50.900002,50.900002,1293355
2023-06-09,50.900002,51.950001,49.860001,51.299999,51.299999,1601573
2023-06-12,51.799999,54.000000,50.700001,51.799999,51.799999,2335794
2023-06-13,52.099998,52.500000,48.660000,48.820000,48.820000,1352584
2023-06-14,48.820000,50.500000,46.680000,48.500000,48.500000,1555491
2023-06-15,48.599998,49.799999,48.599998,48.820000,48.820000,883272
2023-06-16,48.840000,49.680000,47.639999,48.000000,48.000000,1043355
2023-06-19,48.320000,48.480000,45.299999,45.919998,45.919998,957330
2023-06-20,45.900002,45.900002,44.000000,44.520000,44.520000,942969
2023-06-21,44.540001,46.240002,43.799999,44.360001,44.360001,1098725
2023-06-22,44.360001,46.900002,43.820000,45.660000,45.660000,1091369
2023-06-23,46.200001,48.599998,45.900002,47.580002,47.580002,1494865
2023-06-26,47.639999,49.860001,47.639999,49.020000,49.020000,974011
2023-06-27,49.139999,51.849998,49.139999,51.200001,51.200001,1055412
2023-07-03,51.299999,56.299999,51.299999,55.099998,55.099998,3174654
2023-07-04,55.549999,59.900002,55.049999,58.900002,58.900002,4512680
2023-07-05,58.950001,61.799999,57.549999,58.000000,58.000000,3414121
2023-07-06,57.950001,59.799999,56.799999,58.500000,58.500000,1937854
2023-07-07,60.000000,62.900002,58.599998,61.349998,61.349998,3104090
2023-07-10,62.000000,63.150002,60.450001,60.900002,60.900002,2933058
2023-07-11,61.500000,62.150002,58.450001,59.799999,59.799999,2029263
2023-07-12,62.000000,65.750000,61.849998,65.750000,65.750000,5719019
2023-07-13,65.400002,70.699997,63.950001,65.150002,65.150002,7300750
2023-07-14,65.000000,65.000000,62.150002,64.199997,64.199997,3238043
2023-07-17,64.449997,68.300003,64.000000,66.250000,66.250000,2781161
2023-07-18,66.500000,67.000000,61.799999,61.799999,61.799999,2081116
2023-07-19,61.799999,64.000000,60.049999,63.250000,63.250000,1614079
2023-07-20,64.500000,66.349998,62.700001,65.400002,65.400002,2563624
2023-07-21,65.400002,67.800003,64.000000,65.050003,65.050003,2771329
2023-07-24,65.099998,71.400002,64.800003,69.599998,69.599998,4773774
2023-07-25,69.599998,70.800003,65.500000,66.050003,66.050003,3302249
2023-07-26,66.449997,69.800003,66.449997,68.599998,68.599998,2238564
2023-07-27,68.599998,75.449997,68.099998,75.449997,75.449997,4091581
2023-07-28,75.500000,81.550003,74.550003,77.650002,77.650002,5616431
2023-07-31,78.000000,80.750000,75.050003,77.349998,77.349998,4031187
2023-08-01,77.349998,77.449997,72.400002,73.199997,73.199997,3200345
2023-08-02,73.300003,76.300003,71.900002,72.400002,72.400002,1996460
2023-08-03,72.300003,75.800003,71.400002,73.750000,73.750000,3497902
2023-08-04,74.650002,74.699997,72.000000,72.750000,72.750000,1525971
2023-08-07,72.849998,80.000000,72.099998,80.000000,80.000000,4187176
2023-08-08,82.000000,86.500000,78.599998,81.949997,81.949997,5983834
2023-08-09,82.800003,89.000000,80.199997,85.900002,85.900002,4684570
2023-08-10,88.099998,94.449997,87.099998,94.449997,94.449997,6016913
2023-08-11,95.250000,98.750000,89.199997,92.849998,92.849998,7568924
2023-08-14,96.000000,102.099998,94.800003,102.099998,102.099998,3834141
2023-08-15,104.599998,111.900002,99.800003,104.500000,104.500000,4472317
2023-08-16,104.000000,107.000000,100.099998,102.500000,102.500000,2455498
