Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,528.000000,533.799988,483.299988,483.399994,483.399994,61992
2023-05-03,459.299988,478.399994,435.100006,436.500000,436.500000,64445
2023-05-04,436.500000,449.899994,430.600006,437.299988,437.299988,41089
2023-05-05,438.000000,446.899994,417.500000,420.700012,420.700012,29880
2023-05-08,425.000000,428.500000,413.500000,425.399994,425.399994,35772
2023-05-09,425.399994,431.000000,415.299988,416.000000,416.000000,25525
2023-05-10,416.200012,425.000000,412.000000,415.000000,415.000000,19413
2023-05-11,416.000000,435.799988,415.000000,430.299988,430.299988,31350
2023-05-12,430.500000,435.700012,413.600006,415.600006,415.600006,22243
2023-05-15,407.100006,423.299988,399.299988,406.000000,406.000000,32244
2023-05-16,409.700012,425.000000,408.000000,418.700012,418.700012,22905
2023-05-17,419.500000,444.200012,418.700012,428.899994,428.899994,34185
2023-05-18,431.799988,435.000000,415.100006,419.000000,419.000000,15367
2023-05-22,419.399994,425.600006,399.100006,411.100006,411.100006,17959
2023-05-23,411.500000,417.000000,410.000000,413.500000,413.500000,20114
2023-05-24,413.500000,421.000000,408.200012,418.899994,418.899994,28729
2023-05-25,416.899994,427.000000,416.200012,422.000000,422.000000,22791
2023-05-26,422.000000,438.899994,420.899994,432.000000,432.000000,34670
2023-05-29,441.799988,474.899994,440.700012,466.899994,466.899994,88735
2023-05-30,470.000000,513.500000,467.100006,513.500000,513.500000,111053
2023-05-31,516.500000,549.799988,504.000000,510.000000,510.000000,125262
2023-06-01,510.000000,525.400024,508.000000,519.500000,519.500000,34656
2023-06-02,519.500000,527.400024,512.000000,512.500000,512.500000,51521
2023-06-05,516.099976,527.700012,512.900024,521.400024,521.400024,57380
2023-06-06,521.299988,524.299988,506.500000,508.899994,508.899994,35725
2023-06-07,509.200012,524.000000,506.899994,517.700012,517.700012,57046
2023-06-08,518.000000,553.000000,516.000000,524.200012,524.200012,84178
2023-06-09,525.200012,539.000000,524.099976,529.500000,529.500000,52768
2023-06-12,530.099976,539.400024,528.000000,529.000000,529.000000,41159
2023-06-13,529.000000,529.900024,500.000000,500.000000,500.000000,37236
2023-06-14,500.000000,509.600006,490.899994,490.899994,490.899994,27983
2023-06-15,491.000000,498.799988,488.000000,496.700012,496.700012,21471
2023-06-16,497.100006,522.400024,495.200012,506.200012,506.200012,53581
2023-06-19,506.200012,507.000000,482.500000,483.000000,483.000000,23728
2023-06-20,483.100006,490.899994,468.899994,469.000000,469.000000,13512
2023-06-21,471.000000,482.899994,461.600006,462.000000,462.000000,16502
2023-06-22,462.200012,485.000000,458.600006,478.000000,478.000000,31121
2023-06-23,484.500000,520.000000,480.500000,492.299988,492.299988,43419
2023-06-26,495.000000,504.299988,495.000000,503.000000,503.000000,24854
2023-06-27,503.000000,522.000000,499.399994,522.000000,522.000000,29533
2023-07-03,534.000000,558.799988,534.000000,554.200012,554.200012,69938
2023-07-04,554.900024,590.599976,549.500000,557.200012,557.200012,67297
2023-07-05,557.799988,568.299988,536.400024,559.900024,559.900024,53601
2023-07-06,559.599976,594.799988,559.599976,575.900024,575.900024,108414
2023-07-07,575.900024,584.000000,569.099976,580.000000,580.000000,63140
2023-07-10,585.500000,606.000000,585.000000,588.000000,588.000000,78701
2023-07-11,594.799988,596.500000,570.799988,584.000000,584.000000,58769
2023-07-12,584.000000,640.000000,573.000000,594.299988,594.299988,121591
2023-07-13,594.299988,605.500000,580.000000,582.400024,582.400024,74866
2023-07-14,582.299988,605.099976,580.000000,601.000000,601.000000,104786
2023-07-17,601.000000,608.900024,597.299988,602.400024,602.400024,77087
2023-07-18,604.400024,606.000000,574.200012,574.200012,574.200012,62643
2023-07-19,575.000000,579.500000,565.900024,574.900024,574.900024,33716
2023-07-20,575.599976,587.799988,575.599976,580.299988,580.299988,44398
2023-07-21,585.000000,604.200012,582.000000,600.599976,600.599976,74842
2023-07-24,600.599976,629.599976,600.000000,610.099976,610.099976,79730
2023-07-25,614.799988,615.200012,594.000000,608.099976,608.099976,61223
2023-07-26,612.000000,668.900024,612.000000,668.900024,668.900024,178944
2023-07-27,682.400024,690.000000,644.099976,652.900024,652.900024,161659
2023-07-28,652.900024,679.900024,641.299988,651.500000,651.500000,124892
2023-07-31,664.799988,674.799988,652.200012,659.000000,659.000000,84532
2023-08-01,659.000000,660.900024,636.799988,642.299988,642.299988,68385
2023-08-02,642.000000,674.900024,641.500000,657.400024,657.400024,96240
