Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,4.220000,4.360000,3.800000,3.800000,3.800000,12836767
2023-05-03,3.550000,3.640000,3.420000,3.420000,3.420000,7463601
2023-05-04,3.350000,3.520000,3.280000,3.350000,3.350000,8980754
2023-05-05,3.360000,3.390000,3.170000,3.290000,3.290000,4951102
2023-05-08,3.270000,3.270000,3.110000,3.250000,3.250000,3512293
2023-05-09,3.240000,3.400000,3.150000,3.180000,3.180000,5538972
2023-05-10,3.180000,3.220000,3.080000,3.110000,3.110000,2711937
2023-05-11,3.090000,3.240000,3.070000,3.200000,3.200000,4403032
2023-05-12,3.220000,3.440000,3.170000,3.320000,3.320000,8998754
2023-05-15,3.150000,3.360000,3.150000,3.200000,3.200000,3352348
2023-05-16,3.200000,3.300000,3.200000,3.290000,3.290000,2787853
2023-05-17,3.310000,3.340000,3.270000,3.320000,3.320000,4849933
2023-05-18,3.340000,3.360000,3.230000,3.280000,3.280000,4510736
2023-05-22,3.280000,3.320000,3.210000,3.220000,3.220000,2197336
2023-05-23,3.230000,3.350000,3.210000,3.240000,3.240000,3052767
2023-05-24,3.230000,3.270000,3.160000,3.180000,3.180000,3208374
2023-05-25,3.190000,3.260000,3.100000,3.260000,3.260000,3126748
2023-05-26,3.260000,3.370000,3.230000,3.360000,3.360000,4540900
2023-05-29,3.360000,3.650000,3.350000,3.520000,3.520000,9445683
2023-05-30,3.500000,3.620000,3.490000,3.590000,3.590000,6426932
2023-05-31,3.600000,3.690000,3.540000,3.560000,3.560000,6627112
2023-06-01,3.560000,3.620000,3.550000,3.570000,3.570000,3882597
2023-06-02,3.590000,3.610000,3.570000,3.580000,3.580000,5957849
2023-06-05,3.640000,3.870000,3.600000,3.820000,3.820000,10031777
2023-06-06,3.760000,3.820000,3.630000,3.680000,3.680000,6884549
2023-06-07,3.690000,3.750000,3.590000,3.600000,3.600000,7014690
2023-06-08,3.600000,3.630000,3.550000,3.580000,3.580000,4697035
2023-06-09,3.590000,3.590000,3.500000,3.500000,3.500000,10878232
2023-06-12,3.500000,3.610000,3.500000,3.530000,3.530000,7520706
2023-06-13,3.530000,3.540000,3.410000,3.420000,3.420000,7022442
2023-06-14,3.430000,3.440000,3.290000,3.310000,3.310000,11312649
2023-06-15,3.320000,3.350000,3.290000,3.340000,3.340000,5777053
2023-06-16,3.360000,3.420000,3.340000,3.370000,3.370000,9736313
2023-06-19,3.370000,3.380000,3.250000,3.270000,3.270000,6268489
2023-06-20,3.270000,3.390000,3.230000,3.390000,3.390000,10264689
2023-06-21,3.400000,3.490000,3.330000,3.350000,3.350000,8136957
2023-06-22,3.360000,3.400000,3.290000,3.350000,3.350000,5990468
2023-06-23,3.360000,3.630000,3.360000,3.580000,3.580000,12711432
2023-06-26,3.620000,3.760000,3.560000,3.710000,3.710000,12632576
2023-06-27,3.730000,3.760000,3.650000,3.690000,3.690000,4872062
2023-07-03,3.730000,3.850000,3.690000,3.780000,3.780000,11096235
2023-07-04,3.790000,3.810000,3.710000,3.740000,3.740000,10768867
2023-07-05,3.740000,4.110000,3.710000,4.000000,4.000000,31992423
2023-07-06,4.010000,4.120000,3.940000,3.980000,3.980000,14247204
2023-07-07,3.980000,3.990000,3.890000,3.930000,3.930000,7066584
2023-07-10,3.940000,4.180000,3.930000,4.140000,4.140000,12925134
2023-07-11,4.160000,4.550000,4.000000,4.510000,4.510000,24165274
2023-07-12,4.520000,4.850000,4.400000,4.640000,4.640000,22988029
2023-07-13,4.750000,4.940000,4.520000,4.630000,4.630000,19878613
2023-07-14,4.790000,5.050000,4.600000,4.850000,4.850000,27941283
2023-07-17,5.120000,5.190000,4.940000,5.100000,5.100000,21923824
2023-07-18,5.140000,5.160000,4.660000,4.660000,4.660000,14636146
2023-07-19,4.600000,4.650000,4.440000,4.550000,4.550000,10481974
2023-07-20,4.570000,4.750000,4.420000,4.440000,4.440000,10817630
2023-07-21,4.450000,4.520000,4.310000,4.340000,4.340000,10642698
2023-07-24,4.350000,4.540000,4.330000,4.410000,4.410000,9860960
2023-07-25,4.410000,4.620000,4.280000,4.410000,4.410000,8509962
2023-07-26,4.440000,4.680000,4.410000,4.530000,4.530000,11148063
2023-07-27,4.570000,4.980000,4.560000,4.980000,4.980000,15059372
2023-07-28,5.100000,5.350000,4.850000,4.900000,4.900000,23699377
2023-07-31,4.900000,4.940000,4.590000,4.640000,4.640000,14680719
2023-08-01,4.650000,4.960000,4.600000,4.760000,4.760000,16633063
2023-08-02,4.780000,4.870000,4.690000,4.760000,4.760000,10422853
2023-08-03,4.780000,5.140000,4.770000,4.840000,4.840000,27859901
2023-08-04,4.880000,5.210000,4.710000,5.100000,5.100000,27316348
2023-08-07,5.110000,5.230000,5.100000,5.120000,5.120000,21571887
