Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,56.349998,57.250000,53.250000,53.900002,53.900002,312684
2023-05-02,52.500000,52.500000,48.740002,48.799999,48.799999,692915
2023-05-03,48.799999,48.980000,44.000000,45.020000,45.020000,534265
2023-05-04,45.020000,46.900002,44.939999,45.259998,45.259998,378663
2023-05-05,45.439999,46.099998,44.580002,44.959999,44.959999,312306
2023-05-08,45.480000,45.860001,44.520000,45.540001,45.540001,307302
2023-05-09,45.660000,46.180000,44.500000,44.619999,44.619999,327323
2023-05-10,44.799999,44.980000,43.020000,43.020000,43.020000,197038
2023-05-11,43.160000,45.779999,43.160000,45.279999,45.279999,455780
2023-05-12,45.779999,46.500000,44.380001,44.660000,44.660000,335054
2023-05-15,41.599998,44.700001,41.500000,43.259998,43.259998,249068
2023-05-16,43.259998,44.240002,43.000000,43.759998,43.759998,275402
2023-05-17,43.900002,46.259998,43.880001,45.599998,45.599998,373455
2023-05-18,45.599998,45.880001,44.000000,44.299999,44.299999,265351
2023-05-22,44.680000,45.380001,43.299999,43.799999,43.799999,216772
2023-05-23,44.160000,44.680000,43.400002,44.000000,44.000000,132615
2023-05-24,43.980000,44.660000,43.320000,43.619999,43.619999,172363
2023-05-25,43.619999,44.099998,43.380001,43.700001,43.700001,184167
2023-05-26,43.000000,44.980000,43.000000,44.500000,44.500000,253247
2023-05-29,45.000000,46.299999,44.740002,46.020000,46.020000,246785
2023-05-30,46.660000,47.900002,46.080002,47.660000,47.660000,467295
2023-05-31,47.599998,48.900002,46.540001,48.900002,48.900002,395398
2023-06-01,48.900002,49.900002,48.580002,49.000000,49.000000,333232
2023-06-02,49.080002,49.900002,48.500000,49.000000,49.000000,367625
2023-06-05,49.060001,51.250000,49.060001,50.349998,50.349998,431108
2023-06-06,50.599998,51.099998,49.259998,49.820000,49.820000,361001
2023-06-07,49.820000,51.000000,49.820000,50.400002,50.400002,432182
2023-06-08,50.400002,55.400002,50.049999,55.400002,55.400002,1152052
2023-06-09,55.450001,59.900002,54.000000,56.500000,56.500000,1852188
2023-06-12,56.500000,57.950001,55.200001,55.750000,55.750000,666990
2023-06-13,55.750000,56.450001,53.150002,53.400002,53.400002,475520
2023-06-14,53.349998,57.400002,52.849998,56.250000,56.250000,855232
2023-06-15,56.299999,56.750000,54.650002,55.700001,55.700001,469814
2023-06-16,55.700001,58.650002,55.700001,57.500000,57.500000,721594
2023-06-19,58.400002,62.000000,55.500000,55.500000,55.500000,1531403
2023-06-20,55.450001,55.650002,53.349998,53.450001,53.450001,434652
2023-06-21,53.450001,54.799999,52.099998,53.450001,53.450001,397476
2023-06-22,53.450001,55.500000,52.099998,55.049999,55.049999,392520
2023-06-23,55.049999,56.849998,55.049999,56.400002,56.400002,349423
2023-06-26,56.500000,58.500000,56.500000,57.599998,57.599998,311430
2023-06-27,57.599998,59.099998,56.250000,58.750000,58.750000,205443
2023-07-03,59.000000,64.000000,58.750000,62.150002,62.150002,721164
2023-07-04,62.150002,62.450001,60.500000,61.000000,61.000000,455859
2023-07-05,61.000000,62.849998,59.500000,61.400002,61.400002,599085
2023-07-06,62.500000,65.349998,61.599998,63.349998,63.349998,977032
2023-07-07,63.349998,65.000000,62.700001,64.099998,64.099998,696691
2023-07-10,65.099998,66.650002,64.500000,66.000000,66.000000,766515
2023-07-11,66.500000,69.500000,64.349998,67.199997,67.199997,1392524
2023-07-12,67.199997,67.250000,65.000000,66.099998,66.099998,592514
2023-07-13,66.099998,67.599998,63.599998,65.000000,65.000000,691776
2023-07-14,65.050003,65.800003,63.849998,64.800003,64.800003,391136
2023-07-17,65.349998,71.000000,65.349998,69.849998,69.849998,1237378
2023-07-18,70.500000,72.500000,67.199997,67.349998,67.349998,1389053
2023-07-19,67.300003,68.599998,65.000000,68.400002,68.400002,700297
2023-07-20,68.699997,70.949997,66.800003,68.849998,68.849998,662674
2023-07-21,70.449997,70.449997,67.750000,68.800003,68.800003,581837
2023-07-24,68.800003,70.949997,68.500000,69.000000,69.000000,877426
2023-07-25,69.150002,69.300003,65.949997,66.099998,66.099998,634767
2023-07-26,65.449997,69.400002,65.300003,69.400002,69.400002,619559
2023-07-27,69.400002,72.000000,68.500000,71.000000,71.000000,931047
