Date,Open,High,Low,Close,Adj Close,Volume
2023-05-18,135.199997,137.199997,124.400002,127.000000,127.000000,8842583
2023-05-22,126.500000,136.500000,122.500000,131.600006,131.600006,10316410
2023-05-23,131.000000,139.800003,129.199997,134.500000,134.500000,8283281
2023-05-24,134.399994,137.199997,128.899994,133.199997,133.199997,5937810
2023-05-25,133.899994,146.500000,133.800003,141.899994,141.899994,14275830
2023-05-26,142.300003,148.199997,137.699997,143.899994,143.899994,8335351
2023-05-29,147.699997,158.000000,147.100006,157.199997,157.199997,7535437
2023-05-30,159.199997,163.500000,153.199997,159.899994,159.899994,12644820
2023-05-31,161.000000,168.199997,157.399994,160.000000,160.000000,8217000
2023-06-01,161.199997,163.399994,158.500000,159.199997,159.199997,5412951
2023-06-02,160.300003,166.800003,157.600006,164.600006,164.600006,8090169
2023-06-05,167.500000,176.199997,165.399994,169.399994,169.399994,6501061
2023-06-06,172.600006,174.899994,164.600006,171.300003,171.300003,6717542
2023-06-07,172.300003,175.199997,168.899994,169.300003,169.300003,4420508
2023-06-08,169.399994,172.300003,165.600006,167.399994,167.399994,5344979
2023-06-09,168.300003,169.000000,156.500000,158.199997,158.199997,5589896
2023-06-12,158.199997,166.800003,153.600006,163.000000,163.000000,6384815
2023-06-13,162.500000,167.199997,160.100006,162.399994,162.399994,4532054
2023-06-14,162.500000,171.600006,162.500000,166.000000,166.000000,6297899
2023-06-15,168.500000,174.300003,167.500000,168.399994,168.399994,5103780
2023-06-16,172.000000,184.000000,171.500000,181.800003,181.800003,8911930
2023-06-19,null,null,null,null,null,null
2023-06-20,170.199997,174.699997,167.899994,171.899994,171.899994,4008589
2023-06-21,173.500000,174.699997,163.100006,163.500000,163.500000,3812198
2023-06-22,163.399994,172.300003,161.500000,168.000000,168.000000,3537509
2023-06-23,170.000000,172.899994,166.500000,169.699997,169.699997,2737805
2023-06-26,170.000000,174.699997,168.000000,171.000000,171.000000,4234529
2023-06-27,170.899994,171.500000,168.500000,169.600006,169.600006,1509721
2023-07-03,170.399994,173.300003,169.600006,170.000000,170.000000,4548788
2023-07-04,171.000000,171.500000,167.899994,168.300003,168.300003,3015820
2023-07-05,168.500000,171.199997,167.000000,168.000000,168.000000,2969157
2023-07-06,169.000000,179.800003,168.199997,177.300003,177.300003,6941734
2023-07-07,178.500000,193.199997,175.000000,190.500000,190.500000,7572667
2023-07-10,192.300003,208.000000,188.199997,204.899994,204.899994,10135030
2023-07-11,null,null,null,null,null,null
2023-07-12,202.000000,212.500000,195.899994,204.000000,204.000000,7415266
2023-07-13,205.000000,219.800003,204.100006,215.399994,215.399994,7529682
2023-07-14,221.000000,226.899994,212.500000,215.800003,215.800003,6515473
2023-07-17,218.000000,223.100006,211.500000,215.300003,215.300003,5057595
2023-07-18,223.600006,225.000000,212.100006,212.100006,212.100006,6846443
2023-07-19,212.399994,220.600006,207.000000,217.800003,217.800003,5178332
2023-07-20,220.000000,239.500000,218.300003,239.500000,239.500000,11325030
2023-07-21,242.000000,258.500000,237.699997,253.000000,253.000000,8773975
2023-07-24,259.000000,278.299988,257.700012,278.299988,278.299988,3165588
2023-07-25,281.000000,288.799988,251.199997,252.199997,252.199997,9018872
2023-07-26,252.199997,271.500000,240.000000,262.600006,262.600006,6962126
2023-07-27,267.600006,272.000000,257.399994,263.500000,263.500000,3633964
2023-07-28,264.500000,272.100006,258.200012,260.100006,260.100006,4113697
2023-07-31,272.000000,286.100006,272.000000,286.100006,286.100006,2521650
2023-08-01,289.299988,313.899994,278.799988,298.600006,298.600006,8892350
2023-08-02,298.500000,328.399994,292.000000,326.000000,326.000000,7641077
2023-08-03,330.000000,354.000000,329.799988,345.000000,345.000000,10352240
2023-08-04,348.799988,356.000000,331.399994,339.500000,339.500000,5309644
2023-08-07,340.500000,343.000000,311.100006,320.600006,320.600006,5984133
2023-08-08,320.600006,352.600006,311.799988,352.600006,352.600006,9009021
2023-08-09,357.799988,381.799988,355.000000,360.000000,360.000000,8101549
2023-08-10,370.000000,378.000000,333.000000,351.799988,351.799988,6050500
2023-08-11,351.799988,363.500000,338.000000,354.700012,354.700012,4072540
2023-08-14,355.399994,378.100006,347.200012,368.000000,368.000000,7586259
2023-08-15,368.399994,370.000000,345.399994,352.100006,352.100006,2684736
2023-08-16,350.799988,350.799988,325.000000,334.000000,334.000000,3102158
2023-08-17,334.000000,349.700012,326.299988,340.600006,340.600006,2238943
2023-08-18,328.000000,340.000000,315.000000,322.000000,322.000000,4107348
