Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,38.980000,39.980000,37.639999,39.980000,39.829998,278952
2023-05-08,41.900002,41.919998,39.820000,40.060001,40.060001,1698292
2023-05-09,40.020000,40.919998,39.180000,39.220001,39.220001,986429
2023-05-10,39.320000,39.500000,38.299999,38.599998,38.599998,347662
2023-05-11,38.639999,41.299999,38.480000,40.759998,40.759998,1300280
2023-05-12,40.860001,40.959999,39.099998,39.360001,39.360001,718994
2023-05-15,36.459999,39.820000,36.459999,37.599998,37.599998,524484
2023-05-16,37.900002,38.799999,37.619999,38.020000,38.020000,849408
2023-05-17,38.400002,39.799999,38.060001,39.799999,39.799999,1077780
2023-05-18,39.820000,40.700001,38.740002,38.779999,38.779999,777444
2023-05-22,38.840000,39.279999,37.660000,38.200001,38.200001,1035477
2023-05-23,38.240002,38.799999,38.180000,38.279999,38.279999,433732
2023-05-24,38.320000,38.619999,37.599998,37.759998,37.759998,411640
2023-05-25,37.799999,38.680000,37.380001,38.660000,38.660000,374313
2023-05-26,38.680000,39.540001,38.520000,39.240002,39.240002,602882
2023-05-29,39.619999,40.980000,39.060001,40.560001,40.560001,1182686
2023-05-30,40.900002,43.619999,40.740002,42.400002,42.400002,1852539
2023-05-31,42.459999,42.860001,41.419998,41.500000,41.500000,1009620
2023-06-01,41.779999,44.720001,41.680000,44.340000,44.340000,2075024
2023-06-02,44.560001,45.759998,43.779999,44.279999,44.279999,1571356
2023-06-05,44.599998,46.500000,44.520000,45.980000,45.980000,1559359
2023-06-06,46.200001,47.779999,45.880001,47.000000,47.000000,1402391
2023-06-07,47.500000,48.599998,47.400002,47.599998,47.599998,1313130
2023-06-08,47.580002,47.840000,46.099998,46.500000,46.500000,1010507
2023-06-09,46.619999,47.480000,46.200001,47.400002,47.400002,834867
2023-06-12,47.639999,48.000000,46.639999,46.639999,46.639999,1227876
2023-06-13,46.639999,46.639999,44.540001,44.540001,44.540001,691621
2023-06-14,44.660000,45.360001,43.919998,44.180000,44.180000,588348
2023-06-15,44.240002,45.020000,44.060001,45.020000,45.020000,529064
2023-06-16,45.020000,45.720001,44.580002,44.939999,44.939999,525641
2023-06-19,45.000000,45.020000,42.900002,42.900002,42.900002,586475
2023-06-20,42.900002,43.500000,42.320000,43.000000,43.000000,435513
2023-06-21,43.000000,44.000000,41.480000,41.740002,41.740002,1245910
2023-06-22,41.799999,42.419998,41.400002,42.259998,42.259998,2046360
2023-06-23,42.259998,44.299999,42.119999,44.099998,44.099998,3169870
2023-06-26,44.619999,46.919998,44.000000,46.779999,46.779999,2241830
2023-06-27,46.680000,48.860001,45.799999,48.860001,48.860001,1119227
2023-07-03,49.020000,52.349998,48.900002,50.349998,50.349998,3705962
2023-07-04,50.400002,51.049999,48.700001,48.799999,48.799999,2962026
2023-07-05,48.860001,49.820000,47.919998,49.419998,49.419998,1693187
2023-07-06,49.820000,51.500000,49.500000,51.200001,51.200001,1898614
2023-07-07,51.200001,52.000000,50.500000,51.000000,51.000000,1309440
2023-07-10,51.500000,53.500000,51.349998,52.650002,52.650002,2285702
2023-07-11,53.599998,54.299999,51.650002,53.150002,53.150002,2407715
2023-07-12,53.099998,53.099998,51.200001,51.549999,51.549999,1177432
2023-07-13,51.549999,52.099998,49.939999,50.599998,50.599998,1147729
2023-07-14,51.000000,52.900002,50.750000,52.099998,52.099998,1658880
2023-07-17,52.150002,54.200001,52.099998,54.049999,54.049999,1907805
2023-07-18,54.200001,56.549999,53.450001,54.450001,54.450001,2701307
2023-07-19,54.500000,57.799999,52.700001,57.799999,57.799999,2364665
2023-07-20,57.900002,60.099998,56.700001,59.950001,59.950001,2211525
2023-07-21,60.150002,61.099998,57.549999,59.700001,59.700001,1416849
2023-07-24,62.250000,62.250000,57.250000,57.549999,57.549999,3645150
2023-07-25,57.549999,60.799999,57.400002,58.750000,58.750000,4289640
2023-07-26,59.000000,60.250000,57.900002,59.200001,59.200001,2371240
2023-07-27,59.500000,60.500000,58.549999,59.700001,59.700001,2485621
2023-07-28,60.500000,61.200001,59.650002,60.049999,60.049999,3184927
2023-07-31,60.500000,62.750000,59.750000,60.099998,60.099998,4235358
2023-08-01,60.200001,63.799999,58.250000,62.849998,62.849998,3981664
2023-08-02,62.750000,64.800003,61.400002,64.300003,64.300003,4356165
2023-08-03,64.250000,65.050003,62.750000,62.900002,62.900002,2097306
2023-08-04,63.150002,64.900002,62.200001,64.650002,64.650002,2765284
2023-08-07,64.699997,65.300003,63.450001,64.599998,64.599998,2214732
2023-08-08,65.300003,65.400002,63.450001,63.900002,63.900002,1320855
2023-08-09,63.849998,66.400002,62.849998,66.099998,66.099998,2826732
2023-08-10,66.500000,68.500000,65.750000,66.550003,66.550003,2346935
2023-08-11,66.300003,72.949997,64.250000,72.599998,72.599998,3106917
2023-08-14,73.800003,78.199997,72.550003,78.000000,78.000000,3403393
2023-08-15,77.599998,77.599998,73.750000,74.949997,74.949997,1370792
2023-08-16,74.849998,76.449997,73.150002,76.050003,76.050003,1341583
2023-08-17,78.449997,78.449997,73.400002,75.250000,75.250000,2055425
