Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,8.560000,8.630000,8.180000,8.230000,8.230000,927824
2023-05-03,7.990000,7.990000,7.410000,7.410000,7.410000,2081383
2023-05-04,7.400000,7.570000,7.270000,7.270000,7.270000,742806
2023-05-05,7.390000,7.390000,7.100000,7.100000,7.100000,536384
2023-05-08,7.150000,7.450000,7.000000,7.290000,7.290000,835312
2023-05-09,7.260000,7.690000,6.990000,7.520000,7.520000,1580963
2023-05-10,7.540000,7.600000,7.140000,7.140000,7.140000,930488
2023-05-11,7.140000,7.790000,7.010000,7.640000,7.640000,2014379
2023-05-12,7.790000,7.790000,7.300000,7.300000,7.300000,1014272
2023-05-15,7.260000,7.650000,6.900000,7.330000,7.330000,615283
2023-05-16,7.310000,7.530000,7.290000,7.430000,7.430000,816045
2023-05-17,7.430000,7.640000,7.420000,7.620000,7.620000,834194
2023-05-18,7.620000,7.630000,7.300000,7.350000,7.350000,849783
2023-05-22,7.350000,7.440000,7.120000,7.140000,7.140000,438409
2023-05-23,7.140000,7.280000,7.010000,7.110000,7.110000,540022
2023-05-24,7.090000,7.230000,7.070000,7.100000,7.100000,324129
2023-05-25,7.130000,7.270000,7.070000,7.130000,7.130000,405196
2023-05-26,7.140000,7.280000,7.130000,7.240000,7.240000,515209
2023-05-29,7.240000,7.630000,7.240000,7.530000,7.530000,773655
2023-05-30,7.540000,7.920000,7.170000,7.920000,7.920000,1017573
2023-05-31,7.940000,8.700000,7.800000,8.260000,8.260000,1646776
2023-06-01,8.300000,8.500000,8.130000,8.340000,8.340000,599520
2023-06-02,8.360000,8.450000,8.300000,8.370000,8.370000,868861
2023-06-05,8.440000,8.800000,8.370000,8.430000,8.430000,1228094
2023-06-06,8.520000,9.150000,8.330000,9.100000,9.100000,2614570
2023-06-07,9.110000,9.370000,8.700000,9.140000,9.140000,2037140
2023-06-08,9.140000,9.140000,8.690000,8.960000,8.960000,2088343
2023-06-09,9.100000,9.100000,8.800000,8.950000,8.950000,528358
2023-06-12,8.840000,9.030000,8.690000,8.800000,8.800000,1455342
2023-06-13,8.760000,8.760000,8.300000,8.430000,8.430000,1141253
2023-06-14,8.400000,8.800000,8.360000,8.590000,8.590000,972235
2023-06-15,8.640000,9.140000,8.330000,9.070000,9.070000,668449
2023-06-16,9.050000,9.250000,8.820000,9.240000,9.240000,1277742
2023-06-19,9.480000,9.650000,9.170000,9.410000,9.410000,2310120
2023-06-20,9.410000,9.410000,8.550000,8.710000,8.710000,1311940
2023-06-21,8.720000,8.950000,8.310000,8.580000,8.580000,1394338
2023-06-22,8.560000,8.810000,8.400000,8.560000,8.560000,564799
2023-06-23,8.650000,9.000000,8.640000,8.780000,8.780000,974397
2023-06-26,8.750000,9.160000,8.720000,9.040000,9.040000,1464214
2023-06-27,9.070000,9.130000,8.960000,9.050000,9.050000,761713
2023-07-03,9.160000,9.740000,9.150000,9.580000,9.580000,1826810
2023-07-04,9.870000,9.870000,9.400000,9.750000,9.750000,1910485
2023-07-05,9.980000,9.980000,9.490000,9.600000,9.600000,1808710
2023-07-06,9.650000,9.900000,9.490000,9.900000,9.900000,2599216
2023-07-07,10.100000,10.180000,9.680000,9.880000,9.880000,2575604
2023-07-10,10.040000,10.230000,9.910000,9.920000,9.920000,2607843
2023-07-11,10.140000,10.150000,9.640000,9.640000,9.640000,2542775
2023-07-12,9.640000,9.790000,9.350000,9.500000,9.500000,2468203
2023-07-13,9.540000,9.750000,9.470000,9.670000,9.670000,2263761
2023-07-14,9.900000,9.990000,9.600000,9.880000,9.880000,2460218
2023-07-17,10.020000,10.100000,9.800000,9.960000,9.960000,4887897
2023-07-18,10.020000,10.020000,9.700000,9.700000,9.700000,4021860
2023-07-19,9.700000,9.750000,9.480000,9.660000,9.660000,2074895
2023-07-20,9.670000,10.000000,9.590000,10.000000,10.000000,4455522
2023-07-21,10.190000,10.350000,9.860000,10.200000,10.200000,4289346
2023-07-24,10.290000,10.300000,9.800000,9.880000,9.880000,5207521
2023-07-25,9.830000,9.880000,9.510000,9.730000,9.730000,3014362
2023-07-26,9.880000,9.880000,9.680000,9.720000,9.720000,2759238
2023-07-27,9.740000,9.900000,9.710000,9.810000,9.810000,3851266
2023-07-28,9.890000,10.220000,9.810000,9.860000,9.860000,5379812
2023-07-31,9.870000,10.180000,9.710000,9.910000,9.910000,5903028
2023-08-01,9.880000,9.890000,9.650000,9.650000,9.650000,2655676
2023-08-02,9.660000,9.980000,9.580000,9.740000,9.740000,4142394
2023-08-03,9.740000,9.860000,9.500000,9.500000,9.500000,3275393
2023-08-04,9.530000,9.620000,9.230000,9.240000,9.240000,3052949
2023-08-07,9.320000,9.390000,9.190000,9.340000,9.340000,2351793
2023-08-08,9.340000,9.360000,9.060000,9.080000,9.080000,3048235
