Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,37.000000,39.340000,36.220001,37.000000,36.685577,333596
2023-05-11,33.299999,34.779999,33.299999,33.299999,33.017017,1688209
2023-05-12,33.299999,36.619999,31.000000,31.160000,30.895203,955228
2023-05-15,29.920000,32.340000,29.240000,30.180000,29.923532,357788
2023-05-16,29.500000,30.760000,29.379999,30.120001,29.864042,412217
2023-05-17,30.139999,31.299999,29.959999,31.200001,30.934864,482829
2023-05-18,31.280001,31.400000,30.120001,30.280001,30.022682,226642
2023-05-22,30.280001,30.580000,29.200001,29.200001,28.951860,179686
2023-05-23,29.200001,30.620001,29.080000,30.120001,29.864042,319227
2023-05-24,30.120001,30.320000,29.180000,29.299999,29.051008,170601
2023-05-25,29.299999,29.799999,28.959999,29.639999,29.388121,130123
2023-05-26,29.280001,30.500000,29.280001,30.500000,30.240810,224908
2023-05-29,30.500000,31.480000,30.240000,31.360001,31.093504,314469
2023-05-30,31.440001,32.500000,31.440001,32.299999,32.025517,233441
2023-05-31,32.820000,32.820000,31.760000,32.419998,32.144493,261791
2023-06-01,32.459999,33.860001,32.459999,33.259998,32.977356,297137
2023-06-02,33.599998,33.919998,32.619999,33.080002,32.798885,390182
2023-06-05,33.759998,33.799999,32.900002,33.299999,33.017017,417743
2023-06-06,33.279999,33.279999,31.620001,32.200001,31.926367,479817
2023-06-07,32.200001,35.299999,31.700001,32.060001,31.787558,770487
2023-06-08,32.080002,32.439999,31.400000,31.900000,31.628914,222441
2023-06-09,31.820000,32.919998,31.760000,32.880001,32.600586,266920
2023-06-12,32.900002,34.320000,32.759998,33.220001,32.937698,413994
2023-06-13,33.099998,33.099998,31.719999,32.139999,31.866873,194622
2023-06-14,32.020000,32.380001,31.360001,31.440001,31.172823,211489
2023-06-15,31.040001,32.160000,31.040001,32.099998,31.827213,96604
2023-06-16,32.099998,32.900002,32.020000,32.900002,32.620419,181945
2023-06-19,32.900002,33.639999,31.260000,31.500000,31.232315,277079
2023-06-20,31.500000,31.820000,30.620001,30.799999,30.538261,128605
2023-06-21,30.559999,31.700001,29.500000,30.440001,30.181322,463590
2023-06-22,30.120001,31.200001,30.059999,30.820000,30.558092,215512
2023-06-23,30.860001,32.000000,30.860001,32.000000,31.728065,132134
2023-06-26,32.020000,33.599998,32.020000,33.320000,33.036850,228754
2023-06-27,33.320000,35.480000,33.099998,34.860001,34.563759,362802
2023-07-03,35.840000,36.099998,35.000000,35.160000,34.861214,390327
2023-07-04,35.160000,35.500000,33.419998,35.259998,34.960361,362754
2023-07-05,35.279999,36.000000,34.820000,35.480000,35.178490,241240
2023-07-06,35.560001,37.299999,35.279999,36.980000,36.665745,532361
2023-07-07,36.980000,38.500000,36.580002,38.000000,37.677078,579216
2023-07-10,38.500000,41.500000,37.220001,40.119999,39.779060,1056291
2023-07-11,40.240002,41.200001,39.040001,39.139999,38.807388,456315
2023-07-12,39.160000,40.520000,37.500000,40.000000,39.660080,504999
2023-07-13,40.900002,41.740002,40.000000,40.980000,40.631752,709002
2023-07-14,41.000000,41.799999,39.200001,40.220001,39.878212,298820
2023-07-17,40.220001,41.799999,40.220001,40.500000,40.356510,428478
2023-07-18,40.740002,40.880001,38.700001,38.700001,38.562889,359708
2023-07-19,38.700001,39.099998,37.500000,38.980000,38.841896,272158
2023-07-20,39.000000,39.500000,38.119999,38.720001,38.582817,218980
2023-07-21,38.980000,38.980000,37.680000,38.580002,38.443314,229196
2023-07-24,38.619999,38.980000,37.360001,37.560001,37.426929,361253
2023-07-25,37.500000,37.840000,36.220001,36.799999,36.669617,249828
2023-07-26,36.099998,38.799999,36.099998,38.779999,38.642601,380815
2023-07-27,39.000000,42.599998,39.000000,40.759998,40.615589,969919
2023-07-28,40.759998,41.919998,39.500000,40.480000,40.336582,520511
2023-07-31,40.480000,40.700001,39.080002,39.240002,39.100975,475970
2023-08-01,39.619999,40.480000,38.880001,39.380001,39.240479,479171
2023-08-02,39.380001,40.400002,39.040001,39.520000,39.379982,364619
2023-08-03,39.240002,40.900002,39.080002,40.139999,39.997784,606990
2023-08-04,40.340000,42.220001,39.959999,41.840000,41.691761,786247
2023-08-07,43.000000,45.000000,43.000000,44.040001,43.883968,773242
2023-08-08,44.139999,45.020000,42.000000,43.000000,42.847652,426019
2023-08-09,43.020000,44.799999,42.180000,43.939999,43.784321,756430
2023-08-10,44.099998,45.599998,41.799999,41.799999,41.651905,829319
2023-08-11,41.799999,43.900002,40.340000,43.200001,43.046944,431970
2023-08-14,43.320000,45.500000,43.320000,45.160000,45.000000,693308
2023-08-15,45.180000,47.060001,43.299999,43.680000,43.680000,518457
2023-08-16,43.700001,48.040001,42.500000,48.040001,48.040001,788477
2023-08-17,48.419998,49.040001,45.959999,45.959999,45.959999,703337
