Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,4.355979,4.557428,4.250875,4.350140,4.350140,3173659
2023-05-11,4.446485,4.630417,4.306346,4.525313,4.525313,4320271
2023-05-12,4.525313,4.525313,4.268392,4.288829,4.288829,3168309
2023-05-15,4.014390,4.449404,3.953080,4.201242,4.201242,1324166
2023-05-16,4.207081,4.355979,4.207081,4.332622,4.332622,1908878
2023-05-17,4.332622,4.420209,4.291748,4.370576,4.370576,4081290
2023-05-18,4.353059,4.364737,4.087379,4.096138,4.096138,3854927
2023-05-22,4.131173,4.230438,4.040666,4.093219,4.093219,2024327
2023-05-23,4.116575,4.204162,4.084460,4.116575,4.116575,2413996
2023-05-24,4.157449,4.291748,4.128253,4.172047,4.172047,3136537
2023-05-25,4.230438,4.274231,4.093219,4.131173,4.131173,2179686
2023-05-26,4.131173,4.282990,3.941402,4.274231,4.274231,3887802
2023-05-29,4.312185,4.481520,4.259633,4.414370,4.414370,3457339
2023-05-30,4.469841,4.773475,4.405611,4.706325,4.706325,4679627
2023-05-31,4.814349,4.855223,4.601221,4.671291,4.671291,3286998
2023-06-01,4.744280,4.793912,4.653773,4.738441,4.738441,2554017
2023-06-02,4.773475,4.802671,4.671291,4.715084,4.715084,2932184
2023-06-05,4.715084,5.170535,4.706325,5.158857,5.158857,9175658
2023-06-06,5.176374,5.193892,4.916534,5.004120,5.004120,5071872
2023-06-07,5.009959,5.182213,5.009959,5.024557,5.024557,4158945
2023-06-08,5.036235,5.249363,5.001201,5.103385,5.103385,6996157
2023-06-09,5.036235,5.085868,4.904855,4.922373,4.922373,5337823
2023-06-12,4.925292,5.094627,4.925292,4.934051,4.934051,6500150
2023-06-13,4.936970,5.024557,4.726762,4.878579,4.878579,4578489
2023-06-14,4.878579,5.018718,4.817269,4.919453,4.919453,3196669
2023-06-15,4.928212,5.409939,4.922373,5.409939,5.409939,9553873
2023-06-16,5.380743,5.395341,5.036235,5.056672,5.056672,12683917
2023-06-19,5.085868,5.094627,4.828947,4.828947,4.828947,3934713
2023-06-20,4.828947,5.179294,4.770556,5.071270,5.071270,7167614
2023-06-21,5.071270,5.170535,5.007040,5.036235,5.036235,3789958
2023-06-22,4.992442,5.094627,4.861062,4.969086,4.969086,4917232
2023-06-23,5.050833,5.106305,4.966166,5.044994,5.044994,3088256
2023-06-26,5.100466,5.319432,5.065431,5.220168,5.220168,5472604
2023-06-27,5.223087,5.669779,5.220168,5.494606,5.494606,4339658
2023-07-03,5.547158,5.766125,5.517962,5.693136,5.693136,6291851
2023-07-04,5.693136,5.818677,5.573434,5.763205,5.763205,4686984
2023-07-05,5.766125,5.789481,5.631825,5.736929,5.736929,4874259
2023-07-06,5.649342,5.952976,5.599710,5.795320,5.795320,9846267
2023-07-07,5.783642,5.912103,5.707734,5.731090,5.731090,6013857
2023-07-10,5.734010,6.055161,5.734010,5.932539,5.932539,8421106
2023-07-11,5.941298,6.218656,5.809918,6.014287,6.014287,7578779
2023-07-12,6.017207,6.087276,5.856631,5.859551,5.859551,5526749
2023-07-13,5.850792,6.043483,5.771964,5.856631,5.856631,8459084
2023-07-14,5.859551,5.882907,5.576353,5.675618,5.675618,7628588
2023-07-17,5.690216,5.827435,5.684377,5.771964,5.771964,6159763
2023-07-18,5.795320,5.812838,5.649342,5.666860,5.666860,5614481
2023-07-19,5.666860,5.865390,5.552997,5.865390,5.865390,6186767
2023-07-20,5.874148,6.040563,5.801159,5.900424,5.900424,6789639
2023-07-21,5.830355,5.830355,5.623066,5.745688,5.745688,7186727
2023-07-24,5.769044,5.952976,5.713573,5.882907,5.882907,11013691
2023-07-25,5.894585,6.131069,5.824516,6.046402,6.046402,12915239
2023-07-26,6.189460,6.350036,6.151506,6.242013,6.242013,9650189
2023-07-27,6.309162,6.434703,6.177782,6.204058,6.204058,8107147
2023-07-28,6.025965,6.107713,5.996770,6.031804,6.031804,8931265
2023-07-31,6.031804,6.081437,5.947137,6.025965,6.025965,6624717
2023-08-01,6.034724,6.043483,5.882907,5.909183,5.909183,4938160
2023-08-02,5.909183,6.046402,5.882907,5.941298,5.941298,4670400
2023-08-03,5.941298,6.204058,5.941298,6.110632,6.110632,11025076
2023-08-04,6.017207,6.236173,5.897505,6.206978,6.206978,10276668
2023-08-07,6.209897,6.787970,6.209897,6.779211,6.779211,13968303
2023-08-08,6.779211,6.884315,6.458060,6.516451,6.516451,7586890
2023-08-09,6.516451,7.164593,6.320841,6.966063,6.966063,12040196
2023-08-10,6.960224,7.371881,6.615716,6.668268,6.668268,9596674
2023-08-11,6.668268,7.062408,6.522290,7.039052,7.039052,6465809
2023-08-14,7.079925,7.627342,7.053649,7.503261,7.503261,7057193
2023-08-15,7.503261,8.247748,7.132477,8.247748,8.247748,15019408
2023-08-16,8.539704,9.028730,8.247748,8.583497,8.583497,15332551
