Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,104.599998,105.900002,102.599998,104.599998,103.457527,107386
2023-05-10,101.400002,103.900002,100.000000,101.500000,100.391388,115524
2023-05-11,101.500000,107.800003,101.199997,105.099998,103.952065,233248
2023-05-12,105.199997,106.300003,101.699997,103.000000,101.875000,194652
2023-05-15,102.400002,104.400002,98.050003,101.400002,101.400002,88059
2023-05-16,101.400002,104.400002,101.099998,103.900002,103.900002,126575
2023-05-17,104.900002,111.900002,104.300003,109.699997,109.699997,521829
2023-05-18,109.699997,112.099998,105.300003,105.599998,105.599998,399298
2023-05-22,105.599998,108.900002,103.099998,104.199997,104.199997,150038
2023-05-23,104.199997,106.000000,103.199997,103.800003,103.800003,82667
2023-05-24,104.000000,105.400002,102.199997,102.400002,102.400002,93613
2023-05-25,102.400002,105.599998,102.300003,104.199997,104.199997,76080
2023-05-26,105.099998,107.800003,103.599998,106.099998,106.099998,109918
2023-05-29,106.300003,114.900002,106.300003,113.500000,113.500000,216110
2023-05-30,113.699997,116.400002,112.800003,116.099998,116.099998,270158
2023-05-31,116.199997,117.500000,113.500000,116.300003,116.300003,197176
2023-06-01,116.500000,122.199997,116.500000,119.500000,119.500000,324633
2023-06-02,120.500000,129.800003,120.500000,125.800003,125.800003,730850
2023-06-05,128.000000,129.800003,126.099998,128.399994,128.399994,457993
2023-06-06,128.399994,129.800003,125.500000,125.500000,125.500000,329186
2023-06-07,127.500000,129.500000,126.599998,127.000000,127.000000,277400
2023-06-08,127.000000,129.199997,123.099998,124.699997,124.699997,271784
2023-06-09,126.000000,137.100006,125.000000,137.100006,137.100006,725374
2023-06-12,142.500000,150.800003,138.199997,150.800003,150.800003,1714725
2023-06-13,150.500000,151.800003,139.000000,141.699997,141.699997,945887
2023-06-14,141.000000,155.800003,137.300003,150.899994,150.899994,1717775
2023-06-15,150.199997,154.800003,143.899994,144.000000,144.000000,723629
2023-06-16,145.000000,155.000000,143.600006,144.899994,144.899994,652418
2023-06-19,144.199997,144.899994,135.300003,135.600006,135.600006,337649
2023-06-20,134.600006,135.500000,129.699997,130.699997,130.699997,214105
2023-06-21,130.699997,137.699997,130.500000,131.300003,131.300003,335374
2023-06-22,131.600006,138.899994,129.600006,136.899994,136.899994,297942
2023-06-23,140.600006,141.500000,136.300003,138.899994,138.899994,292328
2023-06-26,140.500000,142.600006,138.600006,141.199997,141.199997,277371
2023-06-27,142.000000,144.500000,140.199997,142.600006,142.600006,150667
2023-07-03,144.100006,147.300003,143.199997,146.000000,146.000000,339189
2023-07-04,146.399994,147.800003,139.100006,143.000000,143.000000,314488
2023-07-05,143.100006,146.000000,140.500000,143.699997,143.699997,340567
2023-07-06,146.399994,148.100006,144.000000,144.899994,144.899994,315718
2023-07-07,145.699997,146.899994,144.100006,145.699997,145.699997,239916
2023-07-10,146.199997,153.100006,145.800003,150.500000,150.500000,561172
2023-07-11,153.000000,154.800003,147.000000,149.800003,149.800003,821113
2023-07-12,149.800003,156.100006,147.100006,150.100006,150.100006,799456
2023-07-13,150.600006,154.399994,148.000000,149.199997,149.199997,695567
2023-07-14,149.600006,150.800003,147.100006,148.500000,148.500000,318056
2023-07-17,149.800003,155.300003,149.800003,154.899994,154.899994,682713
2023-07-18,155.800003,159.000000,147.500000,147.500000,147.500000,1245669
2023-07-19,147.600006,151.899994,144.500000,151.500000,151.500000,556018
2023-07-20,153.000000,154.500000,148.800003,151.100006,151.100006,395378
2023-07-21,151.399994,160.399994,149.100006,159.100006,159.100006,927345
2023-07-24,159.000000,165.500000,154.899994,156.000000,156.000000,906085
2023-07-25,156.000000,156.500000,149.500000,149.500000,149.500000,411704
2023-07-26,150.000000,155.399994,150.000000,154.000000,154.000000,372680
2023-07-27,155.000000,159.000000,153.300003,158.699997,158.699997,634471
2023-07-28,158.699997,158.699997,156.100006,157.100006,157.100006,500787
2023-07-31,158.000000,169.899994,154.000000,166.699997,166.699997,1021416
2023-08-01,165.899994,165.899994,158.800003,160.100006,160.100006,573858
2023-08-02,159.899994,163.199997,158.199997,159.899994,159.899994,352618
2023-08-03,163.000000,165.800003,157.000000,159.800003,159.800003,733566
2023-08-04,160.000000,162.699997,157.399994,159.899994,159.899994,422273
2023-08-07,160.199997,164.899994,160.199997,162.699997,162.699997,455041
