Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,1.730000,1.790000,1.670000,1.670000,1.670000,7668961
2023-05-03,1.670000,1.690000,1.530000,1.560000,1.560000,8545456
2023-05-04,1.570000,1.620000,1.560000,1.570000,1.570000,4776932
2023-05-05,1.590000,1.590000,1.560000,1.560000,1.560000,2440770
2023-05-08,1.570000,1.640000,1.530000,1.560000,1.560000,10555964
2023-05-09,1.570000,1.580000,1.530000,1.530000,1.530000,3730332
2023-05-10,1.530000,1.600000,1.530000,1.540000,1.540000,6692169
2023-05-11,1.540000,1.630000,1.530000,1.590000,1.590000,10213445
2023-05-12,1.600000,1.620000,1.530000,1.540000,1.540000,4593674
2023-05-15,1.510000,1.570000,1.490000,1.540000,1.540000,2101803
2023-05-16,1.550000,1.570000,1.530000,1.570000,1.570000,1730468
2023-05-17,1.570000,1.630000,1.560000,1.590000,1.590000,4092316
2023-05-18,1.600000,1.620000,1.580000,1.580000,1.580000,3327870
2023-05-22,1.590000,1.730000,1.580000,1.610000,1.610000,11827065
2023-05-23,1.610000,1.620000,1.580000,1.590000,1.590000,2732948
2023-05-24,1.580000,1.610000,1.570000,1.580000,1.580000,2389252
2023-05-25,1.580000,1.590000,1.570000,1.580000,1.580000,2473850
2023-05-26,1.590000,1.620000,1.580000,1.600000,1.600000,2945932
2023-05-29,1.610000,1.670000,1.610000,1.670000,1.670000,4383231
2023-05-30,1.680000,1.730000,1.680000,1.710000,1.710000,5201846
2023-05-31,1.710000,1.800000,1.680000,1.720000,1.720000,16078016
2023-06-01,1.740000,1.750000,1.710000,1.730000,1.730000,4871160
2023-06-02,1.740000,1.780000,1.730000,1.740000,1.740000,4079763
2023-06-05,1.750000,1.790000,1.740000,1.790000,1.790000,4788695
2023-06-06,1.790000,1.800000,1.760000,1.780000,1.780000,5030224
2023-06-07,1.780000,1.810000,1.770000,1.780000,1.780000,5745584
2023-06-08,1.790000,1.800000,1.730000,1.750000,1.750000,4256068
2023-06-09,1.760000,1.790000,1.740000,1.770000,1.770000,2948188
2023-06-12,1.780000,1.830000,1.770000,1.820000,1.820000,9217477
2023-06-13,1.810000,1.840000,1.770000,1.810000,1.810000,7697927
2023-06-14,1.810000,1.830000,1.780000,1.800000,1.800000,4284637
2023-06-15,1.800000,1.980000,1.790000,1.980000,1.980000,27200991
2023-06-16,1.950000,2.010000,1.900000,1.920000,1.920000,18688248
2023-06-19,1.920000,1.920000,1.830000,1.840000,1.840000,6761960
2023-06-20,1.850000,1.890000,1.800000,1.830000,1.830000,5592707
2023-06-21,1.830000,1.870000,1.800000,1.820000,1.820000,3323261
2023-06-22,1.820000,1.870000,1.810000,1.850000,1.850000,4165653
2023-06-23,1.860000,1.910000,1.850000,1.890000,1.890000,5397824
2023-06-26,1.890000,1.940000,1.890000,1.920000,1.920000,5288948
2023-06-27,1.930000,1.940000,1.900000,1.920000,1.920000,2981773
2023-07-03,1.930000,2.010000,1.920000,1.980000,1.980000,9324465
2023-07-04,1.990000,2.040000,1.950000,2.000000,2.000000,9912571
2023-07-05,2.010000,2.110000,2.000000,2.110000,2.110000,9604416
2023-07-06,2.120000,2.170000,2.100000,2.100000,2.100000,9905614
2023-07-07,2.080000,2.100000,2.040000,2.070000,2.070000,11137164
2023-07-10,2.080000,2.140000,2.080000,2.090000,2.090000,11253236
2023-07-11,2.100000,2.110000,2.030000,2.040000,2.040000,11028969
2023-07-12,2.040000,2.050000,1.980000,2.000000,2.000000,10603764
2023-07-13,2.000000,2.200000,1.990000,2.200000,2.200000,37867635
2023-07-14,2.320000,2.420000,2.250000,2.330000,2.330000,71279684
2023-07-17,2.290000,2.400000,2.180000,2.270000,2.270000,35639228
2023-07-18,2.270000,2.280000,2.140000,2.150000,2.150000,23727200
2023-07-19,2.160000,2.210000,2.100000,2.180000,2.180000,13985232
2023-07-20,2.200000,2.200000,2.130000,2.150000,2.150000,17163237
2023-07-21,2.150000,2.250000,2.150000,2.180000,2.180000,17989155
2023-07-24,2.190000,2.230000,2.140000,2.150000,2.150000,22202252
2023-07-25,2.150000,2.170000,2.060000,2.080000,2.080000,12619466
2023-07-26,2.080000,2.170000,2.070000,2.140000,2.140000,15987305
2023-07-27,2.150000,2.250000,2.140000,2.200000,2.200000,18452556
2023-07-28,2.210000,2.420000,2.190000,2.310000,2.310000,49530166
2023-07-31,2.350000,2.540000,2.350000,2.540000,2.540000,39478477
2023-08-01,2.570000,2.770000,2.400000,2.600000,2.600000,49265694
2023-08-02,2.630000,2.720000,2.520000,2.520000,2.520000,20456403
2023-08-03,2.520000,2.600000,2.440000,2.520000,2.520000,23901024
2023-08-04,2.520000,2.620000,2.450000,2.550000,2.550000,28278402
2023-08-07,2.550000,2.630000,2.500000,2.500000,2.500000,19259255
2023-08-08,2.520000,2.520000,2.420000,2.440000,2.440000,15233621
2023-08-09,2.440000,2.450000,2.350000,2.350000,2.350000,19937969
