Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,9.930000,9.950000,9.730000,9.860000,9.860000,215449
2023-05-11,9.680000,10.400000,9.650000,10.130000,10.130000,573137
2023-05-12,10.230000,10.290000,9.750000,9.850000,9.850000,433250
2023-05-15,9.550000,10.030000,9.550000,9.810000,9.810000,298652
2023-05-16,9.810000,10.060000,9.700000,10.060000,10.060000,310594
2023-05-17,10.060000,10.400000,10.060000,10.400000,10.400000,450165
2023-05-18,10.440000,10.440000,10.000000,10.040000,10.040000,315417
2023-05-22,10.080000,10.180000,9.870000,9.960000,9.960000,234041
2023-05-23,9.960000,10.350000,9.800000,10.240000,10.240000,620397
2023-05-24,10.500000,10.600000,10.020000,10.060000,10.060000,714213
2023-05-25,10.060000,10.090000,9.600000,9.900000,9.900000,422346
2023-05-26,9.920000,10.050000,9.900000,10.040000,10.040000,296701
2023-05-29,10.110000,10.460000,10.110000,10.440000,10.440000,488654
2023-05-30,10.470000,10.990000,10.440000,10.890000,10.890000,823336
2023-05-31,10.930000,11.150000,10.660000,10.960000,10.960000,714335
2023-06-01,11.040000,11.650000,10.940000,11.470000,11.470000,1251510
2023-06-02,11.510000,12.010000,11.320000,11.740000,11.740000,1728703
2023-06-05,12.040000,12.130000,11.720000,12.000000,12.000000,1064638
2023-06-06,12.010000,12.120000,11.920000,12.060000,12.060000,688865
2023-06-07,12.110000,12.950000,11.860000,12.630000,12.630000,1934101
2023-06-08,12.630000,12.720000,12.050000,12.440000,12.440000,736364
2023-06-09,12.440000,13.000000,12.270000,12.750000,12.750000,1044189
2023-06-12,12.800000,13.450000,12.750000,13.220000,13.220000,1811787
2023-06-13,13.190000,13.200000,12.570000,12.660000,12.660000,878042
2023-06-14,12.780000,12.900000,12.600000,12.710000,12.710000,432855
2023-06-15,12.740000,13.310000,12.710000,12.730000,12.730000,470092
2023-06-16,12.770000,12.840000,12.620000,12.770000,12.770000,247847
2023-06-19,13.000000,13.000000,12.010000,12.110000,12.110000,441748
2023-06-20,12.110000,12.110000,11.550000,11.630000,11.630000,364606
2023-06-21,11.720000,11.920000,11.520000,11.550000,11.550000,241072
2023-06-22,12.400000,12.430000,11.790000,12.000000,12.000000,1199069
2023-06-23,12.000000,12.390000,11.950000,12.090000,12.090000,710050
2023-06-26,12.110000,12.440000,12.010000,12.380000,12.380000,803790
2023-06-27,12.480000,12.530000,12.300000,12.350000,12.350000,281426
2023-07-03,12.420000,12.700000,12.420000,12.700000,12.700000,1032510
2023-07-04,12.800000,13.190000,12.550000,13.110000,13.110000,1524589
2023-07-05,13.220000,14.190000,13.160000,14.150000,14.150000,3194367
2023-07-06,14.170000,14.400000,13.850000,13.890000,13.890000,1817241
2023-07-07,13.920000,14.260000,13.520000,14.020000,14.020000,1824337
2023-07-10,14.040000,14.350000,14.040000,14.330000,14.330000,1537122
2023-07-11,14.480000,14.590000,13.950000,14.080000,14.080000,1271595
2023-07-12,14.030000,14.080000,13.620000,13.790000,13.790000,960392
2023-07-13,13.820000,13.980000,13.550000,13.550000,13.550000,997046
2023-07-14,13.610000,14.900000,13.330000,14.420000,14.420000,4971755
2023-07-17,14.600000,14.840000,14.300000,14.470000,14.470000,3752031
2023-07-18,14.400000,14.400000,13.850000,14.030000,14.030000,2355385
2023-07-19,14.010000,14.310000,13.770000,14.190000,14.190000,1298820
2023-07-20,14.250000,14.770000,14.090000,14.360000,14.360000,3224484
2023-07-21,14.490000,15.790000,14.100000,15.790000,15.790000,4405288
2023-07-24,15.790000,16.200001,15.020000,15.390000,15.390000,5880349
2023-07-25,15.420000,15.450000,14.400000,14.400000,14.400000,2510128
2023-07-26,14.380000,14.800000,14.230000,14.800000,14.800000,1628253
2023-07-27,14.790000,15.240000,14.460000,15.020000,15.020000,2514067
2023-07-28,15.360000,15.620000,15.000000,15.060000,15.060000,1605353
2023-07-31,15.100000,15.250000,14.800000,14.920000,14.920000,1520906
2023-08-01,14.900000,15.140000,14.650000,14.800000,14.800000,1296879
2023-08-02,14.800000,15.810000,14.720000,15.310000,15.310000,3842994
2023-08-03,15.360000,16.309999,15.130000,16.059999,16.059999,6148720
2023-08-04,16.160000,16.350000,15.400000,15.630000,15.630000,2231621
2023-08-07,15.700000,16.000000,15.400000,15.650000,15.650000,1609355
2023-08-08,15.610000,15.760000,15.090000,15.220000,15.220000,1340018
2023-08-09,15.290000,15.940000,14.960000,15.440000,15.440000,2260853
2023-08-10,15.440000,15.500000,14.670000,14.750000,14.750000,1487288
