Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,2.630000,2.710000,2.610000,2.660000,2.604000,38230287
2023-05-11,2.620000,2.810000,2.570000,2.730000,2.672526,76670856
2023-05-12,2.740000,2.760000,2.590000,2.590000,2.535474,32501735
2023-05-15,2.450000,2.600000,2.410000,2.480000,2.427789,19568733
2023-05-16,2.480000,2.570000,2.470000,2.560000,2.506105,36739218
2023-05-17,2.570000,2.660000,2.560000,2.630000,2.574632,35690493
2023-05-18,2.640000,2.670000,2.540000,2.550000,2.496316,37739548
2023-05-22,2.570000,2.580000,2.450000,2.470000,2.418000,18414281
2023-05-23,2.470000,2.520000,2.460000,2.490000,2.437579,22633703
2023-05-24,2.490000,2.520000,2.450000,2.460000,2.408211,18997418
2023-05-25,2.460000,2.480000,2.430000,2.460000,2.408211,17819800
2023-05-26,2.470000,2.600000,2.460000,2.570000,2.515895,31887250
2023-05-29,2.640000,2.680000,2.590000,2.680000,2.623579,31379683
2023-05-30,2.710000,2.830000,2.700000,2.790000,2.731263,45933281
2023-05-31,2.810000,2.870000,2.770000,2.790000,2.731263,36210992
2023-06-01,2.850000,2.910000,2.830000,2.870000,2.809579,46417268
2023-06-02,2.920000,2.950000,2.880000,2.900000,2.838947,32788689
2023-06-05,2.940000,3.050000,2.930000,3.040000,2.976000,42653591
2023-06-06,3.040000,3.100000,3.000000,3.040000,2.976000,36591492
2023-06-07,3.160000,3.340000,3.130000,3.290000,3.220737,147008168
2023-06-08,3.280000,3.320000,3.180000,3.220000,3.152210,75636085
2023-06-09,3.250000,3.280000,3.210000,3.230000,3.162000,39138866
2023-06-12,3.250000,3.290000,3.150000,3.150000,3.083684,45153427
2023-06-13,3.140000,3.150000,3.020000,3.020000,2.956421,46339503
2023-06-14,3.030000,3.070000,2.960000,2.960000,2.897684,39087132
2023-06-15,2.980000,3.050000,2.980000,3.050000,2.985789,28140043
2023-06-16,3.060000,3.090000,3.010000,3.010000,2.946631,26336658
2023-06-19,3.010000,3.010000,2.860000,2.860000,2.799789,36350042
2023-06-20,2.860000,2.890000,2.820000,2.830000,2.770421,25291763
2023-06-21,2.850000,2.890000,2.810000,2.830000,2.770421,27853733
2023-06-22,2.840000,3.080000,2.820000,3.050000,2.985789,58273285
2023-06-23,3.110000,3.220000,3.110000,3.160000,3.093474,50963978
2023-06-26,3.190000,3.280000,3.170000,3.240000,3.171789,41501761
2023-06-27,3.230000,3.260000,3.210000,3.240000,3.171789,17143430
2023-07-03,3.330000,3.420000,3.300000,3.420000,3.348000,54737249
2023-07-04,3.420000,3.450000,3.320000,3.320000,3.250105,49867708
2023-07-05,3.330000,3.400000,3.270000,3.390000,3.318632,60370829
2023-07-06,3.410000,3.570000,3.400000,3.440000,3.367579,92204974
2023-07-07,3.440000,3.590000,3.420000,3.580000,3.504632,52912882
2023-07-10,3.610000,3.750000,3.610000,3.720000,3.641684,63060057
2023-07-11,3.760000,3.780000,3.640000,3.730000,3.651474,45277919
2023-07-12,3.740000,3.750000,3.630000,3.650000,3.573158,45037516
2023-07-13,3.650000,3.710000,3.580000,3.630000,3.553579,52017562
2023-07-14,3.650000,3.680000,3.610000,3.610000,3.534000,35427599
2023-07-17,3.630000,3.810000,3.620000,3.750000,3.671052,82669738
2023-07-18,3.780000,3.840000,3.640000,3.640000,3.563368,86909807
2023-07-19,3.630000,3.810000,3.600000,3.810000,3.729789,49526818
2023-07-20,3.820000,3.900000,3.790000,3.850000,3.768947,60798251
2023-07-21,3.850000,3.870000,3.750000,3.760000,3.680842,50873077
2023-07-24,3.780000,3.870000,3.770000,3.790000,3.710210,65842207
2023-07-25,3.790000,4.130000,3.790000,4.100000,4.013684,176940301
2023-07-26,4.120000,4.510000,4.080000,4.510000,4.415053,112515170
2023-07-27,4.760000,4.960000,4.750000,4.960000,4.855579,36769157
2023-07-28,5.450000,5.450000,5.310000,5.450000,5.335263,23178457
2023-07-31,5.700000,5.850000,5.110000,5.210000,5.100316,158163287
2023-08-01,5.200000,5.730000,5.100000,5.730000,5.609368,161583119
2023-08-02,5.770000,6.080000,5.160000,5.160000,5.051368,235464094
2023-08-03,5.160000,5.240000,4.720000,4.730000,4.630421,132016615
2023-08-04,4.780000,5.150000,4.710000,4.800000,4.698947,148856038
2023-08-07,4.840000,4.890000,4.680000,4.700000,4.601052,49739873
2023-08-08,4.750000,4.960000,4.690000,4.760000,4.659790,79394811
2023-08-09,4.780000,4.860000,4.720000,4.740000,4.640210,58827369
2023-08-10,4.770000,4.820000,4.540000,4.570000,4.473790,99713587
2023-08-11,4.580000,4.750000,4.490000,4.750000,4.650000,104506081
2023-08-14,4.800000,4.890000,4.700000,4.710000,4.710000,86688505
2023-08-15,4.720000,4.900000,4.670000,4.840000,4.840000,80853541
2023-08-16,4.860000,4.970000,4.760000,4.850000,4.850000,77864917
2023-08-17,4.850000,5.180000,4.850000,5.030000,5.030000,88776316
2023-08-18,5.030000,5.170000,4.780000,4.790000,4.790000,66420648
