Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,8.650000,8.800000,8.580000,8.750000,8.750000,16954586
2023-04-11,8.690000,8.700000,8.580000,8.590000,8.590000,14333063
2023-04-12,8.590000,8.730000,8.570000,8.610000,8.610000,13061059
2023-04-13,8.620000,8.750000,8.600000,8.630000,8.630000,15838677
2023-04-14,8.670000,8.940000,8.660000,8.900000,8.900000,24280464
2023-04-17,9.100000,9.470000,8.860000,9.080000,9.080000,38015921
2023-04-18,9.140000,9.370000,9.090000,9.300000,9.300000,29945721
2023-04-19,9.590000,10.230000,9.420000,9.880000,9.880000,127535437
2023-04-20,9.610000,9.670000,9.340000,9.380000,9.380000,23029037
2023-04-24,8.910000,9.000000,8.700000,8.860000,8.860000,48816171
2023-04-25,9.200000,9.530000,9.010000,9.040000,9.040000,46948346
2023-04-26,9.080000,9.220000,8.880000,8.930000,8.930000,33089636
2023-04-27,8.950000,9.160000,8.890000,8.940000,8.940000,19741775
2023-04-28,8.980000,9.100000,8.810000,9.000000,9.000000,20840624
2023-05-02,8.330000,8.650000,8.250000,8.490000,8.490000,37986348
2023-05-03,8.490000,8.510000,7.660000,7.960000,7.960000,29450677
2023-05-04,7.960000,8.570000,7.920000,8.480000,8.480000,21714068
2023-05-05,8.500000,8.850000,8.410000,8.800000,8.800000,26663386
2023-05-08,9.380000,9.680000,9.220000,9.680000,9.680000,43664497
2023-05-09,10.060000,10.390000,8.850000,8.860000,8.860000,75926070
2023-05-10,8.890000,8.900000,8.300000,8.320000,8.320000,33092914
2023-05-11,8.330000,9.050000,8.080000,8.450000,8.450000,64073425
2023-05-12,8.480000,8.720000,8.320000,8.480000,8.480000,27407758
2023-05-15,8.480000,9.080000,8.400000,9.010000,9.010000,29187376
2023-05-16,9.050000,9.390000,9.000000,9.290000,9.290000,33522423
2023-05-17,9.450000,9.490000,8.850000,8.880000,8.880000,48697645
2023-05-18,8.940000,9.120000,8.710000,8.800000,8.800000,33435725
2023-05-22,8.700000,8.740000,8.100000,8.130000,8.130000,36611448
2023-05-23,8.150000,8.630000,8.140000,8.190000,8.190000,30479492
2023-05-24,8.210000,8.310000,8.020000,8.070000,8.070000,18600755
2023-05-25,8.070000,8.180000,7.710000,7.910000,7.910000,20063029
2023-05-26,7.950000,8.320000,7.940000,8.150000,8.150000,21823251
2023-05-29,8.350000,8.790000,8.290000,8.680000,8.680000,27606125
2023-05-30,8.760000,9.130000,8.750000,8.800000,8.800000,52141577
2023-05-31,8.950000,9.000000,8.030000,8.030000,8.030000,66319500
2023-06-01,8.040000,8.130000,7.880000,7.930000,7.930000,38100595
2023-06-02,8.000000,8.040000,7.880000,7.880000,7.880000,31346265
2023-06-05,7.920000,8.050000,7.820000,7.870000,7.870000,34447478
2023-06-06,7.880000,7.890000,7.520000,7.630000,7.630000,38354407
2023-06-07,7.660000,7.670000,7.390000,7.410000,7.410000,29237997
2023-06-08,7.410000,7.780000,7.400000,7.650000,7.650000,36040705
2023-06-09,7.660000,7.740000,7.480000,7.670000,7.670000,25145538
2023-06-12,7.450000,7.630000,7.300000,7.450000,7.450000,34668433
2023-06-13,7.460000,7.480000,7.160000,7.170000,7.170000,16073983
2023-06-14,7.200000,7.880000,7.200000,7.880000,7.880000,36396088
2023-06-15,8.000000,8.220000,7.560000,7.820000,7.820000,94289904
2023-06-16,7.900000,7.990000,7.710000,7.770000,7.770000,21331780
2023-06-19,7.790000,7.870000,7.610000,7.610000,7.610000,15671699
2023-06-20,7.610000,7.680000,7.390000,7.410000,7.410000,9817196
2023-06-21,7.420000,7.540000,7.320000,7.330000,7.330000,10965817
2023-06-22,7.340000,7.540000,7.260000,7.450000,7.450000,15608903
2023-06-23,7.490000,7.820000,7.490000,7.680000,7.680000,17838732
2023-06-26,7.810000,8.010000,7.810000,8.000000,8.000000,19346662
2023-06-27,8.010000,8.510000,7.910000,8.380000,8.380000,22775603
2023-07-03,8.470000,8.850000,8.470000,8.620000,8.620000,24596270
2023-07-04,8.670000,8.670000,8.320000,8.460000,8.460000,22672595
2023-07-05,8.500000,8.640000,8.440000,8.530000,8.530000,30123784
2023-07-06,8.530000,8.770000,8.470000,8.620000,8.620000,31675525
2023-07-07,8.640000,8.660000,8.520000,8.580000,8.580000,15483897
2023-07-10,8.800000,9.300000,8.750000,9.170000,9.170000,52029352
2023-07-11,9.220000,9.400000,9.020000,9.240000,9.240000,57302286
2023-07-12,9.310000,10.060000,9.300000,9.950000,9.950000,67327973
2023-07-13,9.950000,10.380000,9.790000,9.860000,9.860000,54807853
2023-07-14,9.900000,10.240000,9.770000,10.210000,10.210000,40866199
2023-07-17,10.280000,10.430000,10.050000,10.300000,10.300000,34688405
2023-07-18,10.400000,11.000000,10.170000,10.680000,10.680000,46463813
2023-07-19,10.590000,11.100000,10.550000,10.950000,10.950000,55263717
2023-07-20,11.000000,11.590000,10.860000,11.430000,11.430000,67722191
2023-07-21,11.430000,11.850000,11.400000,11.650000,11.650000,49656555
2023-07-24,12.810000,12.810000,12.300000,12.810000,12.810000,48973622
2023-07-25,12.810000,13.370000,12.170000,12.450000,12.450000,78414117
