Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,4.050000,4.050000,3.860000,3.860000,3.860000,2732553
2023-05-10,3.850000,3.870000,3.510000,3.720000,3.720000,2879532
2023-05-11,3.720000,3.910000,3.670000,3.850000,3.850000,2577299
2023-05-12,3.830000,3.850000,3.640000,3.690000,3.690000,1565547
2023-05-15,3.580000,3.820000,3.550000,3.680000,3.680000,2979184
2023-05-16,3.700000,3.760000,3.690000,3.730000,3.730000,1571792
2023-05-17,3.730000,3.770000,3.680000,3.730000,3.730000,2446307
2023-05-18,3.730000,3.730000,3.550000,3.570000,3.570000,2675019
2023-05-22,3.570000,3.590000,3.400000,3.460000,3.460000,1463684
2023-05-23,3.490000,3.560000,3.410000,3.470000,3.470000,2424180
2023-05-24,3.470000,3.530000,3.400000,3.420000,3.420000,1974944
2023-05-25,3.440000,3.450000,3.360000,3.430000,3.430000,1603173
2023-05-26,3.430000,3.770000,3.400000,3.600000,3.600000,6313132
2023-05-29,3.650000,3.730000,3.560000,3.710000,3.710000,7187249
2023-05-30,3.780000,3.870000,3.720000,3.760000,3.760000,4715797
2023-05-31,3.770000,4.070000,3.690000,4.030000,4.030000,11097470
2023-06-01,4.060000,4.150000,3.820000,3.830000,3.830000,10123096
2023-06-02,3.850000,3.870000,3.750000,3.780000,3.780000,6985533
2023-06-05,3.800000,3.880000,3.730000,3.810000,3.810000,7221453
2023-06-06,3.820000,4.040000,3.780000,4.000000,4.000000,9662717
2023-06-07,4.010000,4.400000,4.010000,4.400000,4.400000,13561399
2023-06-08,4.450000,4.510000,4.140000,4.170000,4.170000,12420394
2023-06-09,4.180000,4.210000,4.040000,4.070000,4.070000,4948074
2023-06-12,4.080000,4.340000,3.980000,4.020000,4.020000,13210812
2023-06-13,4.020000,4.180000,3.930000,3.960000,3.960000,7856634
2023-06-14,3.980000,4.040000,3.830000,3.850000,3.850000,5353643
2023-06-15,3.850000,3.990000,3.830000,3.940000,3.940000,5251387
2023-06-16,3.940000,4.120000,3.940000,3.990000,3.990000,6066220
2023-06-19,4.000000,4.020000,3.750000,3.750000,3.750000,3792465
2023-06-20,3.750000,3.820000,3.700000,3.700000,3.700000,2482576
2023-06-21,3.710000,3.740000,3.570000,3.570000,3.570000,3177742
2023-06-22,3.570000,3.690000,3.560000,3.580000,3.580000,7149228
2023-06-23,3.610000,3.810000,3.610000,3.670000,3.670000,7505129
2023-06-26,3.700000,3.770000,3.670000,3.740000,3.740000,4007910
2023-06-27,3.750000,3.830000,3.700000,3.790000,3.790000,4372068
2023-07-03,3.800000,4.060000,3.790000,3.980000,3.980000,7132337
2023-07-04,4.000000,4.060000,3.900000,3.960000,3.960000,5144081
2023-07-05,3.980000,4.240000,3.970000,4.130000,4.130000,11945112
2023-07-06,4.180000,4.210000,4.070000,4.100000,4.100000,5801779
2023-07-07,4.100000,4.100000,3.970000,4.000000,4.000000,6538440
2023-07-10,4.010000,4.210000,4.010000,4.190000,4.190000,11702400
2023-07-11,4.210000,4.230000,4.080000,4.120000,4.120000,9766253
2023-07-12,4.130000,4.210000,4.100000,4.100000,4.100000,16451045
2023-07-13,4.120000,4.140000,4.060000,4.070000,4.070000,8650524
2023-07-14,4.090000,4.420000,4.060000,4.300000,4.300000,34391035
2023-07-17,4.330000,4.410000,4.270000,4.290000,4.290000,12371838
2023-07-18,4.320000,4.640000,4.290000,4.430000,4.430000,19686737
2023-07-19,4.430000,4.590000,4.350000,4.480000,4.480000,9503053
2023-07-20,4.520000,4.560000,4.380000,4.450000,4.450000,8693462
2023-07-21,4.480000,4.480000,4.310000,4.340000,4.340000,8108367
2023-07-24,4.350000,4.450000,4.260000,4.260000,4.260000,12418055
2023-07-25,4.270000,4.280000,4.090000,4.090000,4.090000,7300408
2023-07-26,4.100000,4.180000,4.090000,4.150000,4.150000,6093750
2023-07-27,4.170000,4.450000,4.150000,4.350000,4.350000,14982202
2023-07-28,4.360000,4.440000,4.320000,4.360000,4.360000,9424846
2023-07-31,4.390000,4.480000,4.380000,4.420000,4.420000,9044667
2023-08-01,4.420000,4.430000,4.270000,4.300000,4.300000,6665828
2023-08-02,4.300000,4.730000,4.270000,4.540000,4.540000,38594866
2023-08-03,4.580000,4.610000,4.370000,4.390000,4.390000,15344338
2023-08-04,4.390000,4.540000,4.390000,4.440000,4.440000,8256992
2023-08-07,4.450000,4.610000,4.450000,4.580000,4.580000,13202081
2023-08-08,4.590000,4.630000,4.400000,4.400000,4.400000,10190813
2023-08-09,4.410000,4.450000,4.340000,4.380000,4.380000,6687893
2023-08-10,4.410000,4.410000,4.080000,4.080000,4.080000,8349178
2023-08-11,4.070000,4.220000,3.940000,4.190000,4.190000,6311466
2023-08-14,4.210000,4.290000,4.090000,4.130000,4.130000,8338977
2023-08-15,4.150000,4.170000,3.950000,4.120000,4.120000,6584653
