Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,0.760000,0.770000,0.750000,0.760000,0.760000,5386998
2023-05-11,0.770000,0.800000,0.750000,0.780000,0.780000,11220748
2023-05-12,0.790000,0.790000,0.750000,0.770000,0.770000,8068401
2023-05-15,0.760000,0.810000,0.740000,0.790000,0.790000,9481711
2023-05-16,0.780000,0.800000,0.770000,0.790000,0.790000,5344917
2023-05-17,0.790000,0.810000,0.780000,0.810000,0.810000,9277088
2023-05-18,0.810000,0.830000,0.770000,0.780000,0.780000,8441781
2023-05-22,0.780000,0.790000,0.760000,0.770000,0.770000,4707109
2023-05-23,0.770000,0.800000,0.760000,0.800000,0.800000,6578569
2023-05-24,0.800000,0.850000,0.790000,0.850000,0.850000,26250303
2023-05-25,0.850000,0.850000,0.820000,0.830000,0.830000,6706260
2023-05-26,0.830000,0.850000,0.820000,0.850000,0.850000,6003915
2023-05-29,0.870000,0.920000,0.850000,0.910000,0.910000,30103726
2023-05-30,0.920000,0.920000,0.890000,0.900000,0.900000,34723194
2023-05-31,0.900000,0.910000,0.870000,0.880000,0.880000,11124016
2023-06-01,0.880000,0.890000,0.870000,0.880000,0.880000,8653470
2023-06-02,0.890000,0.910000,0.880000,0.890000,0.890000,11457007
2023-06-05,0.900000,0.920000,0.890000,0.910000,0.910000,13697333
2023-06-06,0.910000,0.940000,0.900000,0.940000,0.940000,42251469
2023-06-07,0.940000,0.940000,0.910000,0.940000,0.940000,15627943
2023-06-08,0.940000,0.950000,0.900000,0.910000,0.910000,22792505
2023-06-09,0.920000,0.920000,0.890000,0.900000,0.900000,7581741
2023-06-12,0.910000,0.910000,0.890000,0.900000,0.900000,7016475
2023-06-13,0.900000,0.900000,0.860000,0.860000,0.860000,9799999
2023-06-14,0.860000,0.870000,0.840000,0.860000,0.860000,9072755
2023-06-15,0.860000,0.880000,0.850000,0.870000,0.870000,7566288
2023-06-16,0.870000,0.900000,0.860000,0.900000,0.900000,13722529
2023-06-19,0.900000,0.920000,0.890000,0.890000,0.890000,12941868
2023-06-20,0.890000,0.900000,0.880000,0.890000,0.890000,7876178
2023-06-21,0.900000,0.910000,0.870000,0.880000,0.880000,7848483
2023-06-22,0.880000,0.900000,0.860000,0.900000,0.900000,5875785
2023-06-23,0.900000,0.920000,0.890000,0.910000,0.910000,23714634
2023-06-26,0.910000,0.930000,0.900000,0.920000,0.920000,16256987
2023-06-27,0.920000,0.930000,0.910000,0.930000,0.930000,7350641
2023-07-03,0.930000,0.960000,0.930000,0.960000,0.960000,21895473
2023-07-04,0.960000,0.970000,0.930000,0.940000,0.940000,19343515
2023-07-05,0.950000,1.000000,0.940000,0.980000,0.980000,39750878
2023-07-06,0.980000,1.020000,0.970000,1.010000,1.010000,34642265
2023-07-07,1.010000,1.020000,0.990000,1.010000,1.010000,23619158
2023-07-10,1.010000,1.110000,1.000000,1.110000,1.110000,47192515
2023-07-11,1.130000,1.140000,1.060000,1.090000,1.090000,48919369
2023-07-12,1.090000,1.130000,1.040000,1.060000,1.060000,79868639
2023-07-13,1.060000,1.150000,1.050000,1.140000,1.140000,87645396
2023-07-14,1.150000,1.170000,1.080000,1.120000,1.120000,71730037
2023-07-17,1.120000,1.130000,1.080000,1.090000,1.090000,34690725
2023-07-18,1.090000,1.100000,1.040000,1.060000,1.060000,30101988
2023-07-19,1.060000,1.150000,1.030000,1.150000,1.150000,113891884
2023-07-20,1.180000,1.200000,1.090000,1.110000,1.110000,139651502
2023-07-21,1.110000,1.120000,1.060000,1.080000,1.080000,56935956
2023-07-24,1.080000,1.110000,1.060000,1.100000,1.100000,42213881
2023-07-25,1.100000,1.100000,1.050000,1.060000,1.060000,27246422
2023-07-26,1.050000,1.110000,1.040000,1.110000,1.110000,51094774
2023-07-27,1.120000,1.140000,1.100000,1.100000,1.100000,84310902
2023-07-28,1.110000,1.120000,1.090000,1.100000,1.100000,31123215
2023-07-31,1.100000,1.170000,1.090000,1.170000,1.170000,90357584
2023-08-01,1.180000,1.280000,1.170000,1.280000,1.280000,207021079
2023-08-02,1.340000,1.400000,1.220000,1.250000,1.250000,274299026
2023-08-03,1.260000,1.290000,1.220000,1.230000,1.230000,123672905
2023-08-04,1.230000,1.240000,1.180000,1.190000,1.190000,47681429
2023-08-07,1.180000,1.190000,1.140000,1.160000,1.160000,50262802
2023-08-08,1.160000,1.240000,1.140000,1.200000,1.200000,67220607
2023-08-09,1.200000,1.230000,1.170000,1.210000,1.210000,35237167
2023-08-10,1.210000,1.270000,1.170000,1.180000,1.180000,68824499
2023-08-11,1.180000,1.220000,1.180000,1.210000,1.210000,24629770
2023-08-14,1.210000,1.270000,1.210000,1.250000,1.250000,53747153
2023-08-15,1.250000,1.270000,1.210000,1.210000,1.210000,22700532
2023-08-16,1.220000,1.250000,1.190000,1.240000,1.240000,28497675
2023-08-17,1.250000,1.360000,1.220000,1.360000,1.360000,59875841
2023-08-18,1.390000,1.440000,1.300000,1.340000,1.340000,36320467
