Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,5.580000,5.630000,5.270000,5.270000,5.270000,6946573
2023-05-03,5.440000,5.620000,5.140000,5.450000,5.450000,17212835
2023-05-04,5.450000,5.690000,5.420000,5.490000,5.490000,11555674
2023-05-05,5.520000,5.540000,5.320000,5.350000,5.350000,6389863
2023-05-08,5.370000,5.680000,5.290000,5.670000,5.670000,12726248
2023-05-09,5.690000,5.850000,5.530000,5.620000,5.620000,21589436
2023-05-10,5.640000,5.730000,5.460000,5.610000,5.610000,23121632
2023-05-11,5.620000,6.170000,5.600000,6.140000,6.140000,46860515
2023-05-12,6.170000,6.240000,5.880000,5.880000,5.880000,20730549
2023-05-15,5.350000,5.650000,5.300000,5.310000,5.310000,18087109
2023-05-16,5.360000,5.460000,5.290000,5.440000,5.440000,8564288
2023-05-17,5.490000,5.540000,5.420000,5.470000,5.470000,10324107
2023-05-18,5.480000,5.530000,5.320000,5.330000,5.330000,7175253
2023-05-22,5.360000,5.400000,5.230000,5.270000,5.270000,7458791
2023-05-23,5.300000,5.370000,5.280000,5.320000,5.320000,4430187
2023-05-24,5.340000,5.400000,5.240000,5.350000,5.350000,3518009
2023-05-25,5.350000,5.380000,5.270000,5.330000,5.330000,4518411
2023-05-26,5.340000,5.430000,5.300000,5.400000,5.400000,9239857
2023-05-29,5.480000,5.580000,5.360000,5.530000,5.530000,15813337
2023-05-30,5.590000,5.910000,5.590000,5.840000,5.840000,22102276
2023-05-31,5.860000,5.870000,5.710000,5.710000,5.710000,10321476
2023-06-01,5.770000,6.000000,5.770000,5.970000,5.970000,11284319
2023-06-02,6.100000,6.220000,6.010000,6.160000,6.160000,19529117
2023-06-05,6.310000,6.330000,6.170000,6.260000,6.260000,18187181
2023-06-06,6.260000,6.460000,6.170000,6.290000,6.290000,25784210
2023-06-07,6.400000,6.510000,6.340000,6.400000,6.400000,16339075
2023-06-08,6.390000,6.570000,6.310000,6.380000,6.380000,16571202
2023-06-09,6.430000,6.860000,6.410000,6.780000,6.780000,24215608
2023-06-12,6.850000,7.110000,6.750000,6.770000,6.770000,18866927
2023-06-13,6.810000,7.290000,6.570000,6.970000,6.970000,26639604
2023-06-14,7.090000,7.230000,6.870000,6.980000,6.980000,26189371
2023-06-15,7.040000,7.080000,6.740000,6.790000,6.790000,10822021
2023-06-16,6.810000,7.370000,6.590000,7.270000,7.270000,30093423
2023-06-19,7.340000,7.430000,7.020000,7.020000,7.020000,16536380
2023-06-20,6.950000,7.250000,6.840000,7.030000,7.030000,16633603
2023-06-21,7.060000,7.170000,6.750000,6.750000,6.750000,11164583
2023-06-22,6.760000,6.880000,6.510000,6.830000,6.830000,11588368
2023-06-23,6.930000,7.110000,6.930000,7.000000,7.000000,10441586
2023-06-26,7.070000,7.570000,7.040000,7.470000,7.470000,24282263
2023-06-27,7.410000,7.500000,7.380000,7.390000,7.390000,3659321
2023-07-03,7.460000,7.810000,7.440000,7.790000,7.790000,20003894
2023-07-04,7.830000,7.960000,7.760000,7.840000,7.840000,17443371
2023-07-05,7.850000,8.000000,7.650000,7.830000,7.830000,18690931
2023-07-06,7.860000,7.980000,7.770000,7.770000,7.770000,13187339
2023-07-07,7.790000,7.840000,7.500000,7.560000,7.560000,11354247
2023-07-10,7.600000,7.830000,7.550000,7.830000,7.830000,15415053
2023-07-11,7.940000,8.180000,7.680000,8.060000,8.060000,29113712
2023-07-12,8.060000,8.300000,8.010000,8.140000,8.140000,26366429
2023-07-13,8.180000,8.950000,8.160000,8.950000,8.950000,60026075
2023-07-14,9.100000,9.600000,9.010000,9.010000,9.010000,52447371
2023-07-17,9.050000,9.370000,9.030000,9.190000,9.190000,22788738
2023-07-18,9.220000,9.280000,8.600000,8.600000,8.600000,29534311
2023-07-19,8.610000,9.040000,8.450000,9.000000,9.000000,28996336
2023-07-20,9.050000,9.150000,8.830000,9.010000,9.010000,17680926
2023-07-21,9.030000,9.070000,8.770000,8.880000,8.880000,13379544
2023-07-24,8.980000,9.370000,8.880000,9.160000,9.160000,25093440
2023-07-25,9.270000,9.330000,8.910000,9.110000,9.110000,14882327
2023-07-26,9.000000,9.300000,8.980000,9.240000,9.240000,24767287
2023-07-27,9.510000,10.160000,9.510000,10.160000,10.160000,35703028
2023-07-28,10.800000,11.170000,10.600000,11.170000,11.170000,42975606
