Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,7.840000,8.470000,7.780000,8.440000,8.440000,3847645
2023-05-10,8.460000,9.050000,8.210000,8.580000,8.580000,6869216
2023-05-11,8.580000,8.670000,7.740000,8.050000,8.050000,7170870
2023-05-12,8.040000,8.350000,7.590000,7.840000,7.840000,4085636
2023-05-15,7.900000,8.260000,7.410000,8.240000,8.240000,2332852
2023-05-16,8.240000,8.390000,8.140000,8.300000,8.300000,1301199
2023-05-17,8.290000,8.640000,8.170000,8.580000,8.580000,1828295
2023-05-18,8.600000,9.170000,8.510000,9.000000,9.000000,4056377
2023-05-22,8.950000,9.410000,8.950000,9.360000,9.360000,2713284
2023-05-23,9.370000,9.750000,9.180000,9.600000,9.600000,3302946
2023-05-24,9.590000,9.590000,8.980000,9.400000,9.400000,2687647
2023-05-25,9.360000,9.360000,9.050000,9.200000,9.200000,1782268
2023-05-26,9.240000,9.250000,8.990000,9.020000,9.020000,1065942
2023-05-29,9.090000,9.220000,9.000000,9.100000,9.100000,902339
2023-05-30,9.100000,9.170000,8.900000,8.900000,8.900000,1338107
2023-05-31,8.900000,8.980000,8.680000,8.920000,8.920000,2203546
2023-06-01,8.920000,9.290000,8.920000,9.170000,9.170000,1440853
2023-06-02,9.200000,9.270000,8.780000,9.100000,9.100000,1522618
2023-06-05,9.110000,9.140000,8.930000,9.000000,9.000000,1027000
2023-06-06,8.980000,9.300000,8.920000,9.270000,9.270000,2050883
2023-06-07,9.280000,9.420000,9.000000,9.040000,9.040000,2032100
2023-06-08,9.120000,9.300000,8.860000,9.150000,9.150000,836451
2023-06-09,9.150000,10.050000,9.050000,9.670000,9.670000,1896955
2023-06-12,9.680000,9.710000,9.340000,9.600000,9.600000,1714208
2023-06-13,9.600000,9.820000,9.450000,9.800000,9.800000,1855048
2023-06-14,9.790000,9.970000,9.610000,9.850000,9.850000,1798174
2023-06-15,9.710000,9.970000,9.710000,9.930000,9.930000,1259204
2023-06-16,9.950000,10.170000,9.500000,9.980000,9.980000,2739624
2023-06-19,9.980000,9.980000,9.490000,9.880000,9.880000,1244414
2023-06-20,9.810000,9.810000,9.320000,9.530000,9.530000,691121
2023-06-21,9.490000,9.880000,9.200000,9.650000,9.650000,2995756
2023-06-22,9.660000,9.720000,9.290000,9.290000,9.290000,942173
2023-06-23,9.300000,9.850000,9.120000,9.830000,9.830000,3720536
2023-06-26,9.900000,10.400000,9.740000,10.200000,10.200000,6023227
2023-06-27,10.200000,10.390000,10.030000,10.390000,10.390000,1228975
2023-07-03,10.500000,11.330000,10.350000,11.250000,11.250000,5780251
2023-07-04,11.300000,12.370000,11.300000,12.360000,12.360000,7369913
2023-07-05,12.590000,13.360000,12.220000,12.500000,12.500000,8396735
2023-07-06,12.510000,13.380000,12.410000,13.000000,13.000000,6108429
2023-07-07,13.190000,13.580000,12.940000,13.450000,13.450000,4540676
2023-07-10,13.490000,13.930000,13.350000,13.400000,13.400000,5482622
2023-07-11,13.500000,13.590000,12.690000,13.400000,13.400000,6119274
2023-07-12,13.290000,14.000000,13.050000,13.980000,13.980000,3267429
2023-07-13,14.000000,14.500000,13.800000,14.300000,14.300000,4953422
2023-07-14,14.390000,14.960000,14.200000,14.950000,14.950000,3445458
2023-07-17,14.880000,15.290000,14.380000,14.890000,14.890000,4085271
2023-07-18,14.970000,14.970000,13.410000,13.410000,13.410000,6176199
2023-07-19,13.390000,13.390000,12.070000,13.340000,13.340000,8283120
2023-07-20,13.290000,14.090000,12.630000,14.010000,14.010000,5641759
2023-07-21,13.990000,14.580000,13.500000,13.500000,13.500000,5957943
2023-07-24,13.500000,14.200000,13.030000,13.260000,13.260000,4653767
2023-07-25,13.260000,13.400000,12.600000,12.660000,12.660000,4259600
2023-07-26,12.600000,13.000000,11.440000,12.550000,12.550000,4410255
2023-07-27,12.990000,12.990000,12.230000,12.230000,12.230000,1986255
2023-07-28,12.340000,13.200000,12.180000,12.240000,12.240000,5355043
2023-07-31,12.310000,12.500000,12.000000,12.160000,12.160000,2119706
2023-08-01,12.160000,12.210000,11.570000,11.990000,11.990000,1868580
2023-08-02,11.980000,12.520000,11.590000,12.300000,12.300000,3776844
2023-08-03,12.240000,12.250000,11.070000,11.070000,11.070000,4579627
2023-08-04,9.970000,9.970000,9.970000,9.970000,9.970000,1622499
2023-08-07,9.130000,10.670000,9.120000,10.530000,10.530000,14402263
2023-08-08,10.780000,11.580000,10.550000,11.580000,11.580000,8725812
2023-08-09,11.650000,12.440000,11.300000,12.330000,12.330000,11638209
2023-08-10,12.400000,12.430000,11.680000,12.150000,12.150000,6065612
2023-08-11,12.100000,12.250000,11.730000,11.880000,11.880000,3142692
2023-08-14,11.900000,12.330000,11.500000,11.580000,11.580000,2392364
2023-08-15,11.580000,11.750000,10.820000,10.820000,10.820000,2813463
