Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,0.890000,0.890000,0.840000,0.840000,0.840000,1232001
2023-05-11,0.840000,0.860000,0.830000,0.860000,0.860000,821522
2023-05-12,0.880000,0.880000,0.850000,0.850000,0.850000,933935
2023-05-15,0.820000,0.870000,0.820000,0.840000,0.840000,716654
2023-05-16,0.870000,0.870000,0.830000,0.850000,0.850000,690334
2023-05-17,0.850000,0.850000,0.830000,0.830000,0.830000,694758
2023-05-18,0.830000,0.830000,0.810000,0.820000,0.820000,877225
2023-05-22,0.820000,0.820000,0.790000,0.790000,0.790000,580688
2023-05-23,0.770000,0.790000,0.770000,0.780000,0.780000,1225397
2023-05-24,0.780000,0.800000,0.780000,0.790000,0.790000,814089
2023-05-25,0.800000,0.800000,0.800000,0.800000,0.800000,608968
2023-05-26,0.820000,0.820000,0.800000,0.800000,0.800000,732640
2023-05-29,0.820000,0.830000,0.810000,0.820000,0.820000,1183855
2023-05-30,0.800000,0.820000,0.800000,0.820000,0.820000,1009751
2023-05-31,0.820000,0.830000,0.820000,0.820000,0.820000,983190
2023-06-01,0.820000,0.820000,0.810000,0.820000,0.820000,566705
2023-06-02,0.820000,0.830000,0.820000,0.830000,0.830000,715163
2023-06-05,0.830000,0.840000,0.830000,0.840000,0.840000,1274173
2023-06-06,0.820000,0.840000,0.820000,0.830000,0.830000,891227
2023-06-07,0.830000,0.830000,0.820000,0.820000,0.820000,960734
2023-06-08,0.830000,0.830000,0.820000,0.830000,0.830000,1243753
2023-06-09,0.840000,0.840000,0.830000,0.830000,0.830000,1428841
2023-06-12,0.910000,0.910000,0.910000,0.910000,0.910000,8230025
2023-06-13,0.890000,0.890000,0.830000,0.840000,0.840000,2909317
2023-06-14,0.820000,0.820000,0.800000,0.800000,0.800000,2219392
2023-06-15,0.800000,0.810000,0.800000,0.810000,0.810000,2149338
2023-06-16,0.810000,0.840000,0.810000,0.830000,0.830000,1418938
2023-06-19,0.830000,0.830000,0.790000,0.790000,0.790000,1499145
2023-06-20,0.790000,0.810000,0.790000,0.810000,0.810000,846089
2023-06-21,0.800000,0.800000,0.790000,0.790000,0.790000,1513091
2023-06-22,0.800000,0.800000,0.790000,0.790000,0.790000,1916843
2023-06-23,0.800000,0.810000,0.800000,0.800000,0.800000,862327
2023-06-26,0.780000,0.800000,0.780000,0.800000,0.800000,1254950
2023-06-27,0.800000,0.800000,0.800000,0.800000,0.800000,676541
2023-07-03,0.800000,0.810000,0.800000,0.810000,0.810000,2820835
2023-07-04,0.810000,0.820000,0.810000,0.820000,0.820000,2647183
2023-07-05,0.840000,0.840000,0.830000,0.840000,0.840000,1874769
2023-07-06,0.840000,0.840000,0.820000,0.820000,0.820000,1922902
2023-07-07,0.820000,0.830000,0.820000,0.830000,0.830000,1738453
2023-07-10,0.820000,0.840000,0.820000,0.840000,0.840000,2165297
2023-07-11,0.860000,0.870000,0.860000,0.870000,0.870000,4422866
2023-07-12,0.870000,0.950000,0.870000,0.950000,0.950000,4285829
2023-07-13,1.040000,1.040000,1.040000,1.040000,1.040000,6415595
2023-07-14,0.990000,0.990000,0.940000,0.980000,0.980000,4367812
2023-07-17,1.070000,1.070000,1.070000,1.070000,1.070000,2467327
2023-07-18,1.170000,1.170000,1.170000,1.170000,1.170000,5587175
2023-07-19,1.170000,1.170000,1.110000,1.120000,1.120000,3624142
2023-07-20,1.170000,1.230000,1.170000,1.220000,1.220000,3934456
2023-07-21,1.220000,1.220000,1.140000,1.160000,1.160000,1923188
2023-07-24,1.170000,1.170000,1.120000,1.120000,1.120000,2229341
2023-07-25,1.060000,1.060000,1.050000,1.050000,1.050000,1933585
2023-07-26,0.990000,1.140000,0.990000,1.140000,1.140000,2882222
2023-07-27,1.130000,1.130000,1.110000,1.110000,1.110000,2309638
2023-07-28,1.090000,1.160000,1.090000,1.150000,1.150000,2040972
2023-07-31,1.170000,1.170000,1.170000,1.170000,1.170000,1597525
2023-08-01,1.130000,1.140000,1.130000,1.140000,1.140000,1468393
2023-08-02,1.130000,1.130000,1.130000,1.130000,1.130000,1565856
2023-08-03,1.120000,1.240000,1.120000,1.240000,1.240000,4409710
2023-08-04,1.240000,1.320000,1.240000,1.320000,1.320000,2948590
2023-08-07,1.320000,1.390000,1.320000,1.390000,1.390000,3581958
2023-08-08,1.450000,1.450000,1.380000,1.380000,1.380000,3094655
2023-08-09,1.380000,1.390000,1.380000,1.380000,1.380000,1604248
2023-08-10,1.280000,1.310000,1.250000,1.250000,1.250000,2103230
2023-08-11,1.170000,1.250000,1.170000,1.250000,1.250000,2159318
2023-08-14,1.260000,1.370000,1.260000,1.370000,1.370000,2505968
2023-08-15,1.490000,1.490000,1.310000,1.390000,1.390000,2325362
2023-08-16,1.380000,1.380000,1.300000,1.300000,1.300000,1903035
2023-08-17,1.270000,1.290000,1.270000,1.290000,1.290000,1828710
2023-08-18,1.260000,1.260000,1.170000,1.200000,1.200000,2872670
