Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,8.180000,8.330000,7.780000,7.800000,7.800000,2586926
2023-05-10,8.200000,8.200000,7.630000,7.630000,7.630000,1820946
2023-05-11,7.650000,7.890000,7.460000,7.580000,7.580000,5723506
2023-05-12,7.700000,7.710000,6.830000,6.950000,6.950000,8770268
2023-05-15,6.950000,7.130000,6.560000,6.780000,6.780000,3165656
2023-05-16,6.780000,6.940000,6.500000,6.680000,6.680000,6309879
2023-05-17,6.700000,6.950000,6.610000,6.760000,6.760000,5852931
2023-05-18,6.770000,6.870000,6.550000,6.580000,6.580000,4233487
2023-05-22,6.620000,6.650000,6.290000,6.370000,6.370000,4178514
2023-05-23,6.370000,6.730000,6.290000,6.390000,6.390000,3953151
2023-05-24,6.430000,6.550000,6.270000,6.300000,6.300000,2716606
2023-05-25,6.300000,6.440000,6.190000,6.250000,6.250000,3043860
2023-05-26,6.250000,6.530000,6.210000,6.460000,6.460000,3426368
2023-05-29,6.800000,6.800000,6.490000,6.720000,6.720000,4029246
2023-05-30,6.790000,7.330000,6.710000,7.230000,7.230000,5943013
2023-05-31,7.250000,7.370000,7.090000,7.120000,7.120000,3867629
2023-06-01,7.130000,7.280000,7.000000,7.030000,7.030000,3934164
2023-06-02,7.040000,7.180000,7.010000,7.050000,7.050000,3023547
2023-06-05,7.110000,7.250000,7.100000,7.150000,7.150000,4699087
2023-06-06,7.170000,7.360000,7.010000,7.280000,7.280000,6312848
2023-06-07,7.300000,7.480000,7.210000,7.240000,7.240000,6883156
2023-06-08,7.270000,7.280000,7.000000,7.130000,7.130000,4003951
2023-06-09,7.130000,7.280000,7.100000,7.190000,7.190000,4813909
2023-06-12,7.200000,7.310000,7.160000,7.170000,7.170000,5487023
2023-06-13,7.190000,7.740000,7.040000,7.460000,7.460000,14387941
2023-06-14,7.540000,7.580000,7.080000,7.110000,7.110000,5950885
2023-06-15,7.140000,7.220000,7.000000,7.040000,7.040000,3845637
2023-06-16,7.060000,7.110000,6.880000,6.940000,6.940000,4941698
2023-06-19,6.950000,6.990000,6.600000,6.600000,6.600000,5347050
2023-06-20,6.600000,6.770000,6.270000,6.470000,6.470000,3702015
2023-06-21,6.520000,6.570000,6.250000,6.270000,6.270000,3735039
2023-06-22,6.280000,6.520000,6.020000,6.420000,6.420000,4116750
2023-06-23,6.480000,6.610000,6.420000,6.580000,6.580000,3775362
2023-06-26,6.600000,6.810000,6.600000,6.780000,6.780000,3388135
2023-06-27,6.850000,7.090000,6.770000,7.020000,7.020000,2604375
2023-07-03,7.050000,7.260000,7.050000,7.120000,7.120000,4567394
2023-07-04,7.180000,7.220000,6.970000,6.990000,6.990000,7162382
2023-07-05,7.010000,7.060000,6.850000,7.010000,7.010000,7993159
2023-07-06,7.010000,7.520000,6.950000,7.520000,7.520000,16506434
2023-07-07,7.600000,7.750000,7.430000,7.700000,7.700000,8361512
2023-07-10,7.710000,8.030000,7.710000,7.940000,7.940000,9721121
2023-07-11,8.000000,8.040000,7.620000,7.730000,7.730000,8037235
2023-07-12,7.730000,7.830000,7.500000,7.500000,7.500000,6296069
2023-07-13,7.550000,7.590000,7.300000,7.370000,7.370000,5621561
2023-07-14,7.370000,7.440000,7.200000,7.290000,7.290000,5230567
2023-07-17,7.330000,7.670000,7.290000,7.620000,7.620000,7923455
2023-07-18,7.620000,8.160000,7.440000,7.770000,7.770000,19492371
2023-07-19,7.770000,7.800000,7.420000,7.610000,7.610000,8322781
2023-07-20,7.720000,7.800000,7.540000,7.630000,7.630000,8098027
2023-07-21,7.630000,7.750000,7.370000,7.440000,7.440000,8770106
2023-07-24,7.440000,8.180000,7.420000,8.180000,8.180000,18503732
2023-07-25,8.210000,8.950000,7.890000,8.780000,8.780000,22243358
2023-07-26,9.000000,9.150000,8.550000,8.620000,8.620000,11596540
2023-07-27,8.620000,9.060000,8.500000,8.700000,8.700000,8723295
2023-07-28,8.820000,8.850000,8.520000,8.550000,8.550000,6956364
2023-07-31,8.690000,8.700000,8.340000,8.390000,8.390000,7055173
2023-08-01,8.390000,8.440000,8.060000,8.060000,8.060000,8778679
2023-08-02,8.120000,8.450000,8.020000,8.380000,8.380000,9383112
2023-08-03,8.400000,8.550000,8.070000,8.120000,8.120000,6681776
2023-08-04,8.120000,8.250000,8.040000,8.100000,8.100000,5396458
2023-08-07,8.120000,8.330000,8.100000,8.200000,8.200000,7537135
2023-08-08,8.210000,8.280000,8.000000,8.030000,8.030000,5406597
2023-08-09,8.030000,8.050000,7.910000,7.940000,7.940000,5759611
2023-08-10,7.940000,7.980000,7.500000,7.580000,7.580000,6697121
2023-08-11,7.280000,7.970000,7.280000,7.870000,7.870000,6992201
