Date,Open,High,Low,Close,Adj Close,Volume
2023-05-04,2.345744,2.441489,2.340425,2.382978,2.382978,8765738
2023-05-05,2.537234,2.574468,2.430851,2.468085,2.468085,13331732
2023-05-08,2.436170,2.531914,2.404255,2.484042,2.484042,8541545
2023-05-09,2.484042,2.670212,2.457446,2.500000,2.500000,13528117
2023-05-10,2.457446,2.734042,2.441489,2.595744,2.595744,16884524
2023-05-11,2.648936,2.744680,2.601063,2.686170,2.686170,9180848
2023-05-12,2.702127,2.734042,2.574468,2.606382,2.606382,8462015
2023-05-15,2.500000,2.664893,2.425531,2.590425,2.590425,6514929
2023-05-16,2.590425,2.702127,2.574468,2.686170,2.686170,5597825
2023-05-17,2.686170,2.787234,2.664893,2.744680,2.744680,7258104
2023-05-18,2.744680,2.760638,2.579787,2.595744,2.595744,9443986
2023-05-22,2.595744,2.627659,2.558510,2.574468,2.574468,5311129
2023-05-23,2.574468,2.648936,2.547872,2.606382,2.606382,4243359
2023-05-24,2.606382,2.659574,2.558510,2.574468,2.574468,5925998
2023-05-25,2.579787,2.601063,2.547872,2.569148,2.569148,4036346
2023-05-26,2.574468,2.627659,2.563829,2.622340,2.622340,4203304
2023-05-29,2.643617,2.718085,2.627659,2.702127,2.702127,8893550
2023-05-30,2.712765,2.813829,2.691489,2.797872,2.797872,9661594
2023-05-31,2.787234,2.882978,2.755319,2.803191,2.803191,11387238
2023-06-01,2.808510,2.872340,2.808510,2.845744,2.845744,8995841
2023-06-02,2.867021,2.920212,2.819148,2.840425,2.840425,8858951
2023-06-05,2.840425,2.920212,2.840425,2.872340,2.872340,8312361
2023-06-06,2.872340,2.898936,2.803191,2.893617,2.893617,9403729
2023-06-07,2.914893,2.920212,2.845744,2.845744,2.845744,11237496
2023-06-08,2.845744,2.893617,2.819148,2.845744,2.845744,9544068
2023-06-09,2.851063,2.973404,2.835106,2.941489,2.941489,13767653
2023-06-12,2.968085,3.079787,2.952127,2.957446,2.957446,11956690
2023-06-13,2.962765,3.015957,2.851063,2.936170,2.936170,12395686
2023-06-14,2.946808,2.989361,2.909574,2.936170,2.936170,10361949
2023-06-15,2.946808,3.042553,2.925531,3.000000,3.000000,13727647
2023-06-16,3.000000,3.244680,2.978723,3.159574,3.159574,27773202
2023-06-19,3.164893,3.308510,3.111702,3.191489,3.191489,18689429
2023-06-20,3.191489,3.260638,3.148936,3.186170,3.186170,8478232
2023-06-21,3.186170,3.260638,3.090425,3.111702,3.111702,7843777
2023-06-22,3.111702,3.186170,2.994680,3.148936,3.148936,10095459
2023-06-23,3.170000,3.280000,3.130000,3.170000,3.170000,10417521
2023-06-26,3.200000,3.350000,3.160000,3.330000,3.330000,14545836
2023-06-27,3.330000,3.370000,3.290000,3.310000,3.310000,4152293
2023-07-03,3.310000,3.420000,3.310000,3.390000,3.390000,11822764
2023-07-04,3.390000,3.440000,3.320000,3.420000,3.420000,13834984
2023-07-05,3.430000,3.700000,3.390000,3.530000,3.530000,28321381
2023-07-06,3.510000,3.580000,3.470000,3.480000,3.480000,11789360
2023-07-07,3.480000,3.500000,3.380000,3.390000,3.390000,13588763
2023-07-10,3.400000,3.490000,3.380000,3.460000,3.460000,11876181
2023-07-11,3.480000,3.550000,3.380000,3.530000,3.530000,13642949
2023-07-12,3.520000,3.580000,3.440000,3.480000,3.480000,13103204
2023-07-13,3.490000,3.730000,3.480000,3.650000,3.650000,26978570
2023-07-14,3.660000,3.790000,3.600000,3.700000,3.700000,13902007
2023-07-17,3.770000,4.070000,3.690000,3.920000,3.920000,24139238
2023-07-18,3.900000,4.190000,3.870000,4.010000,4.010000,22864599
2023-07-19,4.010000,4.300000,3.990000,4.180000,4.180000,16388930
2023-07-20,4.220000,4.360000,4.080000,4.230000,4.230000,13342336
2023-07-21,4.230000,4.260000,4.040000,4.110000,4.110000,9034891
2023-07-24,4.110000,4.170000,3.960000,4.010000,4.010000,14164686
2023-07-25,4.010000,4.130000,3.890000,4.030000,4.030000,13287438
2023-07-26,4.040000,4.160000,3.960000,4.130000,4.130000,10133550
