Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,6.360000,6.490000,6.220000,6.370000,6.370000,3122712
2023-05-11,5.740000,6.110000,5.740000,5.900000,5.900000,27781022
2023-05-12,6.100000,6.100000,5.600000,5.610000,5.610000,7479849
2023-05-15,5.320000,5.940000,5.320000,5.630000,5.630000,5938357
2023-05-16,5.780000,6.190000,5.730000,6.040000,6.040000,16894575
2023-05-17,6.000000,6.640000,6.000000,6.630000,6.630000,11870607
2023-05-18,6.630000,6.950000,6.300000,6.420000,6.420000,11560909
2023-05-22,6.440000,6.590000,6.120000,6.200000,6.200000,5614224
2023-05-23,6.300000,6.330000,5.990000,6.070000,6.070000,4910447
2023-05-24,6.070000,6.170000,5.870000,5.990000,5.990000,3848578
2023-05-25,5.990000,6.030000,5.830000,5.950000,5.950000,2980090
2023-05-26,5.960000,6.150000,5.930000,6.120000,6.120000,4017823
2023-05-29,6.390000,6.390000,6.090000,6.260000,6.260000,7195150
2023-05-30,6.300000,6.440000,6.220000,6.400000,6.400000,10028740
2023-05-31,6.390000,6.580000,6.280000,6.370000,6.370000,9287307
2023-06-01,6.410000,6.550000,6.380000,6.420000,6.420000,6143277
2023-06-02,6.490000,6.570000,6.370000,6.470000,6.470000,7884241
2023-06-05,6.540000,6.780000,6.490000,6.730000,6.730000,10857155
2023-06-06,6.780000,7.300000,6.610000,7.190000,7.190000,19169204
2023-06-07,7.190000,7.390000,7.070000,7.230000,7.230000,14254585
2023-06-08,7.270000,7.460000,7.140000,7.390000,7.390000,10025055
2023-06-09,7.400000,7.600000,7.330000,7.390000,7.390000,6670044
2023-06-12,7.460000,7.490000,7.120000,7.150000,7.150000,9446570
2023-06-13,7.150000,7.170000,6.800000,6.820000,6.820000,6887688
2023-06-14,6.820000,6.940000,6.630000,6.650000,6.650000,4718121
2023-06-15,6.660000,6.880000,6.660000,6.820000,6.820000,4981034
2023-06-16,6.850000,7.260000,6.810000,7.160000,7.160000,12089658
2023-06-19,7.200000,7.870000,7.170000,7.720000,7.720000,19117431
2023-06-20,7.720000,7.800000,7.370000,7.530000,7.530000,10380051
2023-06-21,7.540000,7.590000,6.990000,7.010000,7.010000,9631500
2023-06-22,7.010000,7.350000,6.980000,7.330000,7.330000,8930553
2023-06-23,7.400000,7.670000,7.400000,7.600000,7.600000,6792036
2023-06-26,7.650000,8.190000,7.650000,8.100000,8.100000,9058518
2023-06-27,8.170000,8.450000,8.110000,8.390000,8.390000,4556964
2023-07-03,8.450000,8.970000,8.450000,8.660000,8.660000,9815329
2023-07-04,8.680000,8.700000,8.350000,8.360000,8.360000,6105206
2023-07-05,8.390000,9.020000,8.140000,8.810000,8.810000,15835617
2023-07-06,8.780000,9.010000,8.620000,8.810000,8.810000,13294667
2023-07-07,8.810000,8.940000,8.740000,8.760000,8.760000,4962588
2023-07-10,8.780000,8.990000,8.640000,8.700000,8.700000,9105261
2023-07-11,8.800000,9.240000,8.530000,9.140000,9.140000,13909212
2023-07-12,9.180000,9.470000,8.410000,8.570000,8.570000,15356362
2023-07-13,8.570000,8.740000,8.300000,8.420000,8.420000,8551960
2023-07-14,8.500000,8.680000,8.320000,8.500000,8.500000,6551168
2023-07-17,8.550000,8.820000,8.530000,8.630000,8.630000,6634356
2023-07-18,8.800000,9.220000,8.580000,8.580000,8.580000,16492424
2023-07-19,8.580000,8.880000,8.390000,8.790000,8.790000,8416685
2023-07-20,8.900000,9.160000,8.720000,8.990000,8.990000,12385993
2023-07-21,9.080000,9.410000,8.850000,9.100000,9.100000,14853010
2023-07-24,9.180000,9.850000,9.100000,9.500000,9.500000,18102151
2023-07-25,9.510000,9.600000,8.960000,9.030000,9.030000,10308258
2023-07-26,9.030000,9.410000,8.930000,9.210000,9.210000,9018738
2023-07-27,9.200000,9.770000,9.120000,9.700000,9.700000,12728489
2023-07-28,9.710000,10.150000,9.530000,9.650000,9.650000,16887107
2023-07-31,9.700000,9.800000,9.400000,9.480000,9.480000,14571600
2023-08-01,9.460000,9.670000,9.200000,9.350000,9.350000,9152494
2023-08-02,9.290000,9.930000,9.240000,9.290000,9.290000,18955471
2023-08-03,9.230000,9.250000,8.930000,9.060000,9.060000,12309692
2023-08-04,9.060000,9.320000,8.910000,9.240000,9.240000,9271193
2023-08-07,9.400000,9.670000,9.320000,9.450000,9.450000,8621069
2023-08-08,9.580000,9.650000,9.170000,9.270000,9.270000,6918822
2023-08-09,9.200000,10.170000,9.170000,10.130000,10.130000,23413587
2023-08-10,10.230000,10.790000,9.890000,10.010000,10.010000,20552448
2023-08-11,10.010000,11.010000,9.900000,11.010000,11.010000,19393570
2023-08-14,11.200000,11.400000,9.910000,9.920000,9.920000,29880846
