Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,6.030000,6.120000,5.850000,5.850000,5.509699,389297
2023-05-03,5.850000,5.930000,5.290000,5.500000,5.180059,548426
2023-05-04,5.510000,6.040000,5.500000,5.580000,5.255405,446565
2023-05-05,5.590000,5.590000,5.310000,5.470000,5.151804,272701
2023-05-08,5.450000,5.630000,5.450000,5.550000,5.227150,731365
2023-05-09,5.580000,5.580000,5.250000,5.280000,4.972857,877190
2023-05-10,5.280000,5.390000,5.260000,5.260000,4.954021,358243
2023-05-11,5.260000,5.620000,5.220000,5.470000,5.151804,599345
2023-05-12,5.600000,5.600000,5.320000,5.440000,5.123549,636693
2023-05-15,5.200000,5.560000,5.010000,5.540000,5.217732,479791
2023-05-16,5.580000,5.690000,5.490000,5.550000,5.227150,685450
2023-05-17,5.530000,5.950000,5.530000,5.910000,5.566209,1290386
2023-05-18,5.950000,6.220000,5.850000,6.200000,5.839339,1094407
2023-05-22,6.200000,6.400000,6.050000,6.100000,5.745156,972741
2023-05-23,6.140000,6.140000,6.000000,6.000000,5.650973,1274841
2023-05-24,6.030000,6.030000,5.720000,5.720000,5.387261,885924
2023-05-25,5.750000,5.930000,5.680000,5.800000,5.462608,445327
2023-05-26,5.870000,5.920000,5.800000,5.900000,5.556791,314434
2023-05-29,5.970000,6.100000,5.730000,6.050000,5.698065,846361
2023-05-30,6.080000,6.110000,6.000000,6.030000,5.679228,2258424
2023-05-31,6.030000,6.140000,5.990000,6.110000,5.754575,1444857
2023-06-01,6.120000,6.180000,6.090000,6.120000,5.763993,893885
2023-06-02,6.130000,6.200000,6.070000,6.130000,5.773411,822375
2023-06-05,6.170000,6.310000,6.110000,6.270000,5.905267,1459525
2023-06-06,6.270000,6.410000,6.150000,6.390000,6.018287,1606171
2023-06-07,6.400000,6.510000,6.300000,6.490000,6.112469,1416647
2023-06-08,6.510000,7.070000,6.480000,6.940000,6.536293,3118074
2023-06-09,6.990000,7.210000,6.840000,7.050000,6.639894,4946261
2023-06-12,7.050000,7.060000,6.810000,6.970000,6.564547,2859450
2023-06-13,6.960000,7.030000,6.550000,6.560000,6.178398,2125719
2023-06-14,6.550000,6.610000,6.380000,6.410000,6.037123,1821225
2023-06-15,6.440000,6.630000,6.430000,6.540000,6.159561,1426586
2023-06-16,6.540000,6.740000,6.480000,6.630000,6.244326,2134961
2023-06-19,6.630000,6.720000,6.490000,6.620000,6.234907,946971
2023-06-20,6.620000,6.670000,6.550000,6.580000,6.197234,601998
2023-06-21,6.660000,6.830000,6.590000,6.680000,6.291417,1232629
2023-06-22,6.680000,6.820000,6.610000,6.790000,6.395018,803046
2023-06-23,6.840000,6.940000,6.810000,6.870000,6.470365,987025
2023-06-26,6.910000,7.110000,6.860000,7.090000,6.677567,2054781
2023-06-27,7.090000,7.200000,7.080000,7.170000,6.752913,605555
2023-07-03,7.170000,7.540000,7.170000,7.530000,7.091972,2330030
2023-07-04,7.630000,7.670000,7.460000,7.470000,7.035462,1785152
2023-07-05,7.490000,7.580000,7.320000,7.540000,7.101390,1569382
2023-07-06,7.540000,7.620000,7.470000,7.490000,7.054298,1749915
2023-07-07,7.480000,7.540000,7.420000,7.540000,7.101390,1764902
2023-07-10,7.550000,7.890000,7.530000,7.830000,7.374520,2971899
2023-07-11,7.840000,7.890000,7.640000,7.710000,7.261501,1524864
2023-07-12,7.720000,8.480000,7.700000,8.480000,7.986709,4661965
2023-07-13,8.700000,8.970000,8.020000,8.160000,7.685324,6909582
2023-07-14,8.160000,8.390000,7.970000,8.300000,7.817180,3062195
2023-07-17,8.530000,8.530000,8.000000,8.080000,7.609978,4253841
2023-07-18,8.100000,8.370000,7.860000,8.240000,7.760670,3708586
2023-07-19,7.690000,7.790000,7.460000,7.630000,7.630000,2617667
2023-07-20,7.630000,7.700000,7.450000,7.630000,7.630000,2089021
2023-07-21,7.640000,7.960000,7.550000,7.940000,7.940000,3910649
2023-07-24,8.000000,8.180000,7.900000,7.900000,7.900000,2649515
2023-07-25,7.960000,7.990000,7.710000,7.900000,7.900000,2214235
2023-07-26,7.960000,8.370000,7.900000,8.180000,8.180000,4983685
2023-07-27,8.200000,8.620000,8.070000,8.520000,8.520000,3225287
2023-07-28,8.770000,9.170000,8.650000,9.050000,9.050000,4022512
2023-07-31,9.150000,9.400000,9.010000,9.210000,9.210000,2488898
2023-08-01,9.220000,9.260000,8.790000,8.890000,8.890000,2311719
2023-08-02,8.840000,8.900000,8.660000,8.670000,8.670000,1937809
2023-08-03,8.690000,8.870000,8.400000,8.480000,8.480000,2271851
2023-08-04,8.470000,8.700000,8.190000,8.640000,8.640000,1460537
2023-08-07,8.690000,8.860000,8.550000,8.760000,8.760000,2572527
2023-08-08,8.760000,8.780000,8.560000,8.590000,8.590000,1749755
