Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,3.500000,3.500000,3.290000,3.320000,3.320000,153228
2023-05-03,3.110000,3.270000,2.990000,3.080000,3.080000,600404
2023-05-04,2.920000,3.150000,2.920000,3.030000,3.030000,259367
2023-05-05,3.030000,3.030000,2.940000,3.010000,3.010000,127423
2023-05-08,3.010000,3.030000,2.800000,2.970000,2.970000,251953
2023-05-09,2.950000,2.960000,2.870000,2.920000,2.920000,175660
2023-05-10,3.210000,3.210000,3.050000,3.210000,3.210000,621909
2023-05-11,3.150000,3.190000,3.020000,3.180000,3.180000,495438
2023-05-12,3.180000,3.180000,3.080000,3.150000,3.150000,141451
2023-05-15,2.970000,3.190000,2.940000,3.090000,3.090000,174118
2023-05-16,3.050000,3.120000,2.960000,3.110000,3.110000,139754
2023-05-17,3.100000,3.150000,3.050000,3.130000,3.130000,88487
2023-05-18,3.140000,3.150000,3.050000,3.110000,3.110000,129756
2023-05-22,3.110000,3.110000,3.000000,3.100000,3.100000,179592
2023-05-23,3.070000,3.200000,3.060000,3.160000,3.160000,176343
2023-05-24,3.180000,3.210000,3.110000,3.140000,3.140000,149675
2023-05-25,3.140000,3.170000,3.100000,3.130000,3.130000,232178
2023-05-26,3.150000,3.170000,3.120000,3.170000,3.170000,138397
2023-05-29,3.200000,3.400000,3.180000,3.340000,3.340000,378501
2023-05-30,3.340000,3.410000,3.280000,3.390000,3.390000,195620
2023-05-31,3.350000,3.510000,3.310000,3.400000,3.400000,260455
2023-06-01,3.360000,3.500000,3.360000,3.490000,3.490000,218261
2023-06-02,3.490000,3.590000,3.450000,3.490000,3.490000,285629
2023-06-05,3.520000,3.580000,3.480000,3.550000,3.550000,281705
2023-06-06,3.540000,3.560000,3.450000,3.480000,3.480000,380318
2023-06-07,3.480000,3.530000,3.480000,3.520000,3.520000,289675
2023-06-08,3.520000,3.560000,3.480000,3.560000,3.560000,164409
2023-06-09,3.560000,3.790000,3.560000,3.780000,3.780000,528407
2023-06-12,3.850000,3.970000,3.800000,3.900000,3.900000,590674
2023-06-13,3.900000,3.970000,3.860000,3.940000,3.940000,427858
2023-06-14,3.940000,4.090000,3.910000,4.050000,4.050000,504389
2023-06-15,4.050000,4.150000,4.000000,4.060000,4.060000,508940
2023-06-16,4.080000,4.080000,3.860000,3.970000,3.970000,388216
2023-06-19,3.950000,3.980000,3.850000,3.880000,3.880000,231857
2023-06-20,3.850000,3.890000,3.700000,3.820000,3.820000,240045
2023-06-21,3.820000,4.050000,3.810000,4.050000,4.050000,448719
2023-06-22,4.040000,4.140000,3.960000,4.100000,4.100000,322985
2023-06-23,4.190000,4.200000,4.030000,4.150000,4.150000,438889
2023-06-26,4.150000,4.560000,4.150000,4.560000,4.560000,541212
2023-06-27,4.640000,5.010000,4.580000,4.960000,4.960000,473429
2023-07-03,4.950000,5.370000,4.740000,5.090000,5.090000,863308
2023-07-04,5.090000,5.200000,5.000000,5.000000,5.000000,518046
2023-07-05,5.000000,5.120000,4.890000,4.960000,4.960000,735026
2023-07-06,4.960000,5.000000,4.830000,4.900000,4.900000,670979
2023-07-07,4.900000,5.200000,4.660000,5.100000,5.100000,653251
2023-07-10,5.090000,5.390000,4.940000,5.300000,5.300000,619631
2023-07-11,5.290000,5.460000,5.180000,5.380000,5.380000,691147
2023-07-12,5.380000,5.430000,5.250000,5.400000,5.400000,449590
2023-07-13,5.460000,5.940000,5.420000,5.940000,5.940000,1405754
2023-07-14,6.530000,6.530000,6.040000,6.530000,6.530000,2223730
2023-07-17,6.450000,6.450000,5.880000,6.360000,6.360000,1776229
2023-07-18,6.300000,6.300000,5.730000,5.730000,5.730000,958657
2023-07-19,5.730000,6.020000,5.250000,5.850000,5.850000,538087
2023-07-20,5.850000,5.960000,5.710000,5.760000,5.760000,533986
2023-07-21,5.800000,5.830000,5.510000,5.680000,5.680000,463369
2023-07-24,5.730000,5.790000,5.630000,5.660000,5.660000,483492
2023-07-25,5.680000,5.680000,5.340000,5.440000,5.440000,491916
2023-07-26,5.400000,5.900000,5.330000,5.700000,5.700000,540649
2023-07-27,5.720000,6.000000,5.440000,5.790000,5.790000,380895
2023-07-28,5.790000,6.080000,5.760000,5.910000,5.910000,440486
2023-07-31,6.000000,6.140000,5.940000,6.130000,6.130000,676160
2023-08-01,6.100000,6.220000,6.000000,6.090000,6.090000,447476
2023-08-02,6.090000,6.110000,5.940000,6.040000,6.040000,408852
2023-08-03,6.070000,6.100000,5.910000,5.910000,5.910000,393205
