Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,5.360000,5.400000,5.120000,5.130000,5.130000,36522854
2023-05-11,5.140000,5.470000,5.020000,5.330000,5.330000,99901509
2023-05-12,5.320000,5.350000,5.030000,5.050000,5.050000,69445369
2023-05-15,4.880000,5.180000,4.750000,4.820000,4.820000,69030379
2023-05-16,4.850000,5.060000,4.840000,5.030000,5.030000,62071279
2023-05-17,5.060000,5.390000,5.050000,5.370000,5.370000,130115181
2023-05-18,5.390000,5.610000,5.150000,5.220000,5.220000,89287006
2023-05-22,5.250000,5.290000,5.100000,5.200000,5.200000,63183145
2023-05-23,5.220000,5.720000,5.190000,5.690000,5.690000,123321933
2023-05-24,5.730000,5.960000,5.650000,5.740000,5.740000,156236817
2023-05-25,5.760000,5.870000,5.630000,5.710000,5.710000,68717736
2023-05-26,5.740000,5.970000,5.690000,5.880000,5.880000,69394520
2023-05-29,6.100000,6.300000,6.020000,6.250000,6.250000,71898851
2023-05-30,6.300000,6.750000,6.220000,6.700000,6.700000,106058574
2023-05-31,6.700000,6.950000,6.560000,6.620000,6.620000,88243290
2023-06-01,6.730000,6.940000,6.710000,6.840000,6.840000,56525424
2023-06-02,7.010000,7.140000,6.850000,6.990000,6.990000,82946763
2023-06-05,7.140000,7.210000,7.020000,7.100000,7.100000,66660713
2023-06-06,7.100000,7.100000,6.850000,6.930000,6.930000,55990460
2023-06-07,6.970000,7.120000,6.950000,6.950000,6.950000,63932139
2023-06-08,6.940000,6.940000,6.680000,6.790000,6.790000,59720016
2023-06-09,6.830000,6.850000,6.660000,6.760000,6.760000,51415396
2023-06-12,6.780000,7.090000,6.780000,6.850000,6.850000,81030678
2023-06-13,6.870000,6.900000,6.510000,6.540000,6.540000,50361285
2023-06-14,6.540000,6.620000,6.320000,6.350000,6.350000,64712567
2023-06-15,6.400000,6.580000,6.360000,6.570000,6.570000,62791609
2023-06-16,6.660000,6.700000,6.430000,6.520000,6.520000,44024603
2023-06-19,7.150000,7.170000,6.670000,6.680000,6.680000,144827049
2023-06-20,6.600000,6.620000,6.370000,6.420000,6.420000,90341247
2023-06-21,6.450000,6.480000,6.270000,6.290000,6.290000,84455179
2023-06-22,6.310000,6.480000,6.240000,6.400000,6.400000,81215791
2023-06-23,6.510000,6.680000,6.440000,6.540000,6.540000,107929019
2023-06-26,6.580000,6.860000,6.580000,6.840000,6.840000,78967972
2023-06-27,6.830000,7.390000,6.760000,7.390000,7.390000,81515627
2023-07-03,7.710000,7.870000,7.520000,7.840000,7.840000,109931121
2023-07-04,7.870000,7.920000,7.620000,7.630000,7.630000,84203185
2023-07-05,7.630000,8.020000,7.620000,7.870000,7.870000,167962755
2023-07-06,8.040000,8.530000,8.040000,8.420000,8.420000,179448802
2023-07-07,8.500000,8.530000,8.250000,8.310000,8.310000,90095306
2023-07-10,8.530000,8.720000,8.350000,8.600000,8.600000,128868847
2023-07-11,8.770000,8.770000,8.330000,8.380000,8.380000,126772932
2023-07-12,8.380000,8.380000,7.960000,7.960000,7.960000,129769940
2023-07-13,7.860000,8.140000,7.730000,7.760000,7.760000,124104108
2023-07-14,7.860000,7.920000,7.670000,7.860000,7.860000,84917104
2023-07-17,8.030000,8.170000,7.960000,8.090000,8.090000,89194044
2023-07-18,8.190000,8.550000,7.990000,8.100000,8.100000,218956715
2023-07-19,8.070000,8.910000,7.990000,8.910000,8.910000,302853347
2023-07-20,9.130000,9.800000,9.070000,9.800000,9.800000,313606802
2023-07-21,10.020000,10.350000,9.870000,10.350000,10.350000,291020503
2023-07-24,10.270000,11.000000,10.120000,10.590000,10.590000,260334737
2023-07-25,10.470000,10.490000,9.830000,9.860000,9.860000,230508924
2023-07-26,9.820000,10.840000,9.730000,10.840000,10.840000,223859376
2023-07-27,11.120000,11.630000,11.080000,11.110000,11.110000,247760517
2023-07-28,11.120000,11.720000,11.070000,11.700000,11.700000,200633103
2023-07-31,11.830000,12.250000,11.830000,11.940000,11.940000,210833205
2023-08-01,11.940000,12.130000,11.540000,11.550000,11.550000,150677648
2023-08-02,11.570000,11.920000,11.000000,11.300000,11.300000,91774842
2023-08-03,11.420000,11.740000,11.120000,11.310000,11.310000,201823869
2023-08-04,11.350000,11.410000,11.100000,11.170000,11.170000,115634424
2023-08-07,11.300000,11.380000,10.740000,10.800000,10.800000,71067871
2023-08-08,10.880000,11.360000,10.670000,11.160000,11.160000,152274508
2023-08-09,11.190000,11.870000,11.100000,11.660000,11.660000,178142816
2023-08-10,11.740000,12.070000,11.170000,11.270000,11.270000,179889524
2023-08-11,11.270000,12.030000,11.080000,11.910000,11.910000,170593040
2023-08-14,12.140000,12.420000,11.800000,11.800000,11.800000,170889379
2023-08-15,11.820000,12.260000,11.510000,12.150000,12.150000,150173419
2023-08-16,12.170000,13.150000,11.960000,12.800000,12.800000,305963646
2023-08-17,12.800000,13.100000,12.640000,12.640000,12.640000,162474545
2023-08-18,12.730000,12.780000,12.030000,12.030000,12.030000,134526873
