Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,6.750000,6.750000,6.260000,6.280000,6.280000,3224734
2023-05-08,6.310000,6.440000,6.110000,6.170000,6.170000,1702593
2023-05-09,6.190000,6.290000,5.900000,5.950000,5.950000,2269895
2023-05-10,5.970000,6.010000,5.810000,5.810000,5.810000,1044410
2023-05-11,5.760000,6.240000,5.700000,6.020000,6.020000,2768851
2023-05-12,6.090000,6.160000,5.860000,5.970000,5.970000,1226596
2023-05-15,5.940000,6.240000,5.710000,6.000000,6.000000,1625807
2023-05-16,6.010000,6.110000,5.720000,6.090000,6.090000,1389689
2023-05-17,6.120000,6.400000,6.110000,6.260000,6.260000,2292835
2023-05-18,6.280000,6.370000,6.010000,6.050000,6.050000,1027345
2023-05-22,6.060000,6.130000,5.930000,6.000000,6.000000,768628
2023-05-23,5.990000,6.070000,5.900000,6.000000,6.000000,727703
2023-05-24,5.950000,6.220000,5.950000,5.990000,5.990000,1212319
2023-05-25,6.010000,6.120000,6.000000,6.070000,6.070000,886762
2023-05-26,6.100000,6.420000,6.050000,6.230000,6.230000,1898613
2023-05-29,6.390000,6.450000,6.290000,6.370000,6.370000,1483411
2023-05-30,6.430000,6.740000,6.400000,6.730000,6.730000,2386172
2023-05-31,6.740000,7.050000,6.540000,6.710000,6.710000,2322880
2023-06-01,6.740000,7.250000,6.740000,7.100000,7.100000,5112319
2023-06-02,7.090000,7.200000,6.960000,7.000000,7.000000,2390073
2023-06-05,7.060000,7.190000,6.980000,7.120000,7.120000,2082296
2023-06-06,7.150000,7.150000,6.880000,7.000000,7.000000,2200723
2023-06-07,7.000000,7.080000,6.870000,6.950000,6.950000,1501561
2023-06-08,6.960000,7.640000,6.910000,7.640000,7.640000,11842719
2023-06-09,7.850000,8.220000,7.500000,7.530000,7.530000,11013528
2023-06-12,7.530000,7.530000,7.240000,7.240000,7.240000,5540880
2023-06-13,7.280000,7.340000,6.870000,6.900000,6.900000,2585400
2023-06-14,6.950000,7.500000,6.900000,7.340000,7.340000,9448461
2023-06-15,7.390000,7.470000,7.100000,7.170000,7.170000,2001338
2023-06-16,7.200000,7.830000,7.130000,7.260000,7.260000,9846070
2023-06-19,7.260000,7.300000,6.840000,6.940000,6.940000,2825292
2023-06-20,6.970000,7.010000,6.720000,6.820000,6.820000,1694822
2023-06-21,6.830000,7.190000,6.800000,6.800000,6.800000,4163935
2023-06-22,6.800000,6.980000,6.750000,6.810000,6.810000,2425153
2023-06-23,6.860000,7.100000,6.850000,7.010000,7.010000,4471964
2023-06-26,7.000000,7.300000,6.980000,7.130000,7.130000,2050825
2023-06-27,7.200000,7.280000,7.110000,7.120000,7.120000,1426522
2023-07-03,7.130000,7.450000,7.130000,7.330000,7.330000,3936057
2023-07-04,7.340000,7.460000,7.200000,7.290000,7.290000,4210521
2023-07-05,7.290000,7.610000,7.220000,7.440000,7.440000,5231006
2023-07-06,7.490000,7.860000,7.450000,7.700000,7.700000,6443781
2023-07-07,7.690000,7.750000,7.510000,7.660000,7.660000,2791891
2023-07-10,7.700000,7.900000,7.700000,7.770000,7.770000,4423774
2023-07-11,7.870000,8.100000,7.610000,7.810000,7.810000,8450121
2023-07-12,7.820000,8.180000,7.650000,7.930000,7.930000,11425097
2023-07-13,7.930000,8.140000,7.630000,7.680000,7.680000,5718349
2023-07-14,7.830000,8.100000,7.530000,8.020000,8.020000,5374157
2023-07-17,8.100000,8.440000,8.000000,8.170000,8.170000,7402053
2023-07-18,8.170000,8.570000,8.020000,8.170000,8.170000,9485618
2023-07-19,8.150000,8.400000,7.920000,8.160000,8.160000,4558276
2023-07-20,8.190000,8.290000,8.000000,8.100000,8.100000,3879716
2023-07-21,8.180000,8.450000,8.000000,8.440000,8.440000,7996883
2023-07-24,8.500000,9.010000,8.400000,8.660000,8.660000,12169983
2023-07-25,8.700000,9.330000,8.340000,8.660000,8.660000,27559596
2023-07-26,8.680000,8.830000,8.510000,8.610000,8.610000,5796047
2023-07-27,8.640000,8.860000,8.610000,8.690000,8.690000,5315938
2023-07-28,8.700000,9.020000,8.620000,9.020000,9.020000,12554390
2023-07-31,9.050000,9.420000,8.920000,8.950000,8.950000,14036964
2023-08-01,8.980000,9.180000,8.620000,8.630000,8.630000,8324805
2023-08-02,8.610000,9.000000,8.570000,8.640000,8.640000,7709003
2023-08-03,8.660000,8.750000,8.430000,8.460000,8.460000,3588256
2023-08-04,8.460000,9.000000,8.260000,8.800000,8.800000,7157378
2023-08-07,8.800000,9.000000,8.760000,8.950000,8.950000,4832625
2023-08-08,8.990000,9.110000,8.790000,9.030000,9.030000,9324385
2023-08-09,9.060000,9.080000,8.740000,8.740000,8.740000,4192826
