Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,96.000000,96.000000,94.949997,94.949997,94.949997,8462
2023-05-11,93.000000,96.300003,92.949997,96.300003,96.300003,9436
2023-05-12,96.300003,96.300003,89.300003,95.699997,95.699997,7626
2023-05-15,94.949997,94.949997,93.000000,93.000000,93.000000,8154
2023-05-16,90.000000,90.500000,90.000000,90.500000,90.500000,14121
2023-05-17,92.000000,94.000000,92.000000,93.050003,93.050003,6997
2023-05-18,93.050003,94.949997,93.050003,93.500000,93.500000,3073
2023-05-22,93.500000,94.000000,93.500000,93.800003,93.800003,10761
2023-05-23,93.650002,93.800003,93.650002,93.800003,93.800003,11915
2023-05-24,95.900002,95.900002,95.849998,95.849998,95.849998,7732
2023-05-25,95.849998,96.449997,95.849998,96.449997,96.449997,3711
2023-05-26,96.449997,102.000000,96.449997,101.699997,101.699997,15641
2023-05-29,101.000000,103.000000,100.000000,103.000000,103.000000,5157
2023-05-30,107.500000,108.000000,107.500000,108.000000,108.000000,7589
2023-05-31,110.000000,118.199997,110.000000,118.199997,118.199997,10127
2023-06-01,130.000000,130.000000,130.000000,130.000000,130.000000,15909
2023-06-02,130.399994,133.000000,130.399994,133.000000,133.000000,16880
2023-06-05,139.000000,145.500000,139.000000,145.500000,145.500000,21364
2023-06-06,145.000000,145.000000,140.000000,140.000000,140.000000,16153
2023-06-07,141.000000,141.000000,140.000000,140.000000,140.000000,13497
2023-06-08,140.000000,140.000000,126.000000,126.000000,126.000000,22792
2023-06-09,125.000000,125.000000,124.800003,124.800003,124.800003,13257
2023-06-12,120.000000,126.000000,120.000000,126.000000,126.000000,8465
2023-06-13,133.000000,133.000000,127.000000,127.000000,127.000000,19575
2023-06-14,125.800003,127.099998,125.800003,127.099998,127.099998,4185
2023-06-15,127.500000,127.699997,127.000000,127.000000,127.000000,8836
2023-06-16,127.500000,128.000000,127.500000,127.900002,127.900002,2023
2023-06-19,128.000000,128.000000,125.199997,125.300003,125.300003,4505
2023-06-20,125.300003,125.300003,123.900002,123.900002,123.900002,4129
2023-06-21,120.000000,130.800003,120.000000,130.800003,130.800003,12791
2023-06-22,143.800003,143.800003,143.800003,143.800003,143.800003,24897
2023-06-23,158.100006,158.100006,158.100006,158.100006,158.100006,67096
2023-06-26,173.899994,173.899994,173.000000,173.000000,173.000000,86146
2023-06-27,173.000000,173.000000,173.000000,173.000000,173.000000,13221
2023-07-03,172.000000,172.000000,170.000000,170.000000,170.000000,21742
2023-07-04,170.000000,171.000000,170.000000,170.899994,170.899994,8625
2023-07-05,173.000000,180.699997,173.000000,180.699997,180.699997,9867
2023-07-06,198.000000,198.000000,197.000000,197.000000,197.000000,19618
2023-07-07,200.000000,200.000000,198.000000,198.000000,198.000000,10003
2023-07-10,195.000000,195.000000,194.500000,194.500000,194.500000,10830
2023-07-11,190.000000,190.000000,186.199997,186.199997,186.199997,9974
2023-07-12,185.000000,185.000000,184.000000,184.000000,184.000000,11770
2023-07-13,183.000000,202.399994,183.000000,202.399994,202.399994,15589
2023-07-14,222.600006,222.600006,222.600006,222.600006,222.600006,30086
2023-07-17,220.000000,220.000000,200.399994,205.300003,205.300003,17775
2023-07-18,215.000000,215.000000,213.699997,213.699997,213.699997,10316
2023-07-19,213.500000,213.500000,192.800003,199.000000,199.000000,28481
2023-07-20,199.000000,215.000000,199.000000,215.000000,215.000000,20489
2023-07-21,215.000000,215.000000,215.000000,215.000000,215.000000,8586
2023-07-24,215.000000,218.000000,215.000000,218.000000,218.000000,9556
2023-07-25,218.000000,218.000000,218.000000,218.000000,218.000000,7523
2023-07-26,218.000000,218.500000,218.000000,218.500000,218.500000,6257
2023-07-27,240.300003,240.300003,240.000000,240.000000,240.000000,19269
2023-07-28,239.500000,239.500000,238.899994,238.899994,238.899994,8365
