Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,162.199997,176.300003,162.199997,176.300003,176.300003,426811
2023-05-10,181.300003,193.899994,180.500000,188.399994,188.399994,916747
2023-05-11,189.300003,205.899994,171.100006,174.199997,174.199997,776866
2023-05-12,175.899994,179.199997,160.500000,163.899994,163.899994,393438
2023-05-15,162.000000,168.100006,154.899994,158.500000,158.500000,215605
2023-05-16,158.000000,165.300003,157.399994,162.000000,162.000000,169908
2023-05-17,162.000000,166.600006,160.399994,163.000000,163.000000,145122
2023-05-18,163.100006,172.000000,162.000000,162.600006,162.600006,293819
2023-05-22,163.000000,172.899994,162.699997,164.800003,164.800003,408796
2023-05-23,164.699997,172.600006,163.899994,165.199997,165.199997,302863
2023-05-24,165.500000,169.500000,155.500000,155.500000,155.500000,250910
2023-05-25,155.500000,171.000000,150.899994,171.000000,171.000000,443036
2023-05-26,172.000000,186.800003,165.100006,181.500000,181.500000,566636
2023-05-29,181.899994,193.500000,181.500000,192.000000,192.000000,294953
2023-05-30,192.300003,200.000000,192.000000,195.000000,195.000000,349290
2023-05-31,195.100006,196.300003,186.500000,190.100006,190.100006,501261
2023-06-01,190.500000,208.000000,188.000000,193.000000,193.000000,1018929
2023-06-02,192.000000,200.000000,177.500000,182.000000,182.000000,1068955
2023-06-05,178.100006,186.699997,170.300003,174.399994,174.399994,1555336
2023-06-06,172.500000,178.000000,167.000000,175.000000,175.000000,879293
2023-06-07,175.000000,179.800003,166.899994,170.600006,170.600006,1061260
2023-06-08,169.000000,171.100006,166.300003,170.399994,170.399994,416329
2023-06-09,170.399994,170.399994,162.000000,162.000000,162.000000,863228
2023-06-12,162.500000,168.000000,154.699997,155.000000,155.000000,1147657
2023-06-13,155.100006,161.000000,148.899994,148.899994,148.899994,1210313
2023-06-14,149.600006,163.699997,147.399994,152.000000,152.000000,1679717
2023-06-15,152.100006,154.199997,147.800003,148.800003,148.800003,770291
2023-06-16,149.100006,156.000000,147.500000,149.000000,149.000000,1374072
2023-06-19,151.899994,154.000000,144.899994,144.899994,144.899994,805522
2023-06-20,144.899994,146.500000,137.500000,139.300003,139.300003,459256
2023-06-21,139.399994,142.699997,135.000000,139.000000,139.000000,949077
2023-06-22,139.000000,142.500000,127.800003,128.000000,128.000000,925971
2023-06-23,128.100006,129.500000,124.000000,128.399994,128.399994,636773
2023-06-26,129.899994,136.699997,128.199997,134.399994,134.399994,860600
2023-06-27,135.000000,135.000000,132.199997,133.199997,133.199997,184309
2023-07-03,134.000000,135.399994,127.300003,129.699997,129.699997,1830995
2023-07-04,129.699997,142.600006,128.300003,142.600006,142.600006,1682857
2023-07-05,150.000000,153.100006,137.600006,139.000000,139.000000,2302546
2023-07-06,139.000000,141.600006,136.000000,136.699997,136.699997,1056169
2023-07-07,136.800003,143.199997,136.000000,140.699997,140.699997,1205728
2023-07-10,141.100006,152.699997,141.100006,144.699997,144.699997,1919579
2023-07-11,145.000000,146.800003,140.199997,141.800003,141.800003,991553
2023-07-12,141.899994,145.699997,138.399994,141.000000,141.000000,936803
2023-07-13,142.100006,145.500000,140.600006,141.300003,141.300003,1030863
2023-07-14,141.300003,147.000000,138.899994,145.000000,145.000000,1166111
2023-07-17,146.500000,159.500000,146.500000,159.500000,159.500000,2020282
2023-07-18,163.899994,166.000000,145.000000,146.199997,146.199997,2557198
2023-07-19,146.300003,153.800003,141.100006,149.000000,149.000000,1401770
2023-07-20,150.399994,155.399994,149.399994,153.699997,153.699997,1182808
2023-07-21,154.399994,157.699997,149.500000,153.100006,153.100006,1437455
2023-07-24,154.000000,167.800003,153.199997,165.000000,165.000000,2214695
2023-07-25,165.300003,166.600006,152.199997,153.000000,153.000000,1168666
2023-07-26,153.500000,156.899994,150.600006,153.300003,153.300003,811356
2023-07-27,154.800003,157.800003,153.000000,153.600006,153.600006,746588
2023-07-28,154.600006,166.600006,152.699997,166.199997,166.199997,2338845
2023-07-31,175.500000,182.800003,175.500000,182.800003,182.800003,2010084
2023-08-01,190.300003,199.899994,184.199997,189.800003,189.800003,2809797
2023-08-02,190.000000,198.600006,181.000000,190.600006,190.600006,2241084
2023-08-03,190.800003,196.300003,185.199997,186.899994,186.899994,1281400
2023-08-04,186.899994,189.699997,181.000000,183.399994,183.399994,955846
2023-08-07,183.399994,185.000000,175.100006,175.500000,175.500000,959523
2023-08-08,175.500000,189.899994,170.199997,183.000000,183.000000,1547060
2023-08-09,183.199997,186.399994,177.500000,178.300003,178.300003,978769
2023-08-10,178.500000,180.100006,165.899994,169.000000,169.000000,942737
2023-08-11,169.600006,176.500000,165.500000,173.600006,173.600006,779241
2023-08-14,173.899994,181.100006,172.800003,174.000000,174.000000,938434
2023-08-15,174.000000,181.699997,169.800003,177.899994,177.899994,1049325
2023-08-16,180.000000,181.699997,173.600006,174.300003,174.300003,598517
