Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,7.020000,7.080000,6.630000,6.630000,6.630000,2972718
2023-05-03,6.630000,6.990000,6.330000,6.990000,6.990000,3293818
2023-05-04,7.050000,7.060000,6.860000,6.860000,6.860000,1548220
2023-05-05,6.850000,6.940000,6.680000,6.730000,6.730000,1071257
2023-05-08,6.740000,6.760000,6.550000,6.630000,6.630000,1213479
2023-05-09,6.630000,6.680000,6.510000,6.630000,6.630000,688635
2023-05-10,6.630000,6.840000,6.430000,6.520000,6.520000,1402173
2023-05-11,6.520000,6.720000,6.380000,6.510000,6.510000,2945309
2023-05-12,6.530000,6.690000,6.440000,6.580000,6.580000,1573957
2023-05-15,6.500000,6.750000,6.430000,6.510000,6.510000,1504601
2023-05-16,6.570000,6.880000,6.550000,6.870000,6.870000,1976527
2023-05-17,6.870000,7.260000,6.750000,7.230000,7.230000,2844278
2023-05-18,7.270000,7.280000,7.050000,7.220000,7.220000,2430527
2023-05-22,7.200000,7.250000,6.850000,6.850000,6.850000,2711037
2023-05-23,6.820000,6.960000,6.800000,6.860000,6.860000,1176670
2023-05-24,6.880000,6.980000,6.720000,6.730000,6.730000,1292588
2023-05-25,6.790000,7.020000,6.720000,6.850000,6.850000,1133494
2023-05-26,6.900000,7.110000,6.890000,7.030000,7.030000,2654059
2023-05-29,7.100000,7.240000,6.990000,7.030000,7.030000,2746484
2023-05-30,7.040000,7.590000,6.700000,7.010000,7.010000,2736581
2023-05-31,7.160000,7.160000,6.920000,6.970000,6.970000,1905520
2023-06-01,7.050000,7.050000,6.790000,6.810000,6.810000,2640627
2023-06-02,6.850000,7.000000,6.700000,6.700000,6.700000,1781831
2023-06-05,6.700000,6.880000,6.600000,6.760000,6.760000,2685569
2023-06-06,6.890000,6.940000,6.650000,6.650000,6.650000,1906053
2023-06-07,6.660000,7.000000,6.460000,6.490000,6.490000,5827539
2023-06-08,6.510000,6.650000,6.250000,6.330000,6.330000,2017847
2023-06-09,6.360000,6.430000,6.050000,6.190000,6.190000,3676131
2023-06-12,6.190000,6.450000,6.140000,6.370000,6.370000,3022534
2023-06-13,6.370000,6.400000,6.150000,6.150000,6.150000,1190459
2023-06-14,6.190000,6.660000,6.190000,6.500000,6.500000,2482935
2023-06-15,6.520000,6.720000,6.380000,6.460000,6.460000,1611386
2023-06-16,6.470000,6.550000,6.340000,6.450000,6.450000,964489
2023-06-19,6.440000,6.440000,6.200000,6.200000,6.200000,1546943
2023-06-20,6.210000,6.310000,6.030000,6.040000,6.040000,1475732
2023-06-21,6.060000,6.110000,5.950000,5.950000,5.950000,844482
2023-06-22,6.000000,6.370000,5.980000,6.250000,6.250000,2037232
2023-06-23,6.250000,6.600000,6.250000,6.590000,6.590000,1843771
2023-06-26,6.700000,6.820000,6.650000,6.660000,6.660000,1955687
2023-06-27,6.660000,6.860000,6.660000,6.750000,6.750000,842671
2023-07-03,6.750000,6.830000,6.650000,6.650000,6.650000,2840433
2023-07-04,6.660000,6.720000,6.540000,6.570000,6.570000,1766098
2023-07-05,6.570000,6.640000,6.450000,6.470000,6.470000,1920551
2023-07-06,6.510000,7.040000,6.500000,7.010000,7.010000,6314131
2023-07-07,7.010000,7.710000,6.990000,7.710000,7.710000,6664779
2023-07-10,7.900000,8.330000,7.560000,7.590000,7.590000,11413420
2023-07-11,7.600000,8.010000,6.840000,6.840000,6.840000,16956052
2023-07-12,6.710000,7.330000,6.540000,7.330000,7.330000,7908698
2023-07-13,7.330000,7.430000,7.020000,7.210000,7.210000,5466237
2023-07-14,7.210000,7.260000,6.890000,7.060000,7.060000,4187872
2023-07-17,7.060000,7.250000,6.900000,7.200000,7.200000,5180107
2023-07-18,7.200000,7.480000,7.100000,7.240000,7.240000,5591221
2023-07-19,7.240000,7.420000,7.100000,7.250000,7.250000,3155271
2023-07-20,7.260000,7.280000,7.150000,7.210000,7.210000,2465454
2023-07-21,7.210000,7.210000,7.010000,7.100000,7.100000,3307058
2023-07-24,7.100000,7.200000,7.060000,7.100000,7.100000,4783208
2023-07-25,7.100000,7.190000,7.030000,7.110000,7.110000,8613092
2023-07-26,7.110000,7.220000,7.060000,7.110000,7.110000,7291228
2023-07-27,7.120000,7.250000,7.100000,7.110000,7.110000,6211762
2023-07-28,7.130000,7.250000,7.110000,7.190000,7.190000,8512732
2023-07-31,7.190000,7.260000,7.160000,7.170000,7.170000,7392894
2023-08-01,7.190000,7.200000,7.130000,7.200000,7.200000,3502216
2023-08-02,7.210000,7.370000,7.130000,7.270000,7.270000,12767619
2023-08-03,7.270000,7.450000,7.240000,7.350000,7.350000,8874171
2023-08-04,7.380000,7.750000,7.260000,7.350000,7.350000,12414952
2023-08-07,7.350000,7.480000,7.300000,7.400000,7.400000,8407441
2023-08-08,7.420000,7.620000,7.350000,7.590000,7.590000,10583216
