Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,13.860000,14.000000,13.290000,13.290000,13.290000,3037830
2023-05-10,13.900000,14.100000,13.210000,13.210000,13.210000,5946316
2023-05-11,13.290000,13.990000,13.270000,13.650000,13.650000,5501285
2023-05-12,13.700000,13.720000,12.830000,12.950000,12.950000,7158340
2023-05-15,12.410000,13.150000,11.690000,12.650000,12.650000,3606528
2023-05-16,12.600000,13.090000,12.590000,13.020000,13.020000,2848999
2023-05-17,13.050000,14.320000,13.000000,14.100000,14.100000,9098133
2023-05-18,14.100000,14.300000,13.590000,13.700000,13.700000,3632641
2023-05-22,13.700000,13.820000,13.100000,13.240000,13.240000,3117807
2023-05-23,13.290000,14.490000,13.210000,14.180000,14.180000,10541933
2023-05-24,14.180000,15.590000,13.810000,14.920000,14.920000,23185770
2023-05-25,14.500000,15.960000,14.500000,15.290000,15.290000,13283407
2023-05-26,15.400000,15.670000,15.110000,15.300000,15.300000,5681885
2023-05-29,15.680000,16.450001,15.420000,16.299999,16.299999,7452226
2023-05-30,16.469999,16.549999,16.080000,16.350000,16.350000,5893574
2023-05-31,16.350000,16.590000,15.650000,15.650000,15.650000,6511827
2023-06-01,15.720000,16.389999,15.720000,16.200001,16.200001,5231912
2023-06-02,16.410000,17.820000,16.209999,17.480000,17.480000,15076112
2023-06-05,17.620001,17.820000,17.309999,17.360001,17.360001,9822743
2023-06-06,17.530001,19.090000,17.309999,19.090000,19.090000,18323329
2023-06-07,19.480000,20.980000,19.469999,20.980000,20.980000,16542744
2023-06-08,21.280001,23.059999,21.200001,23.059999,23.059999,11132670
2023-06-09,24.480000,25.360001,23.299999,25.360001,25.360001,38446968
2023-06-12,26.700001,27.879999,26.639999,27.879999,27.879999,16037008
2023-06-13,29.180000,30.340000,25.100000,25.100000,25.100000,50665874
2023-06-14,23.900000,26.180000,22.600000,22.600000,22.600000,38346288
2023-06-15,22.600000,24.240000,20.740000,23.680000,23.680000,40826013
2023-06-16,24.000000,26.040001,23.860001,26.040001,26.040001,31343178
2023-06-19,25.360001,28.459999,24.100000,27.040001,27.040001,79145687
2023-06-20,27.059999,28.500000,25.219999,25.500000,25.500000,26426906
2023-06-21,25.760000,26.240000,24.480000,24.480000,24.480000,17047036
2023-06-22,24.480000,25.559999,23.299999,24.700001,24.700001,19485501
2023-06-23,24.920000,26.100000,24.340000,25.000000,25.000000,13914026
2023-06-26,25.100000,26.440001,24.620001,26.200001,26.200001,14083765
2023-06-27,26.219999,26.280001,25.260000,25.459999,25.459999,6385139
2023-07-03,25.500000,26.940001,24.920000,26.219999,26.219999,19597299
2023-07-04,26.240000,26.360001,25.639999,25.680000,25.680000,8735551
2023-07-05,26.200001,28.240000,26.040001,28.240000,28.240000,26121331
2023-07-06,28.340000,31.059999,28.340000,30.000000,30.000000,37317428
2023-07-07,30.299999,32.480000,30.299999,32.060001,32.060001,24076823
2023-07-10,32.500000,34.200001,31.559999,31.780001,31.780001,17441793
2023-07-11,31.780001,31.820000,30.160000,30.360001,30.360001,20626638
2023-07-12,30.360001,30.500000,28.860001,29.120001,29.120001,12573928
2023-07-13,29.120001,30.680000,28.660000,29.700001,29.700001,14311525
2023-07-14,30.059999,30.379999,28.799999,28.940001,28.940001,7468756
2023-07-17,29.160000,31.080000,28.620001,29.400000,29.400000,21394113
2023-07-18,29.379999,29.480000,27.980000,28.299999,28.299999,8347809
2023-07-19,28.000000,29.000000,27.000000,28.240000,28.240000,10343592
2023-07-20,28.260000,31.059999,28.000000,29.719999,29.719999,19572651
2023-07-21,29.740000,30.379999,28.959999,29.160000,29.160000,9977200
2023-07-24,29.500000,30.500000,29.059999,29.540001,29.540001,14459802
2023-07-25,29.580000,29.799999,28.020000,28.219999,28.219999,7846637
2023-07-26,28.299999,30.299999,27.680000,30.200001,30.200001,11740682
2023-07-27,30.219999,30.760000,27.180000,27.180000,27.180000,35944186
2023-07-28,24.799999,26.500000,24.480000,24.600000,24.600000,95829564
2023-07-31,24.600000,25.040001,23.780001,24.139999,24.139999,30848737
2023-08-01,24.200001,24.940001,23.820000,24.219999,24.219999,22461985
2023-08-02,24.219999,24.500000,23.920000,23.959999,23.959999,14112519
2023-08-03,24.000000,24.219999,23.240000,23.320000,23.320000,13552949
2023-08-04,23.420000,24.799999,22.920000,24.100000,24.100000,22744450
2023-08-07,24.200001,24.500000,23.680000,23.719999,23.719999,11434854
2023-08-08,23.860001,24.180000,23.260000,23.440001,23.440001,9827801
2023-08-09,23.480000,23.540001,22.820000,22.860001,22.860001,9207679
2023-08-10,22.860001,23.200001,21.559999,21.740000,21.740000,10355421
2023-08-11,21.740000,23.900000,21.420000,23.900000,23.900000,17308141
2023-08-14,24.120001,24.920000,23.459999,23.580000,23.580000,16103931
