Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,38.200001,38.200001,34.980000,36.020000,35.645775,861574
2023-05-03,37.200001,37.480000,34.900002,36.080002,35.705154,1201790
2023-05-04,36.080002,37.220001,35.639999,36.380001,36.002033,681167
2023-05-05,36.360001,36.380001,34.040001,34.040001,33.686348,668908
2023-05-08,34.099998,34.900002,32.900002,34.419998,34.062397,563626
2023-05-09,34.459999,34.900002,33.200001,33.759998,33.409252,379305
2023-05-10,33.900002,34.099998,32.220001,33.020000,32.676945,383560
2023-05-11,33.020000,34.740002,32.500000,33.119999,32.775902,705701
2023-05-12,34.500000,34.880001,33.380001,33.599998,33.250916,501020
2023-05-15,32.240002,34.680000,32.000000,33.020000,32.676945,478399
2023-05-16,33.000000,33.639999,32.259998,32.939999,32.597771,579311
2023-05-17,33.220001,34.980000,32.980000,34.980000,34.616577,862799
2023-05-18,35.000000,36.180000,33.980000,35.160000,34.794708,795831
2023-05-22,35.320000,35.680000,33.680000,34.500000,34.141567,497978
2023-05-23,34.720001,35.599998,34.000000,34.380001,34.022816,380184
2023-05-24,34.419998,34.720001,33.040001,33.180000,32.835281,298554
2023-05-25,33.439999,33.660000,32.939999,33.200001,32.855072,357916
2023-05-26,33.560001,34.240002,33.099998,33.700001,33.349880,377827
2023-05-29,34.040001,36.959999,34.040001,36.959999,36.576008,745795
2023-05-30,37.500000,38.680000,37.240002,38.200001,37.803127,835851
2023-05-31,38.160000,39.799999,37.400002,38.200001,37.803127,860403
2023-06-01,38.220001,39.500000,38.220001,39.400002,38.990658,579050
2023-06-02,39.580002,41.500000,38.000000,40.000000,39.584423,818526
2023-06-05,40.299999,40.980000,39.599998,39.880001,39.465672,805616
2023-06-06,39.900002,40.200001,38.500000,40.200001,39.782349,531127
2023-06-07,40.299999,40.939999,39.779999,39.919998,39.505253,543681
2023-06-08,39.880001,40.180000,38.520000,39.400002,38.990658,497481
2023-06-09,39.520000,43.340000,39.320000,41.759998,41.326138,2825997
2023-06-12,41.779999,43.380001,41.000000,41.360001,40.930294,1507860
2023-06-13,41.500000,42.000000,40.240002,41.320000,40.890709,816413
2023-06-14,41.320000,41.560001,40.000000,40.540001,40.118816,407664
2023-06-15,40.540001,41.540001,40.400002,40.779999,40.356319,605219
2023-06-16,40.779999,42.000000,40.279999,40.279999,39.861515,532630
2023-06-19,40.099998,40.240002,38.099998,38.240002,37.842712,397497
2023-06-20,38.180000,39.220001,37.400002,37.740002,37.347908,562691
2023-06-21,37.939999,40.380001,37.919998,39.599998,39.188580,939336
2023-06-22,39.599998,40.400002,38.580002,40.400002,39.980270,443589
2023-06-23,40.599998,44.439999,40.599998,44.439999,43.978294,2487792
2023-06-26,45.320000,48.340000,45.320000,45.759998,45.284580,1552858
2023-06-27,45.619999,47.259998,44.000000,46.380001,45.898140,353746
2023-07-03,46.540001,50.500000,46.540001,47.400002,46.907543,1234847
2023-07-04,47.439999,49.259998,46.000000,47.700001,47.204426,843517
2023-07-05,47.720001,49.279999,47.279999,48.040001,47.540894,759887
2023-07-06,48.200001,49.439999,47.700001,48.040001,47.540894,741179
2023-07-07,48.040001,49.380001,47.619999,49.380001,48.866974,594139
2023-07-10,50.099998,50.500000,48.000000,48.099998,47.600269,1445963
2023-07-11,48.160000,48.299999,45.099998,47.160000,46.670036,2200855
2023-07-12,47.160000,47.980000,45.380001,45.700001,45.225204,916528
2023-07-13,45.700001,46.480000,44.200001,44.380001,43.918919,1078137
2023-07-14,44.360001,46.299999,44.240002,45.959999,45.482502,1106442
2023-07-17,46.279999,46.759998,45.779999,46.720001,46.234608,1368396
2023-07-18,46.720001,46.959999,44.400002,44.419998,43.958500,938715
2023-07-19,44.700001,46.860001,44.020000,46.139999,45.660633,963926
2023-07-20,46.160000,49.939999,45.500000,49.299999,48.787804,1593171
2023-07-21,48.900002,51.099998,47.619999,49.000000,48.490921,1709524
2023-07-24,51.400002,53.900002,49.500000,53.900002,53.340015,3183052
2023-07-25,55.599998,58.000000,50.849998,54.650002,54.082222,5044172
2023-07-26,54.549999,56.799999,52.349998,53.450001,52.894688,1625199
2023-07-27,54.299999,57.000000,52.700001,55.500000,54.923389,1915439
2023-07-28,55.500000,56.000000,53.200001,54.000000,53.438972,1580635
