Date,Open,High,Low,Close,Adj Close,Volume
2023-04-27,41.619999,41.619999,41.299999,41.299999,41.299999,2090
2023-04-28,41.000000,41.000000,40.980000,41.000000,41.000000,7460
2023-05-02,41.000000,41.000000,38.560001,38.799999,38.799999,2657
2023-05-03,38.799999,38.799999,36.000000,38.000000,38.000000,4300
2023-05-04,38.000000,40.000000,38.000000,38.900002,38.900002,1950
2023-05-05,39.480000,39.480000,38.400002,38.400002,38.400002,3104
2023-05-08,38.400002,38.860001,38.360001,38.860001,38.860001,8995
2023-05-09,38.880001,39.299999,38.880001,39.240002,39.240002,6298
2023-05-10,39.259998,39.259998,35.320000,36.360001,36.360001,8326
2023-05-11,37.580002,39.919998,37.500000,39.759998,39.759998,8464
2023-05-12,41.000000,41.000000,39.279999,39.279999,39.279999,7993
2023-05-15,39.279999,39.279999,37.840000,37.840000,37.840000,5351
2023-05-16,37.860001,40.000000,37.860001,39.000000,39.000000,1701
2023-05-17,39.000000,39.639999,39.000000,39.340000,39.340000,3349
2023-05-18,39.320000,39.320000,39.320000,39.320000,39.320000,7642
2023-05-22,39.619999,39.660000,39.400002,39.400002,39.400002,2840
2023-05-23,40.599998,40.599998,40.360001,40.360001,40.360001,3665
2023-05-24,40.200001,40.200001,38.119999,38.299999,38.299999,6081
2023-05-25,39.000000,39.000000,38.980000,38.980000,38.980000,6640
2023-05-26,38.919998,39.599998,38.380001,39.599998,39.599998,7867
2023-05-29,39.959999,40.400002,39.959999,40.400002,40.400002,7587
2023-05-30,40.419998,43.619999,40.419998,42.320000,42.320000,12788
2023-05-31,41.459999,41.700001,41.000000,41.000000,41.000000,9437
2023-06-01,41.400002,41.900002,40.400002,41.360001,41.360001,4346
2023-06-02,41.880001,41.919998,41.880001,41.919998,41.919998,12163
2023-06-05,42.439999,42.480000,42.439999,42.480000,42.480000,10189
2023-06-06,42.459999,42.459999,41.119999,41.500000,41.500000,10861
2023-06-07,41.500000,42.419998,41.500000,41.500000,41.500000,19606
2023-06-08,41.500000,41.500000,40.720001,40.980000,40.980000,7206
2023-06-09,40.500000,41.000000,40.500000,41.000000,41.000000,13977
2023-06-12,43.299999,43.299999,41.060001,42.000000,42.000000,10317
2023-06-13,42.000000,42.000000,41.400002,41.400002,41.400002,7026
2023-06-14,41.400002,41.400002,40.299999,41.000000,41.000000,6701
2023-06-15,41.000000,42.099998,40.900002,42.099998,42.099998,14769
2023-06-16,43.000000,45.000000,43.000000,45.000000,45.000000,48951
2023-06-19,45.000000,45.000000,44.200001,44.200001,44.200001,24273
2023-06-20,42.299999,42.380001,42.299999,42.380001,42.380001,11749
2023-06-21,42.380001,42.380001,40.660000,40.660000,40.660000,9208
2023-06-22,40.639999,41.840000,40.580002,41.840000,41.840000,15326
2023-06-23,41.840000,41.840000,41.840000,41.840000,41.840000,13738
2023-06-26,41.980000,43.099998,41.980000,43.099998,43.099998,6808
2023-06-27,43.099998,43.099998,42.959999,42.959999,42.959999,4183
2023-07-03,43.400002,43.400002,43.299999,43.299999,43.299999,18314
2023-07-04,43.299999,43.299999,43.299999,43.299999,43.299999,7859
2023-07-05,43.279999,44.099998,43.279999,44.099998,44.099998,20134
2023-07-06,44.599998,48.500000,44.599998,48.500000,48.500000,37044
2023-07-07,48.540001,52.900002,48.540001,52.900002,52.900002,35907
2023-07-10,57.000000,57.000000,55.000000,55.000000,55.000000,27129
2023-07-11,55.000000,55.000000,55.000000,55.000000,55.000000,28348
2023-07-12,54.750000,54.750000,52.000000,52.000000,52.000000,13702
2023-07-13,52.000000,52.000000,50.549999,50.549999,50.549999,13117
2023-07-14,50.950001,51.000000,50.950001,51.000000,51.000000,9037
2023-07-17,51.000000,53.450001,51.000000,53.450001,53.450001,15477
2023-07-18,53.450001,53.450001,50.450001,50.450001,50.450001,13063
2023-07-19,50.450001,50.549999,50.400002,50.549999,50.549999,8100
2023-07-20,50.849998,51.650002,50.849998,51.650002,51.650002,8439
2023-07-21,51.799999,51.799999,51.700001,51.700001,51.700001,3684
2023-07-24,49.480000,50.000000,49.480000,49.980000,49.980000,17631
2023-07-25,50.299999,50.299999,50.000000,50.000000,50.000000,14589
2023-07-26,51.599998,51.599998,51.400002,51.549999,51.549999,10549
