Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,2.310000,2.320000,2.200000,2.210000,2.210000,34033534
2023-05-02,2.210000,2.230000,2.120000,2.120000,2.120000,63608537
2023-05-03,2.130000,2.150000,1.980000,2.070000,2.070000,64336097
2023-05-04,2.060000,2.170000,2.050000,2.100000,2.100000,38606530
2023-05-05,2.110000,2.170000,2.090000,2.100000,2.100000,38291734
2023-05-08,2.120000,2.260000,2.070000,2.240000,2.240000,162914708
2023-05-09,2.240000,2.350000,2.200000,2.260000,2.260000,137192038
2023-05-10,2.280000,2.310000,2.230000,2.240000,2.240000,69988153
2023-05-11,2.240000,2.450000,2.230000,2.440000,2.440000,220542083
2023-05-12,2.450000,2.540000,2.350000,2.350000,2.350000,179769052
2023-05-15,2.150000,2.270000,2.150000,2.180000,2.180000,66643479
2023-05-16,2.190000,2.230000,2.150000,2.220000,2.220000,86188861
2023-05-17,2.230000,2.280000,2.230000,2.270000,2.270000,70856512
2023-05-18,2.270000,2.280000,2.190000,2.210000,2.210000,55756649
2023-05-22,2.230000,2.240000,2.140000,2.170000,2.170000,48459053
2023-05-23,2.170000,2.200000,2.140000,2.150000,2.150000,42836535
2023-05-24,2.160000,2.180000,2.130000,2.130000,2.130000,38948357
2023-05-25,2.140000,2.190000,2.130000,2.170000,2.170000,44513375
2023-05-26,2.170000,2.240000,2.160000,2.200000,2.200000,75421992
2023-05-29,2.220000,2.300000,2.180000,2.260000,2.260000,128070902
2023-05-30,2.310000,2.470000,2.310000,2.430000,2.430000,234175619
2023-05-31,2.430000,2.450000,2.360000,2.380000,2.380000,123628727
2023-06-01,2.400000,2.460000,2.380000,2.410000,2.410000,86534734
2023-06-02,2.520000,2.570000,2.470000,2.480000,2.480000,280747579
2023-06-05,2.540000,2.570000,2.470000,2.530000,2.530000,136492648
2023-06-06,2.530000,2.530000,2.460000,2.470000,2.470000,124545732
2023-06-07,2.500000,2.560000,2.480000,2.510000,2.510000,263647502
2023-06-08,2.500000,2.610000,2.500000,2.570000,2.570000,202960452
2023-06-09,2.600000,2.650000,2.600000,2.630000,2.630000,119029541
2023-06-12,2.650000,2.710000,2.570000,2.580000,2.580000,135910518
2023-06-13,2.580000,2.610000,2.490000,2.500000,2.500000,175696829
2023-06-14,2.510000,2.610000,2.490000,2.560000,2.560000,183423843
2023-06-15,2.570000,2.620000,2.550000,2.610000,2.610000,101070312
2023-06-16,2.620000,2.650000,2.550000,2.570000,2.570000,102245313
2023-06-19,2.570000,2.570000,2.400000,2.420000,2.420000,118737875
2023-06-20,2.410000,2.530000,2.370000,2.480000,2.480000,150059885
2023-06-21,2.500000,2.540000,2.430000,2.480000,2.480000,66677610
2023-06-22,2.490000,2.520000,2.430000,2.510000,2.510000,119900208
2023-06-23,2.540000,2.620000,2.530000,2.580000,2.580000,155512023
2023-06-26,2.670000,2.700000,2.640000,2.670000,2.670000,95947683
2023-06-27,2.670000,2.680000,2.630000,2.640000,2.640000,27377537
2023-07-03,2.670000,2.710000,2.650000,2.680000,2.680000,152754815
2023-07-04,2.690000,2.930000,2.670000,2.840000,2.840000,442733291
2023-07-05,2.860000,2.890000,2.760000,2.860000,2.860000,213373374
2023-07-06,2.890000,2.950000,2.840000,2.860000,2.860000,149599593
2023-07-07,2.860000,2.930000,2.840000,2.870000,2.870000,98774739
2023-07-10,2.900000,2.940000,2.880000,2.890000,2.890000,103292661
2023-07-11,2.930000,3.010000,2.880000,2.980000,2.980000,286897286
2023-07-12,2.970000,3.050000,2.950000,2.970000,2.970000,371642127
2023-07-13,2.980000,3.020000,2.900000,2.920000,2.920000,314482287
2023-07-14,2.940000,2.950000,2.840000,2.850000,2.850000,167866582
2023-07-17,2.860000,2.920000,2.830000,2.860000,2.860000,152535795
2023-07-18,2.870000,2.880000,2.700000,2.710000,2.710000,189239255
2023-07-19,2.720000,2.810000,2.680000,2.800000,2.800000,174564696
2023-07-20,2.820000,2.960000,2.770000,2.950000,2.950000,344886910
2023-07-21,2.930000,3.050000,2.870000,3.000000,3.000000,300109808
2023-07-24,3.010000,3.070000,2.930000,2.960000,2.960000,215980488
2023-07-25,2.970000,3.040000,2.890000,2.930000,2.930000,197793595
2023-07-26,2.930000,2.970000,2.870000,2.950000,2.950000,96895551
2023-07-27,2.960000,3.000000,2.950000,2.990000,2.990000,126174254
2023-07-28,3.030000,3.180000,3.030000,3.120000,3.120000,445999754
2023-07-31,3.150000,3.190000,3.070000,3.110000,3.110000,279333959
2023-08-01,3.090000,3.110000,2.980000,3.010000,3.010000,217797114
2023-08-02,3.010000,3.220000,3.000000,3.160000,3.160000,312388604
2023-08-03,3.180000,3.190000,3.050000,3.050000,3.050000,217632862
2023-08-04,3.070000,3.120000,3.050000,3.090000,3.090000,173665138
