Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,3.170000,3.320000,3.030000,3.200000,3.200000,5895320
2023-05-11,2.950000,3.130000,2.880000,3.010000,3.010000,14988829
2023-05-12,3.020000,3.060000,2.910000,2.930000,2.930000,4460242
2023-05-15,2.910000,3.050000,2.810000,2.940000,2.940000,3434150
2023-05-16,2.950000,2.980000,2.920000,2.950000,2.950000,4690967
2023-05-17,2.970000,3.080000,2.950000,3.060000,3.060000,5998469
2023-05-18,3.070000,3.100000,2.930000,2.950000,2.950000,3935113
2023-05-22,2.980000,3.010000,2.870000,2.900000,2.900000,4568452
2023-05-23,2.910000,2.940000,2.880000,2.890000,2.890000,3337522
2023-05-24,2.890000,2.970000,2.840000,2.960000,2.960000,7349006
2023-05-25,2.960000,3.150000,2.920000,3.000000,3.000000,12556823
2023-05-26,3.000000,3.040000,2.960000,3.000000,3.000000,4111699
2023-05-29,3.010000,3.090000,2.990000,3.070000,3.070000,7053173
2023-05-30,3.100000,3.210000,3.090000,3.170000,3.170000,9769844
2023-05-31,3.190000,3.300000,3.130000,3.210000,3.210000,9650820
2023-06-01,3.220000,3.290000,3.210000,3.250000,3.250000,5820530
2023-06-02,3.280000,3.320000,3.200000,3.220000,3.220000,4778776
2023-06-05,3.230000,3.310000,3.230000,3.280000,3.280000,5300638
2023-06-06,3.280000,3.450000,3.230000,3.380000,3.380000,11999508
2023-06-07,3.400000,3.430000,3.300000,3.360000,3.360000,6909226
2023-06-08,2.660756,2.692432,2.573648,2.597405,2.597405,9787556
2023-06-09,2.534054,2.629081,2.502378,2.573648,2.573648,11478113
2023-06-12,2.573648,2.660756,2.565729,2.581567,2.581567,11241036
2023-06-13,3.260000,3.280000,3.130000,3.150000,3.150000,5209001
2023-06-14,2.502378,2.573648,2.439027,2.454864,2.454864,10213453
2023-06-15,2.440000,2.630000,2.440000,2.620000,2.620000,13660998
2023-06-16,2.630000,2.880000,2.570000,2.790000,2.790000,13022448
2023-06-19,2.860000,3.040000,2.840000,3.020000,3.020000,24249228
2023-06-20,3.020000,3.150000,2.860000,2.880000,2.880000,11669743
2023-06-21,2.880000,2.900000,2.770000,2.770000,2.770000,5470229
2023-06-22,2.770000,2.960000,2.770000,2.820000,2.820000,8118941
2023-06-23,2.850000,2.970000,2.840000,2.970000,2.970000,7966422
2023-06-26,2.970000,3.170000,2.960000,3.120000,3.120000,9444646
2023-06-27,3.120000,3.270000,3.080000,3.220000,3.220000,4176750
2023-07-03,3.220000,3.440000,3.220000,3.390000,3.390000,12651425
2023-07-04,3.440000,3.660000,3.370000,3.620000,3.620000,19203884
2023-07-05,3.580000,3.690000,3.540000,3.600000,3.600000,9341917
2023-07-06,3.600000,3.670000,3.570000,3.600000,3.600000,11316312
2023-07-07,3.650000,3.780000,3.640000,3.760000,3.760000,8680128
2023-07-10,3.790000,3.940000,3.650000,3.860000,3.860000,12074000
2023-07-11,3.870000,4.050000,3.820000,3.950000,3.950000,8936831
2023-07-12,3.950000,4.030000,3.900000,4.000000,4.000000,6813461
2023-07-13,4.000000,4.170000,4.000000,4.120000,4.120000,10350386
2023-07-14,4.260000,4.290000,4.150000,4.290000,4.290000,5466179
2023-07-17,4.370000,4.420000,4.270000,4.330000,4.330000,10522319
2023-07-18,4.420000,4.420000,4.010000,4.070000,4.070000,12654595
2023-07-19,4.030000,4.150000,3.930000,4.060000,4.060000,6311854
2023-07-20,4.080000,4.100000,3.950000,4.030000,4.030000,7425838
2023-07-21,4.030000,4.070000,3.940000,3.990000,3.990000,5768093
2023-07-24,4.030000,4.030000,3.920000,3.960000,3.960000,8403147
2023-07-25,3.960000,4.140000,3.920000,4.040000,4.040000,11903937
2023-07-26,4.080000,4.150000,3.970000,4.030000,4.030000,6382346
2023-07-27,4.060000,4.250000,4.040000,4.200000,4.200000,9234393
2023-07-28,4.260000,4.380000,4.140000,4.330000,4.330000,8721579
2023-07-31,4.390000,4.550000,4.200000,4.530000,4.530000,7905135
2023-08-01,4.620000,4.630000,4.410000,4.450000,4.450000,8563827
2023-08-02,4.390000,4.510000,4.340000,4.440000,4.440000,6226163
2023-08-03,4.490000,4.500000,4.380000,4.390000,4.390000,6335882
2023-08-04,4.440000,4.500000,4.350000,4.500000,4.500000,7241433
2023-08-07,4.540000,4.550000,4.360000,4.440000,4.440000,6897576
2023-08-08,4.430000,4.490000,4.370000,4.390000,4.390000,7184753
2023-08-09,4.390000,4.600000,4.380000,4.550000,4.550000,10371769
2023-08-10,4.580000,4.600000,4.360000,4.450000,4.450000,11501771
2023-08-11,4.470000,4.470000,4.310000,4.390000,4.390000,5654447
2023-08-14,4.400000,4.470000,4.330000,4.350000,4.350000,6524605
2023-08-15,4.350000,4.390000,4.300000,4.340000,4.340000,5511048
2023-08-16,4.340000,4.400000,4.240000,4.340000,4.340000,5093063
