Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,6.990000,6.990000,6.700000,6.720000,6.720000,494036
2023-05-11,6.800000,7.130000,6.740000,7.020000,7.020000,1507564
2023-05-12,7.080000,7.080000,6.850000,6.950000,6.950000,559890
2023-05-15,6.950000,7.060000,6.270000,6.940000,6.940000,658099
2023-05-16,6.930000,7.140000,6.900000,7.020000,7.020000,567531
2023-05-17,7.030000,7.690000,7.010000,7.490000,7.490000,2265739
2023-05-18,7.490000,8.190000,7.160000,8.030000,8.030000,6479810
2023-05-22,8.120000,8.250000,7.560000,7.790000,7.790000,1931225
2023-05-23,7.800000,7.840000,7.470000,7.580000,7.580000,794973
2023-05-24,7.580000,7.700000,7.450000,7.520000,7.520000,524053
2023-05-25,7.520000,8.050000,7.520000,7.640000,7.640000,2706227
2023-05-26,7.650000,7.690000,7.500000,7.640000,7.640000,1179842
2023-05-29,7.730000,7.930000,7.730000,7.890000,7.890000,1584848
2023-05-30,7.920000,8.120000,7.840000,8.050000,8.050000,1445046
2023-05-31,8.000000,8.460000,7.840000,7.880000,7.880000,4640259
2023-06-01,7.850000,8.090000,7.850000,8.090000,8.090000,1481559
2023-06-02,8.140000,8.230000,8.010000,8.040000,8.040000,1422355
2023-06-05,8.070000,8.180000,8.060000,8.180000,8.180000,1617523
2023-06-06,8.190000,8.270000,8.010000,8.020000,8.020000,1604527
2023-06-07,8.030000,8.530000,7.990000,8.440000,8.440000,5713810
2023-06-08,8.440000,8.450000,8.070000,8.180000,8.180000,2214612
2023-06-09,8.190000,8.220000,8.060000,8.100000,8.100000,1398703
2023-06-12,8.130000,8.480000,8.130000,8.450000,8.450000,2623869
2023-06-13,8.450000,8.450000,8.030000,8.140000,8.140000,1413644
2023-06-14,8.140000,8.370000,8.020000,8.120000,8.120000,1308149
2023-06-15,8.120000,8.460000,8.090000,8.200000,8.200000,4752714
2023-06-16,8.200000,8.430000,8.140000,8.210000,8.210000,2761934
2023-06-19,8.210000,8.220000,7.690000,7.800000,7.800000,1344016
2023-06-20,7.800000,7.810000,7.600000,7.680000,7.680000,681363
2023-06-21,7.660000,7.840000,7.600000,7.600000,7.600000,985696
2023-06-22,7.610000,7.800000,7.570000,7.680000,7.680000,1058930
2023-06-23,7.690000,7.910000,7.690000,7.850000,7.850000,1421649
2023-06-26,7.850000,8.160000,7.830000,8.020000,8.020000,2220383
2023-06-27,8.020000,8.180000,7.970000,8.080000,8.080000,1687120
2023-07-03,8.090000,8.880000,8.090000,8.880000,8.880000,8398864
2023-07-04,9.060000,9.760000,9.030000,9.170000,9.170000,17692698
2023-07-05,9.210000,10.050000,9.000000,9.560000,9.560000,17241822
2023-07-06,9.600000,9.950000,9.400000,9.590000,9.590000,5658286
2023-07-07,9.600000,10.540000,9.400000,10.500000,10.500000,17673943
2023-07-10,10.780000,11.290000,10.350000,10.530000,10.530000,9415280
2023-07-11,10.450000,10.840000,10.180000,10.580000,10.580000,5102519
2023-07-12,10.570000,10.580000,10.070000,10.100000,10.100000,3844635
2023-07-13,10.110000,11.110000,9.830000,11.110000,11.110000,11009605
2023-07-14,11.570000,12.120000,10.650000,10.750000,10.750000,12574506
2023-07-17,10.790000,11.770000,10.790000,11.340000,11.340000,13639094
2023-07-18,11.400000,12.470000,11.350000,12.470000,12.470000,14934643
2023-07-19,12.470000,13.600000,12.030000,13.050000,13.050000,10910169
2023-07-20,13.300000,13.760000,12.640000,13.600000,13.600000,7517451
2023-07-21,13.600000,13.720000,13.000000,13.630000,13.630000,6393910
2023-07-24,13.700000,14.700000,13.470000,14.500000,14.500000,7555778
2023-07-25,14.510000,15.060000,13.790000,14.000000,14.000000,10016696
2023-07-26,13.980000,14.960000,13.700000,14.540000,14.540000,5213109
2023-07-27,14.540000,14.700000,14.280000,14.410000,14.410000,5328500
2023-07-28,14.420000,15.500000,14.090000,15.190000,15.190000,9345169
2023-07-31,15.190000,16.129999,15.190000,15.750000,15.750000,6178772
2023-08-01,15.750000,16.000000,15.110000,16.000000,16.000000,4997021
2023-08-02,16.469999,17.549999,15.600000,15.770000,15.770000,9804433
2023-08-03,15.770000,15.770000,14.440000,14.640000,14.640000,6697280
2023-08-04,14.640000,14.840000,13.750000,14.000000,14.000000,4541130
2023-08-07,14.000000,15.000000,13.260000,14.720000,14.720000,9182036
2023-08-08,14.720000,15.280000,14.040000,15.130000,15.130000,5851404
2023-08-09,15.130000,15.280000,14.600000,14.650000,14.650000,4034043
2023-08-10,14.650000,15.110000,13.980000,14.200000,14.200000,7621873
2023-08-11,14.200000,14.640000,13.660000,14.490000,14.490000,3540299
2023-08-14,14.570000,15.820000,13.870000,15.750000,15.750000,11304422
2023-08-15,15.780000,16.120001,15.330000,15.730000,15.730000,7129960
