Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,4.350000,4.450000,4.030000,4.030000,4.030000,527067
2023-05-03,4.040000,4.400000,3.860000,4.200000,4.200000,2702565
2023-05-04,4.180000,4.300000,4.100000,4.110000,4.110000,1021447
2023-05-05,4.150000,4.150000,3.900000,3.900000,3.900000,883568
2023-05-08,3.880000,3.960000,3.690000,3.840000,3.840000,1094712
2023-05-09,3.890000,3.960000,3.750000,3.800000,3.800000,534243
2023-05-10,3.900000,3.900000,3.620000,3.670000,3.670000,759488
2023-05-11,3.700000,3.800000,3.580000,3.760000,3.760000,788505
2023-05-12,3.820000,3.820000,3.610000,3.620000,3.620000,633842
2023-05-15,3.510000,3.800000,3.500000,3.600000,3.600000,573402
2023-05-16,3.730000,3.740000,3.600000,3.670000,3.670000,487886
2023-05-17,3.720000,4.030000,3.670000,4.030000,4.030000,2982441
2023-05-18,4.080000,4.210000,4.010000,4.080000,4.080000,1759005
2023-05-22,4.100000,4.230000,3.840000,4.190000,4.190000,2305584
2023-05-23,4.210000,4.300000,3.810000,3.960000,3.960000,1967067
2023-05-24,3.990000,3.990000,3.870000,3.870000,3.870000,835836
2023-05-25,3.910000,3.910000,3.780000,3.780000,3.780000,702049
2023-05-26,3.800000,3.990000,3.790000,3.860000,3.860000,1602408
2023-05-29,3.890000,4.160000,3.870000,4.060000,4.060000,1281143
2023-05-30,4.080000,4.400000,4.020000,4.230000,4.230000,2322408
2023-05-31,4.260000,4.620000,4.140000,4.410000,4.410000,5183641
2023-06-01,4.400000,4.550000,4.260000,4.350000,4.350000,1373343
2023-06-02,4.380000,4.430000,4.310000,4.340000,4.340000,1030616
2023-06-05,4.370000,4.600000,4.360000,4.580000,4.580000,2127019
2023-06-06,4.580000,4.880000,4.500000,4.710000,4.710000,3543076
2023-06-07,4.720000,5.180000,4.590000,4.950000,4.950000,6498316
2023-06-08,4.990000,5.130000,4.820000,4.880000,4.880000,3648594
2023-06-09,4.910000,4.950000,4.770000,4.870000,4.870000,2080075
2023-06-12,4.950000,5.020000,4.840000,4.850000,4.850000,3625475
2023-06-13,4.850000,5.090000,4.830000,4.950000,4.950000,5156268
2023-06-14,4.910000,5.300000,4.810000,4.880000,4.880000,6720362
2023-06-15,4.840000,5.360000,4.600000,5.070000,5.070000,3041732
2023-06-16,5.150000,5.150000,4.900000,4.900000,4.900000,1288264
2023-06-19,4.960000,4.960000,4.600000,4.600000,4.600000,951882
2023-06-20,4.600000,4.950000,4.430000,4.670000,4.670000,2494905
2023-06-21,4.690000,4.760000,4.520000,4.550000,4.550000,791311
2023-06-22,4.550000,4.720000,4.500000,4.580000,4.580000,1141185
2023-06-23,4.530000,4.990000,4.530000,4.940000,4.940000,3043420
2023-06-26,4.940000,5.100000,4.810000,4.930000,4.930000,4828675
2023-06-27,4.920000,4.990000,4.860000,4.920000,4.920000,1073160
2023-07-03,4.930000,5.170000,4.920000,5.080000,5.080000,3817214
2023-07-04,5.080000,5.180000,5.040000,5.080000,5.080000,2448362
2023-07-05,5.080000,5.210000,5.060000,5.070000,5.070000,3352161
2023-07-06,5.080000,5.180000,5.080000,5.120000,5.120000,2143262
2023-07-07,5.130000,5.560000,5.100000,5.350000,5.350000,4335574
2023-07-10,5.400000,5.520000,5.360000,5.390000,5.390000,2495012
2023-07-11,5.410000,5.920000,5.290000,5.920000,5.920000,9354985
2023-07-12,5.890000,6.290000,5.810000,6.290000,6.290000,10151996
2023-07-13,6.290000,6.400000,6.030000,6.030000,6.030000,5233530
2023-07-14,5.990000,6.350000,5.700000,6.230000,6.230000,4275573
2023-07-17,6.300000,6.720000,6.140000,6.510000,6.510000,4588069
2023-07-18,6.500000,6.960000,6.320000,6.340000,6.340000,9442243
2023-07-19,6.280000,6.680000,6.200000,6.550000,6.550000,6032760
2023-07-20,6.600000,6.910000,6.430000,6.820000,6.820000,5298532
2023-07-21,6.820000,7.060000,6.650000,6.850000,6.850000,7720689
2023-07-24,6.960000,7.020000,6.620000,6.690000,6.690000,7321365
2023-07-25,6.690000,6.910000,6.400000,6.700000,6.700000,3975561
2023-07-26,6.850000,6.850000,6.550000,6.650000,6.650000,2463030
2023-07-27,6.670000,6.850000,6.640000,6.760000,6.760000,3143114
2023-07-28,6.770000,6.940000,6.700000,6.800000,6.800000,4374388
2023-07-31,6.900000,7.250000,6.860000,6.970000,6.970000,4392636
2023-08-01,6.980000,7.030000,6.640000,6.680000,6.680000,2584790
2023-08-02,6.750000,6.970000,6.700000,6.750000,6.750000,5085149
2023-08-03,6.790000,6.890000,6.580000,6.610000,6.610000,2979142
2023-08-04,6.640000,7.270000,6.500000,7.270000,7.270000,8440430
2023-08-07,7.450000,7.870000,7.400000,7.740000,7.740000,7747239
