Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,4.190000,4.540000,4.180000,4.380000,4.380000,6495480
2023-05-02,4.420000,4.450000,4.120000,4.190000,4.190000,3173949
2023-05-03,4.280000,4.280000,4.040000,4.040000,4.040000,2813537
2023-05-04,4.050000,4.130000,4.010000,4.020000,4.020000,1986729
2023-05-05,4.020000,4.100000,4.000000,4.020000,4.020000,1565676
2023-05-08,4.050000,4.130000,4.020000,4.080000,4.080000,1950964
2023-05-09,4.080000,4.180000,4.000000,4.010000,4.010000,1948520
2023-05-10,4.010000,4.050000,3.940000,3.940000,3.940000,1806227
2023-05-11,3.940000,4.330000,3.920000,4.330000,4.330000,5680695
2023-05-12,4.380000,4.490000,4.220000,4.320000,4.320000,4145541
2023-05-15,4.120000,4.250000,3.970000,4.060000,4.060000,2496286
2023-05-16,4.060000,4.130000,4.040000,4.120000,4.120000,1540168
2023-05-17,4.110000,4.260000,4.110000,4.190000,4.190000,1361561
2023-05-18,4.190000,4.210000,4.070000,4.110000,4.110000,1726013
2023-05-22,4.110000,4.150000,4.030000,4.030000,4.030000,1242964
2023-05-23,4.040000,4.090000,4.010000,4.030000,4.030000,873849
2023-05-24,4.030000,4.100000,4.010000,4.010000,4.010000,1069792
2023-05-25,4.020000,4.110000,4.010000,4.050000,4.050000,2085273
2023-05-26,4.060000,4.180000,4.050000,4.170000,4.170000,1458078
2023-05-29,4.200000,4.340000,4.200000,4.260000,4.260000,2367488
2023-05-30,4.270000,4.670000,4.270000,4.490000,4.490000,10254474
2023-05-31,4.490000,4.570000,4.420000,4.490000,4.490000,3087836
2023-06-01,4.490000,4.660000,4.490000,4.530000,4.530000,1916797
2023-06-02,4.570000,4.640000,4.550000,4.580000,4.580000,2821416
2023-06-05,4.620000,4.810000,4.600000,4.790000,4.790000,2876460
2023-06-06,4.800000,5.200000,4.680000,5.110000,5.110000,6446098
2023-06-07,5.110000,5.190000,4.860000,5.000000,5.000000,4531009
2023-06-08,5.000000,5.110000,4.930000,5.030000,5.030000,2761901
2023-06-09,5.100000,5.150000,5.010000,5.030000,5.030000,1622580
2023-06-12,5.030000,5.240000,5.030000,5.110000,5.110000,3537171
2023-06-13,5.110000,5.150000,5.030000,5.100000,5.100000,2700404
2023-06-14,5.100000,5.320000,5.050000,5.080000,5.080000,3463608
2023-06-15,5.120000,5.170000,5.070000,5.080000,5.080000,2321456
2023-06-16,5.090000,5.210000,5.090000,5.150000,5.150000,2563438
2023-06-19,5.200000,5.300000,5.100000,5.140000,5.140000,3896683
2023-06-20,5.150000,5.210000,5.050000,5.140000,5.140000,1994800
2023-06-21,5.150000,5.400000,5.150000,5.190000,5.190000,5111329
2023-06-22,5.250000,5.290000,5.170000,5.270000,5.270000,2459298
2023-06-23,5.400000,5.460000,5.310000,5.320000,5.320000,3121673
2023-06-26,5.320000,5.600000,5.320000,5.560000,5.560000,2955262
2023-06-27,5.560000,5.710000,5.500000,5.710000,5.710000,1856714
2023-07-03,5.890000,6.000000,5.830000,5.860000,5.860000,5293413
2023-07-04,5.900000,5.950000,5.830000,5.840000,5.840000,3053078
2023-07-05,5.840000,5.980000,5.790000,5.950000,5.950000,4732912
2023-07-06,6.120000,6.180000,5.950000,6.100000,6.100000,6082865
2023-07-07,6.280000,6.280000,6.080000,6.180000,6.180000,4505935
2023-07-10,6.180000,6.220000,6.050000,6.130000,6.130000,4645050
2023-07-11,6.190000,6.190000,5.840000,5.840000,5.840000,9898687
2023-07-12,5.840000,5.840000,5.670000,5.670000,5.670000,6286310
2023-07-13,5.680000,5.850000,5.670000,5.850000,5.850000,7860785
2023-07-14,5.870000,5.880000,5.730000,5.740000,5.740000,4455941
2023-07-17,5.780000,5.780000,5.630000,5.630000,5.630000,7985615
2023-07-18,5.640000,5.650000,5.480000,5.480000,5.480000,6171542
2023-07-19,5.470000,5.560000,5.450000,5.530000,5.530000,4750399
2023-07-20,5.550000,5.680000,5.510000,5.590000,5.590000,7573546
2023-07-21,5.590000,5.860000,5.540000,5.770000,5.770000,8885408
2023-07-24,5.790000,5.920000,5.750000,5.800000,5.800000,6019178
2023-07-25,6.000000,6.200000,5.910000,6.000000,6.000000,10413334
2023-07-26,5.990000,6.230000,5.920000,6.230000,6.230000,10695740
2023-07-27,6.340000,6.620000,6.300000,6.560000,6.560000,9895837
