Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,49.680000,52.900002,49.680000,52.000000,52.000000,648710
2023-05-11,46.799999,54.700001,46.799999,49.980000,49.980000,2791021
2023-05-12,51.000000,51.299999,46.060001,46.240002,46.240002,743635
2023-05-15,45.880001,46.500000,43.240002,43.520000,43.520000,353303
2023-05-16,42.279999,44.439999,42.279999,43.860001,43.860001,496825
2023-05-17,43.880001,45.619999,43.880001,44.680000,44.680000,629386
2023-05-18,45.000000,45.400002,43.240002,43.860001,43.860001,456908
2023-05-22,44.299999,45.020000,42.099998,43.119999,43.119999,224118
2023-05-23,43.119999,43.439999,42.599998,42.599998,42.599998,203776
2023-05-24,42.860001,44.220001,41.020000,43.400002,43.400002,544646
2023-05-25,43.799999,45.240002,41.660000,43.299999,43.299999,647985
2023-05-26,43.080002,44.619999,42.500000,43.700001,43.700001,511449
2023-05-29,43.720001,45.880001,43.720001,44.820000,44.820000,500308
2023-05-30,45.000000,48.320000,44.720001,48.000000,48.000000,677678
2023-05-31,48.020000,51.000000,46.520000,49.880001,49.880001,1529835
2023-06-01,49.880001,51.099998,49.200001,49.680000,49.680000,481863
2023-06-02,50.500000,50.650002,49.099998,50.000000,50.000000,528914
2023-06-05,50.250000,51.250000,49.680000,50.849998,50.849998,765835
2023-06-06,50.849998,50.900002,49.639999,49.919998,49.919998,583986
2023-06-07,49.900002,53.000000,49.660000,50.799999,50.799999,1859204
2023-06-08,51.500000,52.549999,49.799999,50.549999,50.549999,908872
2023-06-09,50.549999,51.950001,50.299999,50.500000,50.500000,795463
2023-06-12,52.000000,55.049999,52.000000,54.250000,54.250000,2025031
2023-06-13,54.349998,55.000000,51.299999,51.549999,51.549999,914365
2023-06-14,51.200001,51.950001,49.020000,49.980000,49.980000,705874
2023-06-15,50.099998,51.500000,49.599998,50.099998,50.099998,396792
2023-06-16,50.299999,50.750000,49.700001,49.799999,49.799999,373569
2023-06-19,49.799999,50.000000,47.340000,47.340000,47.340000,414485
2023-06-20,47.400002,49.680000,45.599998,46.520000,46.520000,927188
2023-06-21,46.639999,47.139999,45.700001,45.980000,45.980000,324873
2023-06-22,46.099998,49.000000,45.779999,48.279999,48.279999,491284
2023-06-23,48.299999,51.549999,48.299999,50.799999,50.799999,716549
2023-06-26,50.799999,51.950001,50.099998,51.500000,51.500000,661413
2023-06-27,51.900002,52.599998,51.049999,52.000000,52.000000,399701
2023-07-03,53.000000,54.500000,52.250000,53.150002,53.150002,940823
2023-07-04,53.500000,54.549999,52.500000,53.700001,53.700001,736432
2023-07-05,53.900002,56.400002,53.500000,54.750000,54.750000,1276086
2023-07-06,54.750000,55.349998,54.200001,54.750000,54.750000,589237
2023-07-07,54.750000,56.599998,54.150002,56.500000,56.500000,778545
2023-07-10,57.849998,59.099998,57.000000,58.400002,58.400002,666126
2023-07-11,59.000000,63.150002,56.599998,61.049999,61.049999,1252561
2023-07-12,61.049999,62.200001,59.700001,60.000000,60.000000,659303
2023-07-13,60.000000,60.650002,58.150002,59.299999,59.299999,574370
2023-07-14,59.299999,62.049999,58.099998,62.000000,62.000000,880609
2023-07-17,62.250000,68.199997,62.250000,68.199997,68.199997,1436257
2023-07-18,70.250000,73.199997,67.000000,67.750000,67.750000,1782133
2023-07-19,67.650002,71.949997,65.000000,70.150002,70.150002,962283
2023-07-20,71.000000,72.300003,68.550003,70.550003,70.550003,858008
2023-07-21,70.550003,71.199997,68.050003,69.699997,69.699997,600798
2023-07-24,69.699997,70.500000,67.500000,68.199997,68.199997,665041
2023-07-25,68.199997,68.900002,62.950001,64.599998,64.599998,762700
2023-07-26,64.800003,67.250000,64.449997,65.400002,65.400002,741540
2023-07-27,66.800003,68.250000,65.750000,66.650002,66.650002,570901
2023-07-28,66.949997,67.599998,63.650002,65.849998,65.849998,733216
2023-07-31,66.250000,67.000000,65.199997,65.949997,65.949997,534030
2023-08-01,66.000000,70.000000,64.849998,69.800003,69.800003,1179889
2023-08-02,73.000000,73.449997,69.349998,69.500000,69.500000,1360208
2023-08-03,70.500000,70.750000,67.500000,67.500000,67.500000,773505
2023-08-04,68.400002,71.199997,67.400002,70.349998,70.349998,982687
2023-08-07,70.400002,77.349998,70.400002,77.349998,77.349998,1863448
2023-08-08,77.000000,80.000000,74.000000,76.400002,76.400002,1862004
2023-08-09,77.699997,77.699997,74.500000,74.699997,74.699997,772909
2023-08-10,74.699997,76.349998,69.599998,70.599998,70.599998,967612
2023-08-11,70.599998,72.949997,68.500000,72.000000,72.000000,650938
