,Share,Increase_Percentage
1,ACSEL,64.24189069661509
2,ADEL,198.18181298701305
3,ADESE,103.30578512396696
4,AFYON,44.81865284974094
5,AGESA,80.42292633015009
7,AHGAZ,116.4745145631068
8,AKENR,38.227848101265806
9,AKMEN,
10,AKBNK,45.443916738089
12,AKCNS,87.50987826086956
13,AKYHO,97.97979797979798
14,AKFGY,66.23376623376623
16,AKFYE,
17,ATEKS,58.490566037735846
18,AKSGY,113.8095238095238
20,AKMGY,99.54647922761968
21,AKSA,37.54760129329469
22,AKSEN,49.56204379562044
23,AKGRT,95.63636363636364
25,AKSUE,-9.183673469387756
26,AKTIF,
28,ALCAR,57.30633746443229
29,ALGYO,58.09153902718148
31,ALARK,133.92539847114386
32,ALBRK,34.817813765182166
34,ALCTL,79.9684454268629
35,ALFAS,
36,ALKA,30.23633943617199
37,ALKIM,47.68413819286258
38,ALMAD,90.8665105386417
39,AYCES,269.5652274338377
40,AEFES,72.59614350653388
41,AGHOL,85.6990454332672
42,ANHYT,75.56108631165296
44,ASUZU,87.89954739267341
45,ANSGR,39.34336334687609
47,ANGEN,15.177065767285
48,ANELE,73.79310344827587
49,ARCLK,33.18965517241378
50,ARDYZ,112.99694189602444
51,ARENA,53.32865451997199
52,INGRM,254.7764622986773
53,ARSAN,16.400000000000006
54,ARZUM,
55,ASELS,56.425706827309256
56,ASTOR,
57,ATAGY,50.83333333333334
58,AGYO,60.0
60,ATSYH,-31.57894736842105
61,ATLAS,83.09859154929578
62,ATATP,56.25805806451615
63,AVOD,65.14522821576762
64,AVGYO,147.12230215827338
66,AVTUR,195.03311258278143
67,AVHOL,472.9166395399319
68,AYDEM,63.29966329966328
69,AYEN,97.25118009478672
71,AYGAZ,71.19646548876511
72,AZTEK,
73,BAGFS,34.16370106761565
74,BAKAB,75.63739874326907
76,BNTAS,37.15953307392997
77,BANVT,33.33333333333334
78,BARMA,
79,BASGZ,
81,BTCIM,55.42522905719818
82,BSOKE,26.878612716762987
83,BAYRK,107.09382151029752
84,BERA,47.74396642182583
85,BRKSN,238.66317169069464
86,BJKAS,216.63366336633663
87,BEYAZ,20.02568035943517
88,BIENY,70.79328465352333
89,BLCYT,84.08863041289021
90,BIMAS,62.02531645569621
91,BIOEN,
92,BRKVY,
93,BRKO,
94,BRLSM,251.30169984686057
95,BRMEN,151.72413793103448
96,BIZIM,56.93024186046509
97,BMSTL,
98,BMSCH,39.86013986013987
100,BOBET,
101,BRSAN,158.80426304347685
102,BRYAT,128.66181967672406
103,BFREN,98.71432055511914
104,BOSSA,34.2672080090868
105,BRISA,64.08386134722284
106,BVSAN,148.4246363754065
107,BURCE,68.15365804784355
108,BURVA,86.91725524475527
109,BUCIM,72.3446893787575
110,CRFSA,25.99822984909423
111,CASA,-12.15686274509804
112,CEOEM,25.83732057416269
113,CCOLA,42.25053078556263
114,CONSE,
115,COSMO,120.00000451127818
116,CRDFA,21.32701421800948
117,CANTE,13.812154696132596
118,CVKMD,
119,CWENE,138.16568575811434
120,CLEBI,71.9705199732197
121,CELHA,69.12281052631579
122,CEMAS,114.38356164383563
123,CEMTS,26.605655120118385
124,CMBTN,24.50758030303029
125,CMENT,42.95176132267784
126,CIMSA,145.2350792338658
127,CUSAN,11.129661164700124
128,DAGI,47.22222222222223
129,DAGHL,-9.795918367346928
130,DAPGM,112.31617842202373
131,DARDL,80.56426332288402
132,DGATE,81.44329896907215
133,DMSAS,6.074766355140184
134,DENGE,52.32558139534885
135,DZGYO,28.571428571428555
136,DERIM,78.14434020618555
137,DERHL,281.86157517899755
138,DESA,76.79046781961435
139,DESPC,66.84117703076342
140,DEVA,93.0477167778348
141,DNISI,
142,DIRIT,
143,DITAS,28.608695652173907
144,DOCO,12.78652701511335
145,DOBUR,21.321625125367845
146,DOHOL,47.66248574686432
147,DGNMO,80.03355704697987
148,ARASE,
149,DOGUB,-29.385530227948465
150,DGGYO,67.76315378289473
151,DOAS,123.42040328779456
152,DOKTA,30.04867056197912
153,DURDO,24.216213513513537
154,DYOBY,32.73244781783683
155,EDATA,
156,ECILC,50.1672307692308
157,ECZYT,65.15151515151516
158,EDIP,143.54838709677418
159,EGEEN,56.98978320458511
160,EGGUB,47.51938294573645
