Index,Share,Report_Date
1,ACSEL,2023-02-03 00:00:00
2,ADEL,2023-02-28 00:00:00
3,ADESE,2023-03-09 00:00:00
4,AFYON,2023-02-23 00:00:00
5,AGESA,2023-02-15 00:00:00
6,AGESA,2023-02-15 00:00:00
7,AHGAZ,2023-03-28 00:00:00
8,AKENR,2023-03-06 00:00:00
9,AKMEN,2023-01-30 00:00:00
10,AKBNK,2023-01-31 00:00:00
11,AKBNK,2023-01-31 00:00:00
12,AKCNS,2023-02-17 00:00:00
13,AKYHO,2023-03-13 00:00:00
14,AKFGY,2023-02-22 00:00:00
15,AKFGY,2023-02-22 00:00:00
16,ATEKS,2023-03-02 00:00:00
17,AKSGY,2023-03-06 00:00:00
18,AKSGY,2023-03-06 00:00:00
19,AKMGY,2023-02-27 00:00:00
20,AKSA,2023-02-15 00:00:00
21,AKSEN,2023-02-28 00:00:00
22,AKGRT,2023-02-13 00:00:00
23,AKGRT,2023-02-13 00:00:00
24,AKSUE,2023-03-01 00:00:00
25,AKTIF,2023-03-07 00:00:00
26,AKTIF,2023-03-13 00:00:00
27,ALCAR,2023-02-28 00:00:00
28,ALGYO,2023-02-24 00:00:00
29,ALGYO,2023-02-24 00:00:00
30,ALARK,2023-03-10 00:00:00
31,ALBRK,2023-02-17 00:00:00
32,ALBRK,2023-03-03 00:00:00
33,ALCTL,2023-03-13 00:00:00
34,ALFAS,2023-02-27 00:00:00
35,ALKA,2023-02-27 00:00:00
36,ALKIM,2023-02-28 00:00:00
37,ALMAD,2023-03-10 00:00:00
38,AYCES,2023-03-01 00:00:00
39,AEFES,2023-02-28 00:00:00
40,AGHOL,2023-03-02 00:00:00
41,ANHYT,2023-02-02 00:00:00
42,ANHYT,2023-02-02 00:00:00
43,ASUZU,2023-02-28 00:00:00
44,ANSGR,2023-02-03 00:00:00
45,ANSGR,2023-02-03 00:00:00
46,ANGEN,2023-03-10 00:00:00
47,ANELE,2023-03-13 00:00:00
48,ARCLK,2023-01-25 00:00:00
49,ARDYZ,2023-03-10 00:00:00
