,Share_Name,Bilanco_Date,Cari_Oran,Nakit_Oran,Toplam_Yabancı_Kaynaklar_Oz_Kaynaklar_Oranı,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Hisse_Bası_Kazanc,Fiyat_Satıs_Oranı
0,AVOD,2023/3,"[1.9381674969739666, 2.0351956605536228, 1.975563324831112, 2.27168734751602, 2.570111329389883, 1.1496771899753344, 1.2164175445242136, 1.2120631841776177, 1.2866056049290158, 0.9680977469788749, 1.0768058026226153, 1.103685683661442]","[0.1579206883622717, 0.2284059353099359, 0.39348983837982643, 0.36812779494212605, 0.5471018205804002, 0.0447862519094559, 0.08602949612044623, 0.05598651967586192, 0.08730124834466953, 0.044681315665482654, 0.03740746988244751, 0.07969303221479476]","[0.5325814264524545, 0.47666271627851936, 0.5727451037535493, 0.4169597708105936, 0.35026596986957914, 1.199220704158495, 2.8263184073522742, 2.7866429549848077, 2.574469340216945, 2.394008066882878, 2.608508453763594, 2.174959990555418]",1.9204065445550125,0.2326177563747541,"['29.36', '29.36', '38.27', '33.13', '22.80', '15.67', '19.63', '−1.14']","{'varlık_getirisi': ['18.07', '18.07', '19.96', '15.08', '11.05', '7.83', '6.20', '−0.25'], 'yatırılan_sermayenin_getirisi': ['28.81', '28.81', '37.67', '32.26', '22.11', '15.06', '17.70', '−0.85'], 'brüt_kar_marjı': ['14.58', '14.58', '17.35', '28.25', '22.62', '24.67', '31.60', '28.27'], 'faliyet_kar_marjı': ['5.67', '5.67', '10.32', '20.56', '13.57', '15.15', '25.33', '16.40'], 'favök_marjı': ['6.38', '6.38', '10.83', '21.24', '14.44', '15.82', '25.88', '17.93'], 'net_marj': ['2.88', '2.88', '34.19', '20.55', '8.72', '3.13', '24.78', '8.10']}","['0.42', '0.42', '0.13']",9.26
1,ACSEL,2023/6,"[1.4717045502073465, 1.363772525109114, 2.3452940725969107, 2.767862555685996, 2.6712822626031776, 2.3165375763631118, 2.3275156894092874, 3.3722124004290364, 4.314195066563628, 4.383063688303008, 4.856917441398955, 5.84298522100609]","[0.12140861590513864, 0.03202197409538155, 0.051657883267980514, 0.6479299612621222, 0.9609666903362137, 0.2975713717221518, 0.288855813520338, 0.5232133872193884, 0.9249832971892314, 0.6957546482883805, 1.0417794441516637, 1.254199556437682]","[0.6452810593439854, 0.6896795241230059, 0.44283015131018927, 0.3738162921509985, 0.40765538319510036, 0.49008967629262884, 0.4364583276572736, 0.2685200205844576, 0.2087436704078921, 0.20195151319404192, 0.18052461246522986, 0.15747988211754219]",3.5084736541367105,0.4535089032152291,"['47.38', '47.38', '56.41', '64.36', '78.73', '—', '60.12', '49.54']","{'varlık_getirisi': ['30.43', '30.43', '34.95', '44.67', '58.64', '—', '43.18', '36.90'], 'yatırılan_sermayenin_getirisi': ['44.82', '44.82', '52.79', '60.19', '78.73', '—', '60.12', '49.54'], 'brüt_kar_marjı': ['19.22', '19.22', '15.88', '18.59', '21.97', '19.68', '27.67', '26.76'], 'faliyet_kar_marjı': ['14.80', '14.80', '8.91', '10.21', '16.85', '16.95', '24.80', '23.46'], 'favök_marjı': ['15.32', '15.32', '9.40', '10.70', '17.21', '17.12', '25.07', '23.78'], 'net_marj': ['24.75', '24.75', '7.38', '61.75', '16.69', '17.70', '21.71', '52.55']}","['-', '-', '-']",11.55
2,ADEL,2023/6,"[1.1703000990419632, 1.061801122741937, 1.0566475889744096, 1.020600702810922, 1.0066083407621287, 1.0478565394362953, 1.080426837275128, 1.089161310620702, 1.095010765982094, 1.162880455822943, 1.2549604337631888, 1.271850720035153]","[0.28473428158595915, 0.4670951765506763, 0.4808384316821262, 0.08558229611352208, 0.1629601579900967, 0.5197204515782198, 0.6247537898130991, 0.020863859049844936, 0.01896319306821399, 0.13009158423888148, 0.6822660218835482, 0.07394341582279745]","[3.8746786742675146, 6.197474530061702, 5.02034981124489, 6.402507099549658, 6.732352374651402, 5.611545205523728, 4.395627166419076, 3.464346114593964, 3.2515444345891105, 2.708473130097761, 3.363596970885005, 3.0981549626903813]",1.6930002760760183,0.5408451497528761,"['90.41', '90.41', '54.94', '28.24', '20.33', '−0.75', '−4.14', '−9.18']","{'varlık_getirisi': ['15.85', '15.85', '7.90', '4.94', '3.38', '−0.13', '−0.82', '−1.89'], 'yatırılan_sermayenin_getirisi': ['77.87', '77.87', '44.61', '24.35', '17.30', '−0.64', '−3.43', '−7.05'], 'brüt_kar_marjı': ['53.35', '53.35', '55.89', '50.13', '31.67', '34.23', '48.01', '24.53'], 'faliyet_kar_marjı': ['27.96', '27.96', '27.06', '17.96', '19.12', '9.86', '13.26', '8.18'], 'favök_marjı': ['30.30', '30.30', '29.99', '22.22', '20.62', '13.56', '18.01', '11.26'], 'net_marj': ['25.35', '25.35', '12.27', '−4.15', '9.40', '7.47', '−5.21', '−11.05']}","['7.86', '1.59', '−0.54']",56.6
3,ADESE,2023/3,"[4.424092433299315, 4.6149319370071265, 4.490203647468561, 5.036297524196567, 7.640274271208421, 6.6981583734958985, 0.16308998084885365, 0.4334785783836417, 0.4270832548336938, 0.5689870982115731, 0.6746237576904874, 0.7228599282321462]","[2.7083758565388543, 3.0894745584408394, 3.2936503851630725, 3.9457034383188065, 5.110425892968006, 5.979094187865054, 0.034880686881218585, 0.04421859785783836, 0.013491890045240913, 0.04848196382638284, 0.026927485933638324, 0.05922714733152185]","[0.1531412365268351, 0.16472122910635614, 0.16150874674102683, 0.15923610103046545, 0.1642913827176664, 0.1747913823691729, 0.7221953918290245, 0.7713881926914485, 0.7583679443363117, 0.9806498005311519, 1.016401387272238, 1.007795003558966]",1.0631784340841497,0.0063506925961546,"['44.70', '44.70', '47.65', '28.15', '28.88', '29.65', '28.15', '−3.11']","{'varlık_getirisi': ['37.94', '37.94', '40.80', '21.51', '21.92', '21.33', '19.99', '−1.68'], 'yatırılan_sermayenin_getirisi': ['44.51', '44.51', '47.33', '27.70', '28.27', '28.85', '26.99', '−2.87'], 'brüt_kar_marjı': ['63.98', '63.98', '—', '54.99', '50.16', '62.38', '80.22', '96.12'], 'faliyet_kar_marjı': ['26.92', '26.92', '−119.79', '29.96', '39.51', '38.66', '53.28', '73.60'], 'favök_marjı': ['33.08', '33.08', '−27.64', '31.75', '41.12', '40.97', '54.56', '76.80'], 'net_marj': ['59.19', '59.19', '58.55K', '58.57', '90.62', '117.66', '1.68K', '119.45']}","['1.55', '1.55', '0.38']",1.43
4,AFYON,2023/6,"[2.338985768407976, 1.8953514868662604, 1.6576601863369629, 1.4327198083303447, 1.2895066474604389, 0.9332411727424887, 0.9428562602396255, 1.287799973743948, 1.1688462294762012, 0.9211852437163371, 0.7504458689198518, 0.7101216715576985]","[0.39064124125598265, 0.22324802067131944, 0.6497629718529266, 0.4954500583781588, 0.28926611595858226, 0.2531382760683085, 0.09007048485181017, 0.003863836659198726, 0.011421891731286715, 0.2943507618578523, 0.17796470456982497, 0.09861181665303408]","[0.38753967738341105, 0.4501137680994098, 0.5718273054577713, 0.6876270484310205, 0.5982623837555483, 0.6537165561733307, 0.41259306023796094, 0.23683318959343214, 0.23330168414657837, 0.35105951376438, 0.43798645940002173, 0.40607577174003373]",2.373709854853051,0.6609322485341416,"['51.58', '51.58', '51.77', '38.92', '28.07', '18.52', '—', '—']","{'varlık_getirisi': ['35.05', '35.05', '33.79', '25.84', '18.83', '12.95', '—', '—'], 'yatırılan_sermayenin_getirisi': ['50.26', '50.26', '50.53', '38.01', '27.54', '18.09', '—', '—'], 'brüt_kar_marjı': ['41.08', '41.08', '28.32', '21.87', '28.52', '32.13', '13.51', '5.46'], 'faliyet_kar_marjı': ['38.77', '38.77', '26.23', '21.43', '27.46', '31.02', '10.77', '3.06'], 'favök_marjı': ['40.71', '40.71', '28.64', '23.91', '29.55', '33.43', '18.58', '10.64'], 'net_marj': ['28.72', '28.72', '27.44', '18.33', '20.47', '23.90', '13.74', '−2.70']}","['1.05', '0.67', '0.19']",10.67
5,AGHOL,2023/6,"[1.0833112517706889, 1.0197837725350545, 1.0288013412463222, 1.0343974873176374, 0.9554875766782122, 0.9998503290899055, 0.8736066813586529, 0.9484762960331525, 0.9765102937984054, 0.9288768416331041, 0.9351515232948077, 1.018288591754794]","[0.46755983374281473, 0.415159857902353, 0.4788558372130247, 0.4761972619486177, 0.4092121312466957, 0.4388235269445519, 0.37409932108127686, 0.42284041539793615, 0.4694978251502403, 0.39414703398884665, 0.4624999526508688, 0.4936019681264938]","[2.1039435249836114, 2.1988602852460897, 2.0021012438396686, 1.8314254571120665, 1.8740595910034696, 2.1848182098235918, 1.855634866419574, 1.9312446397932561, 2.132304142784095, 1.8791227419779022, 2.0284743907422986, 2.00457960123431]",5.518511344420321,0.5242410871520335,"['34.78', '34.78', '36.97', '31.48', '29.34', '18.02', '6.86', '17.99']","{'varlık_getirisi': ['2.81', '2.81', '2.73', '2.52', '2.44', '1.43', '0.52', '1.44'], 'yatırılan_sermayenin_getirisi': ['11.10', '11.10', '10.45', '9.47', '9.11', '5.40', '1.76', '5.00'], 'brüt_kar_marjı': ['32.03', '32.03', '29.97', '27.10', '31.90', '31.28', '30.06', '29.50'], 'faliyet_kar_marjı': ['12.68', '12.68', '8.48', '5.42', '14.16', '11.85', '4.95', '4.00'], 'favök_marjı': ['14.97', '14.97', '11.34', '8.41', '16.68', '14.94', '9.07', '8.33'], 'net_marj': ['3.87', '3.87', '1.17', '1.02', '3.19', '3.42', '−0.27', '0.46']}","['24.41', '15.61', '5.30']",8.5
6,AKCNS,2023/6,"[1.326713683050406, 1.1716998851773532, 1.1050995930627954, 1.2350400913831778, 1.208671003277576, 1.0128103759356055, 0.9994168049178843, 1.0001109523696123, 0.9694610206679554, 1.1166728958039855, 1.2376257273944777, 1.2432059331687113]","[0.434130990045951, 0.3501257127779939, 0.34282833958231257, 0.2637833791785076, 0.10035688115408929, 0.08983587900611315, 0.14750295689235696, 0.12516679477717207, 0.13623927980578435, 0.16571955792160595, 0.38004422675550503, 0.34585372875093084]","[0.8783912071423802, 1.0917877584958864, 1.1983378129353015, 1.1737568734398267, 1.5097240478785363, 1.3747692768014765, 1.2709838341549058, 1.0227100054446001, 1.1036910766285215, 1.1200841715920593, 1.0147065687480008, 0.9868500415502464]",2.7404129534284305,0.6343870041021993,"['76.69', '76.69', '73.44', '58.37', '62.68', '35.78', '27.01', '22.18']","{'varlık_getirisi': ['37.61', '37.61', '33.76', '26.30', '29.39', '15.19', '11.84', '10.23'], 'yatırılan_sermayenin_getirisi': ['70.47', '70.47', '—', '55.66', '55.68', '30.44', '23.82', '19.53'], 'brüt_kar_marjı': ['31.80', '31.80', '23.01', '16.31', '15.98', '19.26', '13.35', '9.89'], 'faliyet_kar_marjı': ['28.18', '28.18', '20.43', '12.16', '13.96', '16.38', '9.79', '5.68'], 'favök_marjı': ['29.58', '29.58', '—', '13.34', '15.27', '17.88', '12.12', '8.72'], 'net_marj': ['26.68', '26.68', '22.10', '11.93', '31.92', '11.28', '8.32', '19.54']}","['14.33', '7.94', '1.59']",—
7,AKYHO,2023/3,"[1.1875146264011893, 1.3466361696257063, 1.1972577801454616, 2.1513688793060926, 2.891616769002155, 6.754122847553603, 8.597055473562753, 5.981697860553559, 10.998536396263267, 3.0427468204450974, 2.9371121374178784, 2.3756649521255575]","[0.12539783958864492, 0.16890588015420013, 0.3860676517900653, 0.9986109849613802, 1.2466452493613145, 2.7053637917204747, 5.193207899568355, 3.7057640921974975, 8.004493977331702, 0.0037325300571561656, 0.008039540291544954, 0.017918173023827564]","[0.494981083867637, 0.37100715402232254, 0.5487603100592439, 0.41632936942799775, 0.432073701188692, 0.2206552719609841, 0.1338947005990099, 0.13572302000376246, 0.07371476766545688, 0.17752309457912327, 0.1900637737863333, 0.251987316597225]",0.7767645841661949,0.0482632510703357,"['−6.73', '−6.73', '−1.52', '2.87', '2.52', '6.64', '−2.09', '−11.38']","{'varlık_getirisi': ['−4.69', '−4.69', '−1.06', '2.10', '1.88', '5.11', '−1.72', '−9.17'], 'yatırılan_sermayenin_getirisi': ['−6.06', '−6.06', '−1.36', '2.59', '2.28', '6.21', '−2.00', '−11.27'], 'brüt_kar_marjı': ['21.21', '21.21', '29.35', '37.13', '20.94', '−629.00', '−25.08', '−7.04K'], 'faliyet_kar_marjı': ['−16.09', '−16.09', '−41.84', '49.27', '−106.80', '−1.47K', '−101.73', '−10.81K'], 'favök_marjı': ['−39.20', '−39.20', '−14.62', '89.99', '201.30', '−1.19K', '−66.23', '−5.01K'], 'net_marj': ['−23.25', '−23.25', '5.56', '−9.74', '−128.38', '255.55', '147.90', '−4.09K']}","['−0.10', '−0.10', '0.06']",—
8,AKENR,2023/3,"[1.2940087798274504, 1.10989428110806, 1.1007347441940452, 1.0320404697730883, 1.2735279529407186, 0.9587074313125475, 0.9669888962090215, 0.6775836500796084, 0.6570328027391866, 0.5982041097463611, 0.7177855173361094, 0.6339425818300993]","[0.6917327886011716, 0.393087469781049, 0.5490735831064351, 0.4926906458028996, 0.6770238123394211, 0.42739620495616076, 0.5747925686191605, 0.346164308269046, 0.3751325046940749, 0.35146898558054324, 0.4694248352232147, 0.3265888008697845]","[2.848780284269104, 2.942303809981838, -117.10011965236421, 36.72124698147249, 10.084355654594225, 7.308073550669211, -9.650437371627332, -9.597024469730485, -12.642289275336108, -53.36316912282891, -44.56664950376749, 14.070687422081193]",5.080804677870326,0.2594355413620351,"['−39.01', '−39.01', '−43.00', '—', '—', '−766.03', '−349.10', '—']","{'varlık_getirisi': ['−7.59', '−7.59', '−8.80', '−31.55', '−30.21', '−24.18', '−25.50', '−9.95'], 'yatırılan_sermayenin_getirisi': ['−9.61', '−9.61', '−11.62', '−42.13', '−37.84', '−29.55', '−31.62', '−11.80'], 'brüt_kar_marjı': ['4.83', '4.83', '6.34', '8.18', '9.06', '19.52', '13.31', '16.72'], 'faliyet_kar_marjı': ['3.92', '3.92', '5.39', '7.97', '6.98', '18.46', '11.21', '15.36'], 'favök_marjı': ['7.68', '7.68', '7.16', '10.16', '14.61', '24.22', '15.36', '21.27'], 'net_marj': ['−2.17', '−2.17', '1.89', '−8.40', '−51.08', '−16.35', '−113.42', '−3.09']}","['−1.82', '−2.15', '−3.47']",—
9,AKFGY,2023/6,"[0.29696574869642445, 1.2588268781356797, 1.1439100191691527, 1.0795104834829057, 1.1045185275081324, 1.08935571282271, 0.9884896058465639, 0.9142195838300002, 0.24541945709480334, 0.18143134117306, 0.07243712365965331, 0.1318166015027112]","[0.1097230893868084, 0.7351101259930688, 0.4377715374220602, 0.19906264150853523, 0.3594886094195087, 0.49555995276236486, 0.40198869415262817, 0.3614579636086045, 0.09336988631647129, 0.05134529398663468, 0.02700624296368682, 0.07596870979783403]","[0.6250793238988036, 0.6049074775270052, 0.5775294258192756, 0.5831092707614115, 0.5301587333176411, 0.6167144415483812, 0.5766129708362587, 0.803340560362549, 1.4592246859707256, 1.4296684098335475, 3.0447724870088724, 4.315132604999027]",1.7803273788150251,0.0206078720452062,"['53.41', '53.41', '51.09', '51.23', '82.17', '87.21', '69.25', '83.56']","{'varlık_getirisi': ['33.13', '33.13', '31.27', '31.76', '48.96', '49.62', '36.80', '42.41'], 'yatırılan_sermayenin_getirisi': ['39.81', '39.81', '37.20', '37.75', '56.68', '56.77', '43.01', '50.50'], 'brüt_kar_marjı': ['—', '—', '95.17', '95.97', '97.02', '99.70', '94.63', '94.04'], 'faliyet_kar_marjı': ['—', '—', '74.75', '147.07', '142.14', '105.13', '221.35', '332.57'], 'favök_marjı': ['—', '—', '75.21', '147.45', '142.45', '105.16', '222.13', '333.88'], 'net_marj': ['—', '—', '−86.12', '1.15K', '59.39', '85.55', '−44.12', '2.88K']}","['3.36', '2.37', '3.38']",1.45
