,Sector,Cari_Oran,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Fiyat_Satıs_Oranı
0,"İMALAT / GIDA, İÇECEK VE TÜTÜN",1.57212739038076,11199917.844910873,0.37254648790873574,20.09655172413792,"{""varlık_getirisi"": 12.942068965517239, ""yatırılan_sermayenin_getirisi"": 13.178333333333335, ""brüt_kar_marjı"": 19.61678571428572, ""faliyet_kar_marjı"": 5.353, ""favök_marjı"": 8.905833333333334, ""net_marj"": 13.291666666666666}",20.11086956521739
1,MALİ KURULUŞLAR / ARACI KURUMLAR,1.2109846014989152,11.788527908760551,4.695556788060595,66.68,"{""varlık_getirisi"": 11.57, ""yatırılan_sermayenin_getirisi"": 65.31, ""brüt_kar_marjı"": 99.0, ""faliyet_kar_marjı"": 65.23, ""favök_marjı"": 66.23, ""net_marj"": 51.34}",5.29
2,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,2.306668780063918,2.502504046352065,0.4273115355016283,36.21526315789474,"{""varlık_getirisi"": 18.02631578947368, ""yatırılan_sermayenin_getirisi"": 31.69675675675677, ""brüt_kar_marjı"": 26.675641025641028, ""faliyet_kar_marjı"": 14.027179487179486, ""favök_marjı"": 16.08216216216216, ""net_marj"": 29.95717948717949}",80.92088235294118
3,İMALAT / DİĞER İMALAT SANAYİİ,1.1703000990419632,1.6930002760760183,0.5408451497528761,90.41,"{""varlık_getirisi"": 15.85, ""yatırılan_sermayenin_getirisi"": 77.87, ""brüt_kar_marjı"": 53.35, ""faliyet_kar_marjı"": 27.96, ""favök_marjı"": 30.3, ""net_marj"": 25.35}",56.6
4,GAYRİMENKUL FAALİYETLERİ / GAYRİMENKUL FAALİYETLERİ,4.378420398456117,1.5004703365192273,0.032979909728409536,25.575000000000003,"{""varlık_getirisi"": 21.45, ""yatırılan_sermayenin_getirisi"": 25.4, ""brüt_kar_marjı"": 44.16, ""faliyet_kar_marjı"": 6.713333333333335, ""favök_marjı"": 9.663333333333332, ""net_marj"": 48.94}",102.13333333333333
5,İMALAT / TAŞ VE TOPRAĞA DAYALI,1.5629121037630844,2.1534680812386053,0.517170941791895,46.59904761904763,"{""varlık_getirisi"": 21.01318181818182, ""yatırılan_sermayenin_getirisi"": 38.15409090909091, ""brüt_kar_marjı"": 25.655000000000005, ""faliyet_kar_marjı"": 15.912272727272724, ""favök_marjı"": 17.961904761904766, ""net_marj"": 10.067272727272725}",58.445
6,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,4.426540169469537,527.8627734270874,0.1648988548457978,39.109512195121965,"{""varlık_getirisi"": 17.644999999999996, ""yatırılan_sermayenin_getirisi"": 37.188421052631575, ""brüt_kar_marjı"": 29.59513513513515, ""faliyet_kar_marjı"": -0.7057499999999983, ""favök_marjı"": -4.728857142857146, ""net_marj"": 6.817631578947371}",19.484411764705875
7,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ,,,,,,
8,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,1.3149431386171795,2.489180144644004,0.21829859634461152,33.60000000000001,"{""varlık_getirisi"": 15.004736842105261, ""yatırılan_sermayenin_getirisi"": 24.63388888888889, ""brüt_kar_marjı"": 22.177, ""faliyet_kar_marjı"": 50.830499999999994, ""favök_marjı"": 65.49894736842104, ""net_marj"": 75.34100000000001}",27.692352941176477
9,MALİ KURULUŞLAR / BANKALAR,,,,,,
10,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,3.2629180336697186,1721.9865389758131,0.06871296389036693,84.3674193548387,"{""varlık_getirisi"": 58.80548387096774, ""yatırılan_sermayenin_getirisi"": 76.2641935483871, ""brüt_kar_marjı"": 55.08933333333333, ""faliyet_kar_marjı"": 24.815624999999994, ""favök_marjı"": 19.79068965517241, ""net_marj"": 41.27888888888891}",4.485161290322582
11,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ",1.7333498224855637,1.9956094380864413,0.287370577480449,24.813684210526315,"{""varlık_getirisi"": 13.467894736842105, ""yatırılan_sermayenin_getirisi"": 17.762352941176474, ""brüt_kar_marjı"": 20.633809523809525, ""faliyet_kar_marjı"": 3.278, ""favök_marjı"": 2.071874999999999, ""net_marj"": 27.981428571428577}",20.525333333333332
12,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI,1.6520540934881829,2.220465636527312,0.5027279637597887,41.09096774193548,"{""varlık_getirisi"": 15.235806451612905, ""yatırılan_sermayenin_getirisi"": 32.20357142857143, ""brüt_kar_marjı"": 21.381612903225804, ""faliyet_kar_marjı"": 7.933870967741936, ""favök_marjı"": 11.904074074074074, ""net_marj"": 6.1554838709677435}",51.1675
13,TEKNOLOJİ / BİLİŞİM,3.2182259559865973,2.179801204279708,0.5921468654901055,33.76192307692308,"{""varlık_getirisi"": 20.23296296296296, ""yatırılan_sermayenin_getirisi"": 16.495, ""brüt_kar_marjı"": 27.097407407407413, ""faliyet_kar_marjı"": 5.865357142857142, ""favök_marjı"": 10.70653846153846, ""net_marj"": 14.140740740740739}",33.184545454545464
14,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM,2.568196879070577,2.2327563624971116,0.3638779230341409,33.0075,"{""varlık_getirisi"": 14.41, ""yatırılan_sermayenin_getirisi"": 29.21142857142857, ""brüt_kar_marjı"": 16.975454545454546, ""faliyet_kar_marjı"": 5.720909090909092, ""favök_marjı"": 3.561111111111112, ""net_marj"": -4.907272727272727}",236.9175
15,OTELLER VE LOKANTALAR / KONAKLAMA,1.9488932273222166,28.593502645913045,0.06938104653589111,32.04714285714286,"{""varlık_getirisi"": 22.089999999999996, ""yatırılan_sermayenin_getirisi"": 31.502857142857145, ""brüt_kar_marjı"": 8.76875, ""faliyet_kar_marjı"": -43.76375, ""favök_marjı"": -18.375000000000004, ""net_marj"": -16.173333333333336}",598.43
16,MADENCİLİK VE TAŞ OCAKÇILIĞI / KÖMÜR VE LİNYİT MADENCİLİĞİ,4.347319172588,1.865930994618172,0.10462391364594534,35.955,"{""varlık_getirisi"": 31.355000000000004, ""yatırılan_sermayenin_getirisi"": 35.765, ""brüt_kar_marjı"": 26.18, ""faliyet_kar_marjı"": 8.325, ""favök_marjı"": 31.945, ""net_marj"": 84.265}",10.66
17,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ,1.6057856556986405,5.2282061143200265,0.15003147956103038,99.84875000000001,"{""varlık_getirisi"": 22.646250000000002, ""yatırılan_sermayenin_getirisi"": 37.81857142857143, ""brüt_kar_marjı"": -4.7529999999999974, ""faliyet_kar_marjı"": -72.468, ""favök_marjı"": 3.872222222222222, ""net_marj"": -52.50555555555555}",19.158571428571427
18,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET,1.1258752772591567,1.7695577672920333,0.4850350794831172,52.83900000000001,"{""varlık_getirisi"": 19.328, ""yatırılan_sermayenin_getirisi"": 50.902, ""brüt_kar_marjı"": 39.20400000000001, ""faliyet_kar_marjı"": 6.976000000000001, ""favök_marjı"": 9.483, ""net_marj"": 25.569}",19.90888888888889
19,TEKNOLOJİ / SAVUNMA,1.213210275217757,1.0039299983542238,0.2042415671847697,36.08,"{""varlık_getirisi"": 19.73, ""yatırılan_sermayenin_getirisi"": 34.81, ""brüt_kar_marjı"": 30.29, ""faliyet_kar_marjı"": 23.51, ""favök_marjı"": 25.77, ""net_marj"": 27.33}",14.4
